[dump] RUN #1 heure=19:01:12 src=SEUIL_GPS rollout_ms=0 unit=00002 dyn=4 rate_ms=40 gps=1 pre=15 imuf=2/7 ecu=HP statut=TERMINE
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-614,40,0.0,45,39,1042,0,0,-2
R,-574,40,0.0,46,39,1041,0,0,-2
R,-533,40,0.0,46,39,1041,0,0,-2
R,-493,40,0.0,46,39,1042,0,0,-2
R,-453,40,0.0,46,39,1041,0,0,-2
R,-404,40,0.0,46,39,1041,0,0,-1
R,-363,40,0.0,45,40,1041,0,0,-2
R,-323,40,0.0,46,39,1042,0,0,-2
R,-282,40,0.0,46,39,1041,0,0,-2
R,-242,40,0.0,47,39,1040,0,0,-2
R,-202,40,0.0,45,38,1043,0,0,-1
R,-162,40,0.0,45,38,1041,0,0,-2
R,-122,40,0.0,47,39,1040,0,0,-2
R,-81,40,0.0,45,38,1040,0,0,-1
R,-41,40,0.0,46,40,1042,0,0,-2
R,51,386,0.1,45,39,1040,0,0,-2
R,91,553,0.3,46,39,1040,0,0,-2
R,131,719,0.5,47,38,1043,0,0,-2
R,171,885,0.8,47,38,1042,0,0,-2
R,211,1052,1.2,46,39,1040,0,0,-2
R,251,1218,1.6,46,39,1040,0,0,-2
R,291,1385,2.1,47,39,1043,0,0,-2
R,330,1551,2.6,46,38,1042,0,0,-2
R,371,1717,3.2,46,40,1040,0,0,-2
R,411,1884,3.9,46,39,1042,0,0,-2
R,451,2050,4.6,46,39,1042,0,0,-2
R,491,2210,5.3,46,39,1042,0,0,-2
R,531,2314,6.2,46,39,1041,0,0,-2
R,571,2418,7.0,47,39,1042,0,0,-1
R,611,2522,7.9,46,39,1041,0,0,-2
R,650,2626,8.9,47,38,1041,0,0,-2
R,691,2730,9.9,45,39,1039,0,0,-2
R,731,2834,10.9,46,39,1042,0,0,-2
R,771,2938,11.9,46,40,1042,0,0,-1
R,811,3042,13.0,46,39,1041,0,0,-2
R,851,3146,14.1,46,39,1040,0,0,-2
R,891,3250,15.3,46,38,1041,0,0,-2
R,931,3354,16.5,46,38,1042,0,0,-2
R,971,3458,17.7,46,39,1041,0,0,-2
R,1011,3531,19.0,46,39,1041,0,0,-2
R,1051,3583,20.3,46,39,1040,0,0,-2
R,1090,3635,21.6,46,39,1042,0,0,-2
R,1131,3687,23.0,46,40,1041,0,0,-2
R,1171,3739,24.3,46,38,1040,0,0,-2
R,1211,3791,25.7,46,39,1041,0,0,-1
R,1251,3843,27.1,46,38,1043,0,0,-2
R,1291,3895,28.5,47,39,1042,0,0,-2
R,1331,3947,29.9,46,39,1039,0,0,-2
R,1371,3999,31.4,46,39,1041,0,0,-2
R,1411,4051,32.8,46,40,1042,0,0,-2
R,1451,4103,34.3,46,39,1042,0,0,-2
R,1491,4155,35.8,45,40,1041,0,0,-2
R,1531,4207,37.4,46,40,1040,0,0,-2
R,1570,4259,38.9,47,40,1042,0,0,-2
R,1611,4311,40.5,46,38,1042,0,0,-2
R,1651,4363,42.0,45,39,1041,0,0,-1
R,1691,4415,43.6,46,39,1041,0,0,-2
R,1731,4467,45.3,46,40,1042,0,0,-1
R,1770,4519,46.9,46,39,1041,0,0,-1
R,1811,4571,48.6,46,39,1042,0,0,-2
R,1851,4623,50.2,46,39,1042,0,0,-2
R,1890,4675,51.9,46,39,1042,0,0,-2
R,1931,4727,53.6,47,39,1041,0,0,-1
R,1971,4779,55.4,45,39,1041,0,0,-2
R,2010,4859,57.1,46,39,1040,0,0,-2
R,2051,4958,58.9,46,39,1043,0,0,-2
R,2090,5057,60.7,47,39,1041,0,0,-1
R,2131,5155,62.6,46,40,1041,0,0,-2
R,2171,5254,64.5,46,39,1042,0,0,-2
R,2211,5353,66.4,46,38,1042,0,0,-2
R,2251,5451,68.4,45,38,1041,0,0,-1
R,2291,5550,70.4,46,39,1040,0,0,-1
R,2331,5649,72.5,46,39,1042,0,0,-2
R,2371,5747,74.5,46,39,1043,0,0,-2
R,2411,5846,76.6,46,38,1041,0,0,-2
R,2451,5945,78.8,45,39,1040,0,0,-2
R,2491,6043,81.0,46,39,1041,0,0,-2
R,2531,6142,83.2,46,40,1042,0,0,-2
R,2571,6241,85.5,46,39,1040,0,0,-2
R,2611,6339,87.8,45,38,1041,0,0,-2
R,2651,6438,90.1,44,39,1041,0,0,-1
R,2691,6537,92.4,46,39,1042,0,0,-2
R,2731,6635,94.8,47,38,1041,0,0,-2
R,2771,6734,97.3,46,40,1041,0,0,-1
R,2811,6833,99.8,47,39,1041,0,0,-2
R,2851,6931,102.3,45,39,1042,0,0,-2
R,2891,7030,104.8,46,39,1040,0,0,-2
R,2931,7129,107.4,47,38,1041,0,0,-1
R,2971,7227,110.0,46,38,1041,0,0,-2
R,3011,7326,112.7,46,39,1040,0,0,-2
R,3051,7425,115.3,46,39,1041,0,0,-2
R,3091,7523,118.1,45,39,1039,0,0,-2
R,3131,7622,120.8,46,39,1042,0,0,-2
R,3171,7721,123.6,45,39,1041,0,0,-1
R,3211,7819,126.5,46,39,1040,0,0,-1
R,3250,7918,129.3,46,39,1041,0,0,-1
R,3291,8017,132.2,46,39,1041,0,0,-2
R,3331,8115,135.2,47,39,1042,0,0,-2
R,3371,8214,138.2,47,40,1040,0,0,-2
R,3411,8313,141.2,46,39,1041,0,0,-2
R,3451,8411,144.2,46,39,1042,0,0,-1
R,3491,8504,147.3,45,39,1041,0,0,-2
R,3531,8549,150.4,46,38,1040,0,0,-2
R,3571,8594,153.5,46,39,1041,0,0,-1
R,3610,8639,156.6,47,40,1041,0,0,-2
R,3651,8684,159.8,47,38,1041,0,0,-2
R,3691,8729,163.0,47,38,1041,0,0,-2
R,3731,8774,166.2,47,39,1040,0,0,-2
R,3771,8819,169.4,46,39,1041,0,0,-2
R,3811,8864,172.6,46,39,1041,0,0,-2
R,3851,8909,175.9,46,40,1040,0,0,-2
R,3891,8953,179.1,46,39,1042,0,0,-2
R,3931,8998,182.4,46,39,1042,0,0,-2
R,3971,9043,185.7,46,40,1040,0,0,-2
R,4011,9088,189.0,46,40,1040,0,0,-2
R,4051,9133,192.3,46,39,1041,0,0,-2
R,4091,9178,195.6,46,38,1041,0,0,-2
R,4131,9223,199.0,46,38,1040,0,0,-1
R,4171,9268,202.4,46,39,1040,0,0,-2
R,4211,9313,205.8,45,39,1043,0,0,-1
R,4251,9358,209.2,45,39,1040,0,0,-2
R,4291,9402,212.6,46,39,1041,0,0,-1
R,4331,9447,216.0,46,40,1042,0,0,-2
R,4371,9492,219.5,46,40,1042,0,0,-2
R,4411,9537,222.9,45,39,1040,0,0,-2
R,4451,9582,226.4,46,39,1040,0,0,-2
R,4491,9627,229.9,46,38,1042,0,0,-2
R,4531,9672,233.4,46,39,1043,0,0,-2
R,4570,9717,236.9,46,39,1040,0,0,-2
R,4611,9762,240.5,46,38,1040,0,0,-1
R,4651,9807,244.1,46,39,1042,0,0,-2
R,4690,9851,247.6,47,39,1041,0,0,-1
R,4731,9896,251.3,46,38,1040,0,0,-1
R,4771,9941,254.9,45,39,1039,0,0,-1
R,4811,9986,258.5,46,39,1042,0,0,-2
R,4851,10031,262.2,46,39,1041,0,0,-1
R,4891,10076,265.8,46,39,1040,0,0,-2
R,4931,10121,269.5,46,40,1040,0,0,-2
R,4971,10166,273.2,46,39,1042,0,0,-2
R,5011,10211,276.9,47,39,1042,0,0,-2
R,5051,10256,280.7,46,39,1040,0,0,-2
R,5091,10300,284.4,46,40,1040,0,0,-2
R,5131,10345,288.2,47,39,1040,0,0,-2
R,5171,10390,291.9,46,39,1041,0,0,-2
R,5211,10435,295.7,47,39,1041,0,0,-2
R,5251,10480,299.5,46,38,1041,0,0,-2
R,5290,10525,303.3,46,40,1041,0,0,-1
R,5331,10570,307.2,46,40,1041,0,0,-2
R,5371,10615,311.1,46,39,1041,0,0,-1
R,5411,10660,315.0,47,39,1041,0,0,-2
R,5451,10704,318.9,46,40,1040,0,0,-1
R,5490,10739,322.7,46,39,1040,0,0,-2
R,5531,10774,326.7,46,39,1042,0,0,-2
R,5571,10810,330.6,46,39,1041,0,0,-2
R,5610,10845,334.5,46,39,1040,0,0,-1
R,5651,10880,338.5,46,39,1040,0,0,-2
R,5691,10916,342.5,47,39,1043,0,0,-2
R,5730,10951,346.4,46,39,1040,0,0,-2
R,5771,10986,350.5,46,39,1041,0,0,-2
R,5810,11022,354.4,47,39,1040,0,0,-2
R,5850,11057,358.4,46,40,1041,0,0,-2
R,5891,11092,362.6,46,39,1040,0,0,-2
