[dump] RUN #1 heure=19:00:18 src=SEUIL_GPS rollout_ms=0 unit=ALLO2 dyn=4 rate_ms=40 gps=1 pre=13 imuf=2/7 ecu=HP statut=TERMINE
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1418,40,0.0,9,-26,1058,0,0,-1
R,-1307,40,0.0,9,-27,1059,0,0,-1
R,-1204,40,0.0,8,-27,1059,0,0,-2
R,-1090,40,0.0,9,-27,1059,0,0,-1
R,-989,40,0.0,9,-26,1058,0,0,-1
R,-875,40,0.0,9,-26,1059,0,0,-2
R,-773,40,0.0,8,-27,1059,0,0,-1
R,-661,40,0.0,9,-27,1059,0,0,-1
R,-558,40,0.0,9,-27,1059,0,0,-1
R,-432,40,0.0,9,-27,1059,0,0,-1
R,-330,40,0.0,10,-26,1059,0,0,-1
R,-216,40,0.0,9,-27,1059,0,0,-1
R,-115,40,0.0,9,-27,1059,0,0,-1
R,117,940,0.7,10,-27,1060,0,0,-2
R,159,1106,1.1,9,-27,1059,0,0,-1
R,199,1272,1.6,9,-27,1059,0,0,-1
R,239,1439,2.1,9,-26,1059,0,0,-2
R,279,1605,2.6,10,-27,1059,0,0,-1
R,326,1809,3.3,9,-27,1059,0,0,-1
R,368,1975,4.1,9,-26,1058,-1,0,-1
R,408,2142,4.8,9,-27,1059,0,0,-1
R,454,2283,5.7,10,-27,1059,0,0,-1
R,494,2387,6.6,10,-26,1060,0,0,-2
R,533,2491,7.5,9,-26,1059,0,0,-1
R,573,2595,8.4,10,-28,1059,0,0,-2
R,614,2699,9.4,10,-27,1059,0,0,-1
R,654,2803,10.4,8,-27,1059,0,0,-1
R,693,2907,11.4,10,-27,1059,0,0,-1
R,734,3011,12.5,9,-27,1059,0,0,-2
R,774,3115,13.6,9,-27,1059,0,0,-1
R,814,3219,14.8,9,-26,1059,0,0,-1
R,854,3323,16.0,9,-27,1059,0,0,-2
R,893,3427,17.2,10,-27,1059,0,0,-1
R,934,3516,18.5,9,-27,1060,0,0,-1
R,974,3568,19.8,9,-26,1057,0,0,-1
R,1014,3620,21.1,9,-27,1059,0,0,-1
R,1054,3672,22.4,10,-26,1058,0,0,-2
