[dump] RUN #1 heure=19:11:32 src=SEUIL_GPS rollout_ms=0 unit=ALLO2 dyn=4 rate_ms=40 gps=1 pre=12 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=0 gxo_cdps=0 gyo_cdps=0 gzo_cdps=0 cal_tempC=0 run_tempC=28
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1442,40,0.0,26,-56,1041,0,0,-1
R,-1303,40,0.0,26,-55,1041,0,0,-2
R,-1190,40,0.0,25,-56,1042,0,0,-1
R,-1067,40,0.0,26,-56,1041,0,0,-1
R,-957,40,0.0,26,-55,1041,0,0,-2
R,-831,40,0.0,26,-56,1041,0,0,-2
R,-720,40,0.0,26,-56,1041,0,0,-2
R,-598,40,0.0,26,-56,1041,0,0,-1
R,-485,40,0.0,25,-55,1041,0,0,-2
R,-362,40,0.0,26,-55,1041,0,0,-1
R,-236,40,0.0,25,-56,1041,0,0,-2
R,-109,40,0.0,26,-56,1040,0,0,-2
R,140,960,0.9,26,-55,1041,0,0,-2
R,180,1127,1.2,26,-56,1041,0,0,-1
R,220,1293,1.7,26,-56,1041,0,0,-1
R,260,1460,2.2,27,-55,1041,0,0,-2
R,300,1626,2.7,26,-56,1042,0,0,-2
R,340,1792,3.4,26,-55,1041,0,0,-1
R,380,1959,4.0,26,-55,1042,0,0,-1
R,419,2125,4.8,26,-56,1042,0,0,-1
R,460,2257,5.6,26,-56,1041,0,0,-1
R,500,2361,6.4,26,-56,1041,0,0,-1
R,539,2465,7.3,26,-56,1041,0,0,-2
R,580,2569,8.2,25,-57,1041,0,0,-2
R,620,2673,9.2,26,-56,1040,0,0,-2
R,660,2777,10.2,26,-56,1040,0,0,-2
R,700,2881,11.2,26,-55,1042,0,0,-2
R,740,2985,12.3,27,-55,1042,0,0,-2
R,780,3089,13.4,26,-56,1042,0,0,-2
R,820,3193,14.5,25,-56,1041,0,0,-2
R,860,3297,15.7,27,-56,1041,0,0,-2
R,900,3401,16.9,27,-56,1041,0,0,-2
R,940,3503,18.2,27,-56,1041,0,0,-2
R,979,3555,19.5,27,-55,1041,0,0,-1
R,1020,3607,20.8,27,-55,1041,0,0,-2
R,1060,3659,22.1,26,-56,1040,0,0,-2
R,1100,3711,23.5,26,-56,1041,0,0,-2
R,1140,3763,24.8,27,-55,1041,0,0,-2
R,1180,3815,26.2,26,-55,1041,0,0,-2
R,1220,3867,27.6,27,-55,1041,0,0,-2
R,1260,3919,29.0,26,-55,1041,0,0,-2
R,1300,3971,30.5,26,-55,1041,0,0,-2
R,1340,4023,31.9,26,-55,1041,0,0,-2
R,1380,4075,33.4,25,-55,1041,0,0,-2
R,1420,4127,34.9,25,-55,1041,0,0,-2
R,1460,4179,36.4,25,-56,1041,0,0,-1
R,1500,4231,37.9,26,-55,1041,0,0,-1
R,1540,4283,39.5,27,-55,1041,0,0,-2
R,1580,4335,41.1,27,-56,1042,0,0,-2
R,1620,4387,42.6,26,-56,1041,0,0,-2
R,1659,4439,44.2,27,-55,1041,0,0,-2
R,1700,4491,45.9,26,-56,1041,0,0,-2
R,1739,4543,47.5,25,-55,1041,0,0,-2
R,1780,4595,49.2,26,-55,1041,0,0,-1
R,1820,4647,50.9,26,-56,1041,0,0,-1
R,1860,4699,52.6,25,-56,1041,0,0,-2
R,1900,4751,54.3,26,-56,1041,0,0,-2
R,1939,4805,56.0,25,-56,1041,0,0,-2
R,1980,4904,57.8,27,-56,1041,0,0,-2
R,2020,5002,59.6,26,-55,1041,0,0,-2
R,2060,5101,61.5,25,-55,1041,0,0,-2
R,2100,5200,63.3,25,-56,1042,0,0,-2
R,2140,5298,65.3,26,-56,1041,0,0,-2
R,2180,5397,67.2,26,-55,1042,0,0,-2
R,2220,5496,69.2,25,-55,1041,0,0,-1
R,2260,5594,71.2,25,-56,1042,0,0,-2
R,2300,5693,73.3,26,-56,1042,0,0,-1
R,2340,5792,75.4,26,-55,1041,0,0,-1
R,2380,5890,77.5,26,-56,1041,0,0,-2
R,2420,5989,79.7,25,-55,1041,0,0,-2
R,2460,6088,81.9,25,-56,1040,0,0,-1
R,2499,6186,84.0,27,-56,1041,0,0,-1
R,2540,6285,86.4,26,-55,1041,0,0,-1
R,2580,6384,88.7,25,-54,1041,0,0,-2
R,2620,6482,91.0,26,-54,1042,0,0,-2
R,2660,6581,93.4,26,-56,1042,0,0,-2
R,2700,6680,95.8,26,-56,1042,0,0,-2
R,2740,6778,98.3,26,-56,1042,0,0,-2
R,2780,6877,100.8,26,-55,1042,0,0,-2
R,2820,6976,103.3,26,-56,1041,0,0,-2
R,2859,7074,105.8,26,-55,1042,0,0,-2
R,2899,7173,108.4,27,-56,1042,0,0,-2
R,2940,7272,111.1,25,-56,1041,0,0,-1
R,2980,7370,113.7,25,-56,1041,0,0,-1
R,3020,7469,116.5,26,-55,1042,0,0,-2
R,3060,7568,119.2,26,-55,1042,0,0,-1
R,3100,7666,122.0,26,-56,1041,0,0,-2
R,3140,7765,124.8,26,-56,1041,0,0,-2
R,3180,7864,127.6,26,-55,1042,0,0,-1
R,3220,7962,130.5,25,-56,1041,0,0,-2
R,3260,8061,133.4,26,-56,1042,0,0,-1
R,3300,8160,136.4,25,-56,1041,0,0,-2
R,3340,8258,139.4,25,-55,1042,0,0,-2
R,3380,8357,142.4,25,-56,1041,0,0,-1
R,3420,8456,145.5,26,-55,1041,0,0,-2
R,3460,8525,148.6,25,-55,1041,0,0,-1
R,3499,8570,151.6,26,-55,1041,0,0,-2
R,3540,8614,154.8,26,-54,1041,0,0,-2
R,3580,8659,158.0,26,-56,1041,0,0,-2
R,3620,8704,161.1,26,-55,1041,0,0,-1
R,3660,8749,164.3,25,-56,1041,0,0,-2
R,3700,8794,167.5,26,-56,1041,0,0,-1
R,3740,8839,170.7,27,-56,1042,0,0,-2
R,3780,8884,174.0,27,-56,1041,0,0,-1
R,3820,8929,177.2,26,-55,1041,0,0,-2
R,3860,8974,180.5,26,-56,1041,0,0,-2
R,3900,9019,183.7,26,-55,1042,0,0,-2
R,3940,9063,187.0,25,-55,1042,0,0,-2
R,3980,9108,190.4,25,-55,1041,0,0,-2
R,4020,9153,193.7,25,-57,1041,0,0,-2
R,4060,9198,197.0,26,-56,1042,0,0,-1
R,4099,9243,200.3,25,-55,1042,0,0,-2
R,4140,9288,203.8,26,-56,1041,0,0,-2
R,4180,9333,207.2,25,-55,1041,0,0,-2
R,4220,9378,210.6,25,-55,1042,0,0,-2
R,4260,9423,214.0,26,-56,1041,0,0,-2
R,4300,9468,217.4,26,-55,1042,0,0,-1
R,4340,9512,220.9,26,-56,1041,0,0,-2
R,4380,9557,224.4,27,-56,1041,0,0,-2
R,4420,9602,227.9,27,-56,1041,0,0,-2
R,4460,9647,231.4,26,-56,1041,0,0,-1
R,4500,9692,234.9,27,-56,1042,0,0,-1
R,4540,9737,238.4,26,-56,1041,0,0,-1
R,4580,9782,242.0,25,-56,1041,0,0,-2
R,4620,9827,245.6,27,-56,1041,-1,0,-2
R,4660,9872,249.2,26,-55,1042,0,0,-1
R,4700,9917,252.8,26,-55,1041,0,0,-2
R,4740,9961,256.4,26,-55,1040,0,0,-1
R,4780,10006,260.0,25,-56,1041,0,0,-1
R,4820,10051,263.7,25,-55,1041,0,0,-1
R,4860,10096,267.4,26,-56,1041,0,0,-2
R,4900,10141,271.1,26,-55,1041,0,0,-1
R,4940,10186,274.8,26,-56,1041,0,0,-2
R,4979,10231,278.4,25,-56,1041,0,0,-2
R,5020,10276,282.2,26,-56,1042,0,0,-2
R,5060,10321,286.0,27,-56,1041,0,0,-1
R,5100,10366,289.7,27,-56,1042,0,0,-2
R,5140,10410,293.5,26,-56,1042,0,0,-2
R,5180,10455,297.3,26,-55,1041,0,0,-2
R,5220,10500,301.2,25,-56,1041,0,0,-2
R,5260,10545,305.0,26,-55,1041,0,0,-1
R,5300,10590,308.8,26,-56,1041,0,0,-1
R,5340,10635,312.7,26,-56,1042,0,0,-1
R,5380,10680,316.6,26,-56,1041,0,0,-1
R,5419,10719,320.4,26,-55,1042,0,0,-2
R,5460,10755,324.4,26,-56,1041,0,0,-2
R,5500,10790,328.3,26,-55,1040,0,0,-2
R,5540,10825,332.3,25,-56,1041,0,0,-2
R,5580,10861,336.2,25,-56,1041,0,0,-1
R,5620,10896,340.2,25,-56,1041,0,0,-2
R,5660,10932,344.2,25,-56,1042,0,0,-2
R,5700,10967,348.2,27,-56,1042,0,0,-1
R,5740,11002,352.2,26,-56,1041,0,0,-1
R,5779,11038,356.1,27,-56,1041,0,0,-2
R,5820,11073,360.2,26,-56,1041,0,0,-1
R,5860,11108,364.3,25,-56,1041,0,0,-1
R,5900,11144,368.3,25,-55,1042,0,0,-1
R,5940,11179,372.4,26,-56,1042,0,0,-2
R,5979,11214,376.4,25,-56,1043,0,0,-1
R,6020,11250,380.6,25,-56,1041,0,0,-1
R,6060,11285,384.7,26,-56,1042,0,0,-2
R,6100,11320,388.8,26,-56,1042,0,0,-1
R,6140,11356,392.9,25,-55,1041,0,0,-2
R,6180,11391,397.1,26,-55,1041,0,0,-2
R,6220,11426,401.2,26,-56,1042,0,0,-1
R,6260,11462,405.4,26,-56,1041,0,0,-2
R,6300,11497,409.6,26,-56,1041,0,0,-2
R,6339,11532,413.7,26,-55,1041,0,0,-2
R,6380,11568,418.0,26,-56,1041,0,0,-2
R,6420,11603,422.2,26,-56,1041,0,0,-2
R,6460,11639,426.4,27,-56,1041,0,0,-2
R,6500,11674,430.7,26,-55,1041,0,0,-2
R,6540,11709,435.0,26,-56,1041,0,0,-1
R,6579,11745,439.1,26,-56,1041,0,0,-1
R,6620,11780,443.5,26,-56,1041,0,0,-1
R,6660,11815,447.8,26,-55,1041,0,0,-2
R,6700,11851,452.1,25,-56,1040,0,0,-2
R,6740,11886,456.5,25,-56,1041,0,0,-2
R,6780,11921,460.8,26,-55,1042,0,0,-2
R,6820,11957,465.2,26,-55,1041,0,0,-2
R,6860,11992,469.5,25,-57,1041,0,0,-1
R,6900,12027,473.9,26,-56,1041,0,0,-2
R,6940,12063,478.3,26,-55,1042,0,0,-1
R,6980,12098,482.7,26,-56,1041,0,0,-2
R,7020,12133,487.1,26,-55,1042,0,0,-2
R,7060,12169,491.5,26,-56,1042,0,0,-2
R,7100,12204,496.0,27,-56,1042,0,0,-2
R,7140,12239,500.4,26,-55,1041,0,0,-2
R,7180,12275,504.9,26,-55,1041,0,0,-2
R,7220,12310,509.4,25,-55,1042,0,0,-2
R,7260,12345,513.9,26,-55,1041,0,0,-2
R,7300,12381,518.4,26,-55,1041,0,0,-2
R,7340,12416,522.9,25,-55,1041,0,0,-2
R,7380,12452,527.4,26,-56,1041,0,0,-2
R,7420,12487,532.0,26,-56,1041,0,0,-2
R,7460,12522,536.5,26,-56,1042,0,0,-1
R,7500,12558,541.1,26,-56,1041,0,0,-2
R,7540,12593,545.7,26,-56,1042,0,0,-1
R,7580,12628,550.3,25,-56,1041,0,0,-2
R,7620,12664,554.9,26,-55,1041,0,0,-2
R,7660,12699,559.5,25,-55,1041,0,0,-2
R,7700,12734,564.2,25,-56,1041,0,0,-2
R,7740,12770,568.8,26,-56,1041,0,0,-2
R,7780,12805,573.5,25,-56,1041,0,0,-2
R,7819,12840,578.0,26,-56,1041,0,0,-2
R,7859,12876,582.7,25,-56,1041,0,0,-2
R,7900,12911,587.5,26,-55,1041,0,0,-2
R,7940,12946,592.2,26,-56,1042,0,0,-2
R,7980,12982,597.0,26,-56,1041,0,0,-2
R,8020,13017,601.7,26,-56,1041,0,0,-2
R,8060,13052,606.5,27,-55,1041,0,0,-2
R,8100,13088,611.2,27,-56,1041,0,0,-2
R,8140,13123,616.0,25,-56,1042,0,0,-2
R,8180,13159,620.8,26,-56,1042,0,0,-1
R,8220,13194,625.6,25,-57,1041,0,0,-1
R,8260,13229,630.4,27,-56,1041,0,0,-2
R,8300,13265,635.2,26,-56,1041,0,0,-2
R,8340,13300,640.1,27,-56,1041,0,0,-1
R,8380,13335,644.9,26,-55,1041,0,0,-2
R,8419,13367,649.7,25,-55,1041,0,0,-2
R,8460,13390,654.7,26,-55,1041,0,0,-2
R,8500,13413,659.6,27,-55,1041,0,0,-1
R,8540,13436,664.5,26,-56,1041,0,0,-1
R,8580,13460,669.4,26,-55,1041,0,0,-1
R,8620,13483,674.3,26,-55,1041,0,0,-1
R,8660,13506,679.2,27,-55,1041,0,0,-2
R,8700,13529,684.1,25,-55,1041,0,0,-1
R,8740,13552,689.1,26,-56,1041,0,0,-2
R,8780,13575,694.0,26,-55,1041,0,0,-2
R,8819,13598,698.8,26,-56,1041,0,0,-2
R,8860,13621,703.9,26,-56,1042,0,0,-1
R,8899,13645,708.8,26,-56,1042,0,0,-2
R,8940,13668,713.9,27,-56,1041,0,0,-1
R,8980,13691,718.9,25,-57,1041,-1,0,-2
R,9020,13714,723.9,26,-57,1041,0,0,-2
R,9060,13737,728.9,27,-55,1041,0,0,-2
R,9100,13760,733.9,27,-55,1040,0,0,-2
R,9140,13783,738.9,26,-55,1042,0,0,-2
R,9180,13807,743.9,25,-55,1041,0,0,-1
R,9220,13830,749.0,26,-56,1042,0,0,-2
R,9260,13853,754.0,25,-56,1041,0,0,-2
R,9300,13876,759.1,27,-56,1041,0,0,-2
R,9340,13899,764.1,26,-56,1041,0,0,-2
R,9380,13922,769.2,27,-55,1041,0,0,-2
R,9420,13945,774.3,26,-56,1041,0,0,-2
