[dump] RUN #1 heure=19:04:05 src=ENTREE_PIN rollout_ms=0 unit=ALLO2 dyn=4 rate_ms=40 gps=1 pre=9 imuf=2/7 ecu=HP statut=ABANDON
[dump] CAL cal=0 gxo_cdps=0 gyo_cdps=0 gzo_cdps=0 cal_tempC=0 run_tempC=28
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1413,0,0.0,28,-32,1064,0,-1,-1
R,-1261,0,0.0,28,-32,1065,0,-1,-2
R,-1100,0,0.0,28,-31,1064,0,-1,-1
R,-946,0,0.0,28,-31,1065,0,-1,-1
R,-786,0,0.0,29,-32,1064,0,-1,-2
R,-636,0,0.0,28,-32,1065,0,-1,-1
R,-475,0,0.0,28,-32,1064,0,-1,-1
R,-312,0,0.0,28,-32,1064,0,-1,-1
R,-152,0,0.0,28,-32,1065,0,-1,-1
R,171,0,0.0,27,-32,1065,0,0,-1
R,197,0,0.0,28,-32,1065,0,-1,-2
R,237,0,0.0,28,-32,1064,0,-1,-1
R,277,0,0.0,28,-32,1065,0,-1,-1
R,318,0,0.0,28,-31,1065,0,-1,-1
R,357,0,0.0,28,-33,1064,0,-1,-1
R,397,0,0.0,28,-32,1065,0,-1,-1
R,437,0,0.0,28,-31,1064,0,0,-1
R,477,0,0.0,27,-32,1064,0,-1,-1
R,517,0,0.0,27,-31,1064,0,0,-1
R,557,0,0.0,28,-31,1064,0,-1,-2
R,597,0,0.0,28,-32,1064,0,-1,-1
R,637,0,0.0,28,-31,1065,0,-1,-1
R,677,0,0.0,27,-32,1064,0,-1,-1
R,717,0,0.0,27,-32,1063,0,-1,-1
R,757,0,0.0,28,-32,1064,0,-1,-1
R,798,0,0.0,28,-32,1064,0,-1,-1
R,837,0,0.0,28,-32,1063,0,-1,-2
R,877,0,0.0,28,-31,1064,0,-1,-2
R,926,0,0.0,27,-32,1064,0,-1,-1
R,957,0,0.0,28,-32,1064,0,-1,-1
R,997,0,0.0,28,-31,1064,0,-1,-1
R,1037,0,0.0,28,-32,1064,0,-1,-2
R,1077,0,0.0,28,-31,1064,0,-1,-2
R,1117,0,0.0,28,-31,1064,0,-1,-1
R,1157,0,0.0,28,-32,1064,0,-1,-2
R,1197,0,0.0,28,-31,1064,0,-1,-2
R,1238,0,0.0,27,-32,1064,0,-1,-1
R,1278,0,0.0,27,-31,1065,0,-1,-1
R,1317,0,0.0,28,-32,1065,0,-1,-1
R,1357,0,0.0,28,-31,1064,0,-1,-1
R,1398,0,0.0,28,-32,1064,0,-1,-1
R,1437,0,0.0,28,-31,1064,0,0,-1
R,1477,0,0.0,28,-31,1063,0,0,-1
R,1517,0,0.0,27,-32,1063,0,-1,-1
R,1557,0,0.0,27,-31,1063,0,-1,-1
R,1598,0,0.0,28,-31,1063,0,-1,-1
R,1637,0,0.0,28,-31,1064,0,-1,-1
R,1677,0,0.0,28,-31,1063,0,-1,-1
R,1717,0,0.0,27,-31,1064,0,-1,-1
R,1757,0,0.0,28,-31,1064,0,-1,-1
R,1797,0,0.0,27,-31,1063,0,-1,-2
R,1837,0,0.0,28,-31,1064,0,-1,-1
R,1878,0,0.0,28,-31,1065,0,0,-2
R,1925,0,0.0,28,-32,1064,0,-1,-2
R,1957,0,0.0,27,-31,1064,0,-1,-1
R,1997,0,0.0,27,-31,1064,0,-1,-1
R,2037,0,0.0,27,-32,1064,0,-1,-2
R,2077,0,0.0,28,-32,1064,0,-1,-2
R,2117,0,0.0,28,-31,1064,0,-1,-1
R,2157,0,0.0,28,-31,1064,0,-1,-2
R,2197,0,0.0,27,-31,1064,0,0,-1
R,2237,0,0.0,28,-32,1064,0,-1,-1
R,2277,0,0.0,28,-31,1063,0,-1,-2
R,2317,0,0.0,28,-31,1064,0,-1,-1
R,2358,0,0.0,29,-32,1064,0,-1,-1
R,2397,0,0.0,27,-32,1063,0,-1,-1
R,2437,0,0.0,28,-31,1063,0,-1,-2
R,2477,0,0.0,27,-31,1063,0,-1,-1
R,2517,0,0.0,28,-31,1064,0,-1,-1
R,2557,0,0.0,28,-31,1065,0,-1,-2
R,2597,0,0.0,28,-32,1065,0,-1,-2
R,2637,0,0.0,28,-32,1064,0,-1,-1
R,2677,0,0.0,28,-31,1064,0,-1,-1
R,2717,0,0.0,27,-31,1065,0,-1,-1
R,2757,0,0.0,27,-32,1064,0,-1,-1
R,2797,0,0.0,28,-31,1064,0,-1,-1
R,2838,0,0.0,28,-31,1065,0,-1,-1
R,2877,0,0.0,28,-31,1064,0,-1,-2
R,2926,0,0.0,27,-31,1063,0,-1,-1
R,2958,0,0.0,28,-32,1063,0,-1,-1
R,2997,0,0.0,28,-32,1064,0,0,-1
R,3037,0,0.0,27,-31,1063,0,0,-1
R,3077,0,0.0,28,-32,1063,0,-1,-2
R,3117,0,0.0,27,-32,1064,0,-1,-1
R,3157,0,0.0,28,-32,1064,0,-1,-2
R,3197,0,0.0,28,-32,1063,0,-1,-1
R,3239,0,0.0,27,-32,1064,0,-1,-2
R,3277,0,0.0,27,-31,1063,0,-1,-2
R,3320,0,0.0,28,-31,1064,0,-1,-2
R,3357,0,0.0,27,-31,1063,0,-1,-2
R,3397,0,0.0,27,-32,1064,0,-1,-2
R,3437,0,0.0,28,-31,1064,0,-1,-1
R,3477,0,0.0,27,-31,1064,0,0,-2
R,3517,0,0.0,27,-30,1062,0,-1,-2
R,3557,0,0.0,29,-31,1064,0,-1,-2
R,3600,0,0.0,28,-32,1063,0,-1,-1
R,3637,0,0.0,28,-32,1063,0,-1,-1
R,3680,0,0.0,28,-32,1064,0,-1,-1
R,3717,0,0.0,28,-31,1063,0,0,-1
R,3759,0,0.0,28,-30,1063,0,-1,-1
R,3797,0,0.0,28,-31,1064,0,-1,-1
R,3837,0,0.0,28,-31,1063,0,-1,-1
R,3879,0,0.0,29,-31,1063,0,-1,-1
R,3927,0,0.0,28,-33,1062,0,-1,-1
R,3960,0,0.0,27,-32,1063,0,0,-1
R,3997,0,0.0,27,-31,1064,0,-1,-2
R,4039,0,0.0,28,-32,1063,0,-1,-1
R,4077,0,0.0,28,-31,1063,0,-1,-1
R,4118,0,0.0,28,-31,1063,0,-1,-1
R,4157,0,0.0,28,-32,1063,0,-1,-2
R,4197,0,0.0,28,-31,1063,0,-1,-2
R,4237,0,0.0,28,-31,1063,0,-1,-2
R,4277,0,0.0,28,-32,1065,0,-1,-1
R,4319,0,0.0,28,-31,1065,0,0,-1
R,4357,0,0.0,28,-32,1063,0,-1,-1
R,4400,0,0.0,27,-32,1063,0,-1,-1
R,4437,0,0.0,28,-32,1064,0,-1,-1
R,4477,0,0.0,28,-31,1064,0,-1,-1
R,4517,0,0.0,27,-31,1064,0,-1,-2
R,4557,0,0.0,27,-32,1063,0,-1,-2
R,4600,0,0.0,27,-31,1063,0,-1,-1
R,4637,0,0.0,28,-32,1062,0,0,-1
R,4680,0,0.0,27,-31,1065,0,-1,-2
R,4717,0,0.0,27,-32,1063,0,-1,-1
R,4759,0,0.0,27,-31,1063,0,-1,-1
R,4797,0,0.0,27,-31,1064,0,-1,-1
R,4837,0,0.0,27,-32,1064,0,-1,-1
R,4877,0,0.0,28,-32,1064,0,-1,-1
R,4925,0,0.0,28,-32,1063,0,-1,-1
R,4959,0,0.0,27,-31,1063,0,-1,-1
R,4997,0,0.0,28,-31,1063,0,-1,-1
R,5041,0,0.0,27,-32,1063,0,-1,-1
R,5077,0,0.0,27,-32,1064,0,-1,-1
R,5118,0,0.0,27,-33,1063,0,-1,-1
R,5157,0,0.0,27,-32,1064,0,-1,-1
R,5198,0,0.0,28,-32,1063,0,-1,-1
R,5237,0,0.0,29,-32,1064,0,-1,-1
R,5277,0,0.0,28,-32,1063,0,-1,-1
R,5317,0,0.0,28,-31,1064,0,-1,-1
R,5357,0,0.0,28,-31,1064,0,-1,-1
R,5400,0,0.0,28,-31,1063,0,-1,-1
R,5437,0,0.0,28,-31,1064,0,-1,-1
R,5481,0,0.0,27,-32,1064,0,-1,-1
R,5517,0,0.0,28,-31,1064,0,-1,-1
R,5558,0,0.0,27,-32,1063,0,-1,-1
R,5597,0,0.0,28,-32,1064,0,-1,-1
R,5637,0,0.0,27,-32,1064,0,-1,-1
R,5677,0,0.0,27,-32,1064,0,-1,-2
R,5717,0,0.0,27,-30,1064,0,-1,-1
R,5759,0,0.0,29,-30,1063,0,-1,-1
R,5797,0,0.0,28,-32,1063,0,-1,-1
R,5841,0,0.0,28,-32,1063,0,-1,-1
R,5877,0,0.0,29,-33,1063,-2,-1,-1
R,5926,0,0.0,28,-32,1063,0,-1,-1
R,5958,0,0.0,28,-32,1063,0,-1,-2
R,5997,0,0.0,28,-31,1063,0,-1,-1
R,6037,0,0.0,28,-32,1063,0,-1,-2
R,6077,0,0.0,27,-31,1063,0,-1,-2
R,6117,0,0.0,28,-31,1063,0,-1,-2
R,6157,0,0.0,28,-32,1063,0,-1,-1
R,6200,0,0.0,27,-32,1063,0,-1,-2
R,6237,0,0.0,28,-32,1064,0,-1,-2
R,6279,0,0.0,27,-32,1064,0,-1,-2
R,6317,0,0.0,28,-31,1062,0,-1,-1
R,6357,0,0.0,29,-31,1064,0,-1,-1
R,6397,0,0.0,28,-31,1063,0,-1,-1
R,6437,0,0.0,29,-31,1063,0,-1,-2
R,6480,0,0.0,29,-32,1064,0,0,-1
R,6517,0,0.0,28,-31,1063,0,-1,-1
R,6561,0,0.0,28,-31,1063,0,-1,-1
R,6597,0,0.0,28,-31,1063,0,-1,-1
R,6637,0,0.0,28,-31,1064,0,-1,-1
R,6677,0,0.0,28,-32,1063,0,-1,-1
R,6717,0,0.0,28,-32,1063,0,-1,-2
R,6757,0,0.0,27,-32,1063,0,-1,-2
R,6797,0,0.0,28,-31,1063,0,-1,-1
R,6839,0,0.0,27,-32,1063,0,0,-1
R,6877,0,0.0,27,-31,1063,0,-1,-2
R,6927,0,0.0,28,-31,1063,0,-1,-1
R,6957,0,0.0,28,-31,1063,0,-1,-1
R,6997,0,0.0,28,-31,1063,0,-1,-1
