[dump] RUN #1 heure=19:23:34 src=SEUIL_GPS rollout_ms=0 unit=JAY_B dyn=7 rate_ms=40 gps=1 pre=0 imuf=2/7 ecu=HP statut=ABANDON
[dump] CAL cal=0 gxo_cdps=0 gyo_cdps=0 gzo_cdps=0 cal_tempC=0 run_tempC=22
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,147,8,10.0,84,-31,1049,0,0,-1
R,176,16,10.0,85,-31,1048,0,0,-1
R,214,21,10.0,84,-31,1048,0,0,-1
R,254,17,10.0,84,-29,1048,0,0,-2
R,294,5,10.0,84,-29,1049,0,0,-2
R,336,14,10.1,84,-30,1051,0,0,-2
R,387,22,10.1,84,-30,1049,0,0,-2
R,414,9,10.1,84,-31,1048,0,0,-1
R,456,12,10.1,84,-31,1049,0,0,-2
R,497,6,10.1,84,-31,1048,0,0,-1
R,534,14,10.1,83,-30,1049,0,0,-2
R,575,14,10.1,84,-30,1048,0,0,-1
R,614,6,10.1,84,-30,1049,0,0,-2
R,656,17,10.1,84,-29,1049,0,0,-1
R,694,8,10.1,84,-30,1050,0,0,-1
R,734,20,10.1,84,-30,1048,0,0,-2
R,774,12,10.1,85,-30,1048,0,0,-1
R,814,16,10.1,84,-30,1048,0,0,-1
R,855,5,10.1,84,-31,1049,0,0,-1
R,895,26,10.1,84,-31,1048,0,0,-1
R,934,18,10.1,85,-31,1049,0,0,-1
R,974,34,10.1,83,-30,1048,0,0,-2
R,1015,15,10.1,84,-30,1049,0,0,-2
R,1054,20,10.2,84,-30,1049,0,0,-2
R,1096,27,10.2,83,-30,1049,0,0,-2
R,1135,9,10.2,85,-30,1049,0,0,-2
R,1174,19,10.2,84,-30,1049,0,0,-2
R,1214,15,10.2,84,-29,1049,0,0,-2
R,1254,5,10.2,84,-29,1048,0,0,-2
R,1294,17,10.2,84,-30,1049,0,0,-1
R,1334,8,10.2,84,-30,1049,0,0,-2
R,1388,9,10.2,84,-31,1049,0,0,-1
R,1414,8,10.2,84,-30,1049,0,0,-2
R,1454,29,10.2,84,-31,1049,0,0,-2
R,1496,15,10.2,84,-30,1049,0,0,-2
R,1534,10,10.2,82,-29,1049,0,0,-2
R,1574,5,10.2,83,-29,1049,0,0,-1
R,1614,25,10.2,84,-30,1049,0,0,-2
R,1655,14,10.2,84,-30,1049,0,0,-1
R,1694,8,10.2,84,-30,1049,0,0,-2
R,1734,1,10.2,85,-30,1048,0,0,-2
R,1774,18,10.2,84,-30,1048,0,0,-2
R,1814,9,10.2,84,-30,1049,0,0,-2
R,1854,19,10.3,84,-30,1048,0,0,-2
R,1895,14,10.3,85,-30,1050,0,0,-1
R,1934,25,10.3,84,-30,1048,0,0,-1
R,1975,28,10.3,85,-29,1048,0,0,-1
R,2014,16,10.3,84,-30,1049,0,0,-2
R,2054,18,10.3,83,-30,1048,0,0,-1
R,2094,5,10.3,85,-31,1049,0,0,-2
R,2134,22,10.3,84,-29,1048,0,0,-2
R,2174,9,10.3,84,-30,1049,0,0,-2
R,2214,6,10.3,84,-30,1049,0,0,-2
R,2254,17,10.3,84,-29,1049,0,0,-2
R,2293,21,10.3,84,-29,1049,0,0,-1
R,2335,27,10.3,84,-30,1049,0,0,-2
R,2387,18,10.3,84,-30,1049,0,0,-2
R,2414,34,10.3,84,-30,1049,0,0,-2
R,2454,19,10.4,84,-30,1049,0,0,-1
R,2496,21,10.4,84,-31,1048,0,0,-2
R,2534,6,10.4,84,-30,1048,0,0,-1
R,2574,12,10.4,84,-30,1048,0,0,-1
R,2614,22,10.4,84,-30,1048,0,0,-2
R,2654,10,10.4,85,-29,1049,0,0,-2
R,2695,6,10.4,84,-30,1048,0,0,-2
R,2734,15,10.4,84,-30,1049,0,0,-1
R,2774,14,10.4,84,-29,1049,0,0,-2
R,2815,14,10.4,84,-30,1048,0,0,-1
R,2854,5,10.4,84,-30,1049,0,0,-2
R,2894,19,10.4,84,-30,1049,0,0,-1
R,2935,15,10.4,84,-31,1048,0,0,-1
R,2974,10,10.4,83,-30,1048,0,0,-2
R,3014,20,10.4,83,-31,1049,0,0,-2
R,3055,13,10.4,84,-30,1049,0,0,-2
R,3094,10,10.4,84,-30,1049,0,0,-2
R,3134,23,10.4,83,-30,1050,0,0,-1
R,3175,11,10.4,85,-30,1048,0,0,-2
R,3214,5,10.4,84,-30,1048,0,0,-1
R,3253,30,10.5,84,-30,1049,0,0,-1
R,3295,13,10.5,84,-30,1049,0,0,-1
R,3335,10,10.5,84,-31,1050,0,0,-2
R,3388,8,10.5,84,-30,1049,0,0,-1
R,3415,18,10.5,82,-30,1049,0,0,-2
R,3454,13,10.5,85,-30,1050,0,0,-1
R,3496,19,10.5,84,-30,1048,0,0,-2
R,3535,19,10.5,84,-30,1050,0,0,-1
R,3575,7,10.5,85,-31,1049,0,0,-1
R,3615,11,10.5,84,-29,1048,0,0,-1
R,3655,6,10.5,85,-30,1049,0,0,-2
R,3694,20,10.5,84,-29,1049,0,0,-1
R,3734,9,10.5,83,-29,1048,0,0,-1
R,3775,16,10.5,83,-30,1049,0,0,-2
R,3814,30,10.5,83,-30,1048,0,0,-2
R,3856,7,10.5,83,-30,1049,0,0,-1
R,3895,15,10.5,84,-30,1049,0,0,-1
R,3935,12,10.5,84,-30,1047,0,0,-2
R,3974,26,10.5,84,-30,1050,0,0,-1
R,4015,11,10.6,84,-30,1049,0,0,-2
R,4054,12,10.6,84,-30,1048,0,0,-2
R,4094,19,10.6,84,-31,1049,0,0,-1
R,4135,17,10.6,84,-30,1048,0,0,-1
R,4174,9,10.6,85,-30,1049,0,0,-1
R,4214,18,10.6,85,-30,1049,0,0,-1
R,4254,12,10.6,84,-30,1049,0,0,-1
R,4295,9,10.6,84,-30,1048,0,0,-2
R,4334,10,10.6,84,-30,1049,0,0,-1
R,4388,3,10.6,84,-30,1050,0,0,-1
R,4414,1,10.6,83,-30,1049,0,0,-2
R,4454,14,10.6,84,-30,1050,0,0,-2
R,4497,17,10.6,84,-30,1048,0,0,-1
R,4534,3,10.6,84,-30,1049,0,0,-2
R,4574,9,10.6,85,-30,1050,0,0,-1
R,4614,7,10.6,84,-30,1048,0,0,-1
R,4655,19,10.6,84,-30,1048,0,0,-2
R,4693,10,10.6,84,-30,1049,0,0,-1
R,4734,4,10.6,84,-30,1048,0,0,-2
R,4775,9,10.6,84,-30,1049,0,0,-2
R,4814,10,10.6,84,-30,1049,0,0,-1
R,4855,14,10.6,84,-30,1049,0,0,-1
R,4895,8,10.6,84,-30,1048,0,0,-1
R,4934,32,10.6,84,-30,1049,0,0,-2
R,4975,5,10.7,85,-30,1049,0,0,-1
R,5015,13,10.7,84,-31,1048,0,0,-1
R,5054,4,10.7,84,-30,1050,0,0,-1
R,5094,9,10.7,84,-30,1048,0,0,-2
R,5135,12,10.7,83,-30,1049,0,0,-1
R,5173,6,10.7,83,-29,1049,0,0,-1
R,5214,1,10.7,83,-30,1048,0,0,-1
R,5255,8,10.7,84,-30,1048,0,0,-1
R,5294,17,10.7,84,-29,1049,0,0,-1
R,5334,15,10.7,84,-31,1049,0,0,-1
R,5387,13,10.7,85,-30,1049,0,0,-1
R,5415,8,10.7,85,-30,1049,0,0,-2
R,5454,17,10.7,83,-30,1048,0,0,-1
R,5496,18,10.7,85,-29,1048,0,0,-1
R,5534,15,10.7,84,-29,1047,0,0,-2
R,5574,8,10.7,83,-30,1050,0,0,-2
R,5614,14,10.7,84,-28,1049,0,0,-1
R,5654,12,10.7,84,-30,1047,0,0,-1
R,5694,33,10.7,84,-30,1047,0,0,-1
R,5734,22,10.7,85,-30,1050,0,0,-2
R,5774,28,10.8,84,-30,1048,0,0,-1
R,5815,23,10.8,84,-29,1048,0,0,-2
R,5854,13,10.8,83,-29,1049,0,0,-1
R,5894,13,10.8,84,-29,1047,0,0,-2
R,5934,9,10.8,84,-29,1049,0,0,-1
R,5974,18,10.8,83,-30,1048,0,0,-2
R,6014,18,10.8,84,-29,1049,0,0,-2
R,6054,18,10.8,83,-31,1048,0,0,-1
R,6094,15,10.8,84,-30,1048,0,0,-1
R,6134,9,10.8,83,-30,1048,0,0,-1
R,6174,16,10.8,84,-30,1048,0,0,-2
R,6214,22,10.8,84,-30,1049,0,0,-2
R,6254,10,10.8,84,-30,1049,0,0,-1
R,6294,14,10.8,84,-31,1049,0,0,-2
R,6334,19,10.8,84,-30,1049,0,0,-1
R,6388,24,10.8,83,-30,1049,0,0,-1
R,6414,22,10.8,84,-30,1049,0,0,-2
R,6454,5,10.9,83,-30,1048,0,0,-1
R,6495,12,10.9,83,-30,1049,0,0,-1
R,6534,17,10.9,84,-29,1049,0,0,-2
R,6574,7,10.9,84,-30,1049,0,0,-1
R,6615,2,10.9,84,-30,1049,0,0,-2
R,6654,23,10.9,84,-30,1048,0,0,-2
R,6694,20,10.9,84,-31,1048,0,0,-2
R,6734,14,10.9,83,-30,1049,0,0,-1
R,6774,8,10.9,83,-31,1049,0,0,-2
R,6815,27,10.9,84,-30,1049,0,0,-2
R,6854,14,10.9,85,-29,1048,0,0,-2
R,6895,3,10.9,84,-30,1049,0,0,-1
R,6935,17,10.9,84,-30,1049,0,0,-2
R,6974,15,10.9,85,-31,1049,0,0,-1
R,7014,11,10.9,83,-30,1048,0,0,-1
R,7055,15,10.9,84,-29,1049,0,0,-2
R,7094,17,10.9,84,-31,1049,0,0,-2
R,7134,14,10.9,84,-30,1048,0,0,-2
R,7174,10,10.9,84,-30,1048,0,0,-2
R,7214,25,10.9,83,-30,1048,0,0,-2
R,7254,18,11.0,84,-29,1049,0,0,-1
R,7294,8,11.0,84,-30,1049,0,0,-2
R,7335,9,11.0,84,-29,1049,0,0,-1
R,7387,13,11.0,84,-30,1050,0,0,-2
R,7414,10,11.0,84,-30,1048,0,0,-2
R,7454,15,11.0,84,-30,1049,0,0,-1
R,7497,2,11.0,84,-30,1050,0,0,-2
R,7534,8,11.0,85,-30,1049,0,0,-2
R,7574,13,11.0,84,-29,1048,0,0,-1
R,7614,1,11.0,84,-29,1048,0,0,-1
R,7654,8,11.0,84,-30,1048,0,0,-1
R,7694,12,11.0,83,-30,1050,0,0,-2
R,7734,20,11.0,83,-30,1049,0,0,-1
R,7775,27,11.0,85,-30,1049,0,0,-2
R,7814,18,11.0,84,-29,1049,0,0,-2
R,7854,7,11.0,84,-30,1048,0,0,-1
R,7895,20,11.0,83,-29,1049,0,0,-1
R,7934,21,11.0,85,-30,1049,0,0,-1
R,7975,15,11.0,83,-31,1049,0,0,-1
R,8015,10,11.0,84,-30,1049,0,0,-2
R,8054,17,11.0,84,-31,1049,0,0,-2
R,8094,13,11.1,84,-30,1049,0,0,-2
R,8134,25,11.1,84,-31,1049,0,0,-2
R,8173,27,11.1,83,-30,1049,0,0,-2
R,8214,10,11.1,84,-30,1048,0,0,-2
R,8255,9,11.1,84,-30,1048,0,0,-2
R,8294,17,11.1,84,-31,1049,0,0,-2
R,8334,21,11.1,84,-31,1049,0,0,-2
R,8388,17,11.1,83,-30,1049,0,0,-2
R,8414,5,11.1,84,-30,1048,0,0,-2
R,8454,21,11.1,84,-29,1048,0,0,-1
R,8496,1,11.1,84,-29,1049,0,0,-2
R,8534,16,11.1,84,-30,1049,0,0,-1
R,8574,17,11.1,83,-30,1049,0,0,-1
R,8614,10,11.1,84,-30,1050,0,0,-2
R,8654,8,11.1,85,-30,1049,0,0,-1
R,8694,21,11.1,83,-30,1049,0,0,-2
R,8734,15,11.1,83,-30,1049,0,0,-2
R,8774,21,11.1,84,-29,1050,0,0,-2
R,8815,25,11.2,83,-29,1049,0,0,-1
R,8854,26,11.2,84,-29,1048,0,0,-2
R,8894,12,11.2,84,-30,1048,0,0,-2
R,8935,7,11.2,84,-30,1048,0,0,-1
R,8974,10,11.2,84,-31,1049,0,0,-2
R,9014,14,11.2,85,-31,1049,0,0,-2
R,9055,3,11.2,84,-30,1049,0,0,-2
R,9094,17,11.2,84,-29,1049,0,0,-2
R,9133,15,11.2,83,-29,1049,0,0,-2
R,9175,5,11.2,84,-30,1049,0,0,-2
R,9214,8,11.2,85,-30,1049,0,0,-1
R,9254,10,11.2,84,-30,1048,0,0,-2
R,9295,6,11.2,83,-30,1049,0,0,-1
R,9334,17,11.2,84,-30,1048,0,0,-2
R,9388,21,11.2,83,-30,1049,0,0,-1
R,9414,3,11.2,83,-31,1049,0,0,-2
R,9454,10,11.2,84,-30,1049,0,0,-1
R,9495,11,11.2,84,-29,1049,0,0,-2
R,9534,23,11.2,84,-29,1049,0,0,-2
R,9574,19,11.2,84,-30,1049,0,0,-1
R,9614,4,11.2,84,-30,1049,0,0,-1
R,9654,3,11.3,83,-30,1049,0,0,-2
R,9695,29,11.3,83,-30,1049,0,0,-1
R,9734,14,11.3,83,-30,1049,0,0,-2
R,9775,5,11.3,84,-29,1048,0,0,-1
R,9815,18,11.3,83,-30,1050,0,0,-2
R,9855,22,11.3,84,-29,1049,0,0,-2
R,9894,22,11.3,83,-30,1048,0,0,-1
R,9934,22,11.3,83,-30,1049,0,0,-1
R,9974,36,11.3,84,-30,1048,0,0,-1
R,10014,22,11.3,84,-30,1050,0,0,-1
R,10054,20,11.3,84,-30,1050,0,0,-1
R,10093,26,11.3,85,-31,1049,0,0,-2
R,10135,11,11.3,84,-29,1048,0,0,-1
R,10175,17,11.3,83,-29,1049,0,0,-1
R,10214,3,11.3,83,-30,1049,0,0,-1
R,10255,19,11.4,83,-30,1049,0,0,-1
R,10294,7,11.4,83,-30,1048,0,0,-2
R,10334,12,11.4,83,-31,1048,0,0,-1
R,10388,19,11.4,84,-30,1048,0,0,-2
R,10414,8,11.4,84,-31,1048,0,0,-1
R,10454,31,11.4,84,-30,1050,0,0,-2
R,10496,26,11.4,84,-29,1049,0,0,-2
R,10534,29,11.4,84,-29,1049,0,0,-2
R,10573,12,11.4,85,-30,1048,0,0,-1
R,10613,28,11.4,84,-30,1049,0,0,-1
R,10655,24,11.4,83,-32,1049,0,0,-2
R,10694,15,11.4,84,-30,1049,0,0,-2
R,10734,15,11.4,84,-30,1048,0,0,-2
R,10775,17,11.4,85,-30,1049,0,0,-1
R,10814,14,11.4,84,-29,1049,0,0,-1
R,10854,5,11.4,85,-29,1049,0,0,-1
R,10895,11,11.5,84,-30,1048,0,0,-2
R,10934,24,11.5,84,-31,1048,0,0,-2
R,10974,12,11.5,84,-30,1050,0,0,-2
R,11015,8,11.5,85,-30,1050,0,0,-2
R,11053,9,11.5,85,-30,1049,0,0,-2
R,11094,18,11.5,84,-29,1048,0,0,-2
R,11135,11,11.5,84,-29,1048,0,0,-1
R,11175,15,11.5,84,-30,1049,0,0,-2
R,11214,8,11.5,84,-30,1049,0,0,-2
R,11255,16,11.5,84,-30,1049,0,0,-1
R,11295,17,11.5,84,-30,1049,0,0,-2
R,11334,18,11.5,84,-30,1049,0,0,-2
R,11388,10,11.5,85,-29,1049,0,0,-2
R,11414,10,11.5,84,-30,1050,0,0,-2
R,11454,25,11.5,83,-29,1049,0,0,-1
R,11496,33,11.5,84,-30,1049,0,0,-2
R,11534,10,11.5,84,-30,1049,0,0,-2
R,11574,17,11.5,83,-31,1049,0,0,-1
R,11614,18,11.6,85,-31,1048,0,0,-2
R,11654,8,11.6,84,-31,1048,0,0,-2
R,11694,10,11.6,85,-30,1049,0,0,-2
R,11735,13,11.6,85,-30,1048,0,0,-2
R,11774,21,11.6,84,-30,1048,0,0,-2
R,11814,10,11.6,83,-30,1049,0,0,-2
R,11854,0,11.6,84,-29,1049,0,0,-1
R,11894,13,11.6,84,-30,1047,0,0,-2
R,11935,10,11.6,84,-30,1049,0,0,-2
R,11974,13,11.6,84,-30,1049,0,0,-2
R,12014,20,11.6,85,-31,1048,0,0,-2
R,12054,6,11.6,83,-30,1048,0,0,-2
R,12094,3,11.6,84,-29,1050,0,0,-1
R,12134,18,11.6,84,-29,1048,0,0,-2
R,12175,19,11.6,84,-30,1049,0,0,-1
R,12214,28,11.6,84,-30,1048,0,0,-2
R,12254,26,11.6,84,-30,1048,0,0,-2
R,12295,11,11.6,84,-30,1048,0,0,-2
R,12334,14,11.6,84,-30,1049,0,0,-2
R,12388,17,11.7,85,-30,1049,0,0,-2
R,12414,18,11.7,84,-29,1049,0,0,-2
R,12454,25,11.7,84,-30,1048,0,0,-2
R,12496,21,11.7,84,-30,1049,0,0,-2
R,12533,26,11.7,84,-30,1049,0,0,-2
R,12574,26,11.7,84,-29,1047,0,0,-1
R,12614,15,11.7,85,-30,1048,0,0,-1
R,12655,3,11.7,84,-30,1048,0,0,-1
R,12694,19,11.7,83,-31,1049,0,0,-2
R,12734,12,11.7,84,-30,1049,0,0,-2
R,12774,3,11.7,84,-29,1049,0,0,-2
R,12814,23,11.7,84,-30,1049,0,0,-1
R,12854,9,11.7,84,-29,1049,0,0,-2
R,12894,12,11.7,85,-31,1048,0,0,-2
R,12934,20,11.7,84,-31,1047,0,0,-2
R,12974,5,11.7,84,-30,1049,0,0,-1
R,13013,8,11.7,84,-30,1049,0,0,-2
R,13054,22,11.7,84,-30,1049,0,0,-1
R,13094,15,11.8,84,-29,1049,0,0,-2
R,13134,5,11.8,84,-30,1049,0,0,-1
R,13174,19,11.8,84,-30,1048,0,0,-2
R,13214,5,11.8,85,-30,1048,0,0,-2
R,13254,17,11.8,84,-30,1049,0,0,-2
R,13295,6,11.8,83,-30,1049,0,0,-2
R,13334,13,11.8,84,-30,1050,0,0,-2
R,13387,9,11.8,84,-30,1049,0,0,-2
R,13415,14,11.8,84,-31,1049,0,0,-2
R,13454,21,11.8,83,-30,1048,0,0,-2
R,13495,2,11.8,84,-29,1048,0,0,-2
R,13534,22,11.8,84,-30,1049,0,0,-2
R,13574,18,11.8,84,-30,1048,0,0,-1
R,13615,5,11.8,84,-31,1049,0,0,-2
R,13655,24,11.8,84,-29,1050,0,0,-2
R,13694,17,11.8,84,-30,1049,0,0,-2
R,13734,18,11.8,84,-30,1049,0,0,-1
R,13775,5,11.8,83,-30,1048,0,0,-1
R,13814,8,11.8,84,-30,1048,0,0,-1
R,13854,16,11.8,84,-30,1050,0,0,-1
R,13895,14,11.8,84,-30,1049,0,0,-1
R,13934,8,11.8,83,-30,1049,0,0,-2
R,13974,23,11.9,85,-30,1048,0,0,-1
R,14015,8,11.9,83,-30,1049,0,0,-1
R,14053,16,11.9,84,-29,1048,0,0,-2
R,14094,21,11.9,84,-30,1049,0,0,-1
R,14134,19,11.9,84,-30,1049,0,0,-2
R,14174,27,11.9,84,-30,1050,0,0,-2
R,14214,26,11.9,84,-30,1049,0,0,-2
R,14255,10,11.9,84,-30,1050,0,0,-2
R,14294,18,11.9,84,-30,1049,0,0,-2
R,14334,19,11.9,85,-29,1047,0,0,-2
R,14388,8,11.9,84,-30,1048,0,0,-1
R,14414,14,11.9,84,-30,1050,0,0,-2
R,14454,21,11.9,84,-30,1050,0,0,-2
R,14495,20,11.9,85,-31,1049,0,0,-1
R,14534,7,11.9,84,-30,1047,0,0,-1
R,14574,14,11.9,85,-30,1049,0,0,-2
R,14614,9,12.0,84,-29,1048,0,0,-2
R,14655,10,12.0,84,-31,1048,0,0,-1
R,14694,5,12.0,84,-29,1048,0,0,-1
R,14735,10,12.0,84,-31,1049,0,0,-1
R,14774,18,12.0,84,-30,1049,0,0,-1
R,14815,10,12.0,84,-31,1049,0,0,-2
R,14854,18,12.0,84,-31,1048,0,0,-2
