[dump] RUN #1 heure=19:25:09 src=SEUIL_GPS rollout_ms=0 unit=JAY_B dyn=7 rate_ms=40 gps=1 pre=9 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=0 gxo_cdps=0 gyo_cdps=0 gzo_cdps=0 cal_tempC=0 run_tempC=22
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1393,40,0.0,84,-30,1051,0,0,-1
R,-1239,40,0.0,83,-30,1051,0,0,-1
R,-1084,40,0.0,84,-29,1052,0,0,-1
R,-929,40,0.0,84,-31,1052,0,0,-1
R,-778,40,0.0,85,-30,1052,0,0,-2
R,-623,40,0.0,84,-30,1051,0,0,-2
R,-464,40,0.0,84,-30,1051,0,0,-1
R,-310,40,0.0,84,-30,1051,0,0,-2
R,-155,40,0.0,85,-29,1051,0,0,-1
R,168,860,0.8,84,-29,1051,0,0,-1
R,208,1027,1.1,84,-29,1051,0,0,-1
R,248,1193,1.5,84,-30,1052,0,0,-2
R,288,1360,2.0,84,-30,1051,0,0,-2
R,327,1526,2.5,84,-30,1051,0,0,-2
R,368,1692,3.1,84,-30,1052,0,0,-2
R,408,1859,3.8,85,-30,1051,0,0,-1
R,448,2025,4.5,84,-29,1051,0,0,-2
R,488,2192,5.2,84,-30,1051,0,0,-1
R,527,2299,6.0,84,-29,1051,0,0,-1
R,567,2403,6.9,84,-30,1051,0,0,-1
R,607,2507,7.8,84,-31,1052,0,0,-2
R,648,2611,8.7,84,-30,1051,0,0,-2
R,688,2715,9.7,84,-30,1051,0,0,-1
R,728,2819,10.7,83,-30,1051,0,0,-1
R,767,2923,11.7,83,-29,1051,0,0,-1
R,808,3027,12.9,85,-30,1051,0,0,-2
R,848,3131,14.0,84,-29,1052,0,0,-1
R,887,3235,15.1,84,-29,1051,0,0,-1
R,928,3339,16.3,84,-31,1051,0,0,-2
R,968,3443,17.6,84,-31,1051,0,0,-2
R,1008,3523,18.8,84,-30,1051,0,0,-1
R,1047,3575,20.1,84,-30,1050,0,0,-2
R,1088,3627,21.4,84,-30,1051,0,0,-2
R,1128,3679,22.8,85,-29,1052,0,0,-2
R,1167,3731,24.1,85,-30,1050,0,0,-1
R,1208,3783,25.5,83,-30,1051,0,0,-2
R,1248,3835,26.9,84,-31,1052,0,0,-1
R,1288,3887,28.3,83,-31,1051,0,0,-2
R,1328,3939,29.7,84,-31,1052,0,0,-2
R,1368,3991,31.2,83,-30,1053,0,0,-2
R,1408,4043,32.6,84,-29,1051,0,0,-2
R,1448,4095,34.1,84,-29,1051,0,0,-1
R,1488,4147,35.6,84,-30,1050,0,0,-1
R,1528,4199,37.1,84,-31,1050,0,0,-1
R,1568,4251,38.7,84,-30,1050,0,0,-1
R,1607,4303,40.2,84,-31,1050,0,0,-2
R,1647,4355,41.8,83,-30,1050,0,0,-1
R,1687,4407,43.4,84,-30,1051,0,0,-2
R,1728,4459,45.0,83,-29,1051,0,0,-2
R,1768,4511,46.7,84,-29,1051,0,0,-2
R,1808,4563,48.3,83,-30,1052,0,0,-2
R,1848,4615,50.0,84,-29,1051,0,0,-2
R,1887,4667,51.6,83,-30,1051,0,0,-1
R,1928,4719,53.4,85,-31,1051,0,0,-2
R,1967,4771,55.1,84,-31,1050,0,0,-1
R,2008,4844,56.9,84,-30,1050,0,0,-1
R,2047,4943,58.6,84,-30,1051,0,0,-2
R,2088,5042,60.5,83,-28,1050,0,0,-2
R,2128,5140,62.3,84,-29,1051,0,0,-1
R,2168,5239,64.2,84,-31,1051,0,0,-1
R,2207,5338,66.1,84,-30,1050,0,0,-1
R,2248,5436,68.1,85,-30,1051,0,0,-1
R,2287,5535,70.1,85,-30,1050,0,0,-2
R,2328,5634,72.2,84,-29,1050,0,0,-1
R,2368,5732,74.2,83,-29,1049,0,0,-2
R,2407,5831,76.3,83,-29,1051,0,0,-2
R,2448,5930,78.5,83,-29,1051,0,0,-1
R,2487,6028,80.6,83,-29,1051,0,0,-1
R,2528,6127,82.9,83,-30,1050,0,0,-1
R,2568,6226,85.1,84,-30,1050,0,0,-1
R,2608,6324,87.4,84,-30,1051,0,0,-2
R,2648,6423,89.7,83,-31,1050,0,0,-1
R,2687,6522,92.0,84,-30,1051,0,0,-2
R,2728,6620,94.5,84,-30,1051,0,0,-2
R,2768,6719,96.9,84,-29,1049,0,0,-1
R,2808,6818,99.4,84,-30,1050,0,0,-1
R,2848,6916,101.9,83,-29,1050,0,0,-1
R,2887,7015,104.4,83,-30,1051,0,0,-1
R,2928,7114,107.0,83,-31,1050,0,0,-1
R,2968,7212,109.6,83,-31,1052,0,0,-1
R,3008,7311,112.3,84,-30,1050,0,0,-2
R,3048,7410,115.0,85,-30,1050,0,0,-1
R,3088,7508,117.7,83,-29,1050,0,0,-2
R,3128,7607,120.4,84,-29,1051,0,0,-2
R,3167,7706,123.2,84,-31,1051,0,0,-1
R,3208,7804,126.1,84,-31,1051,0,0,-1
R,3248,7903,128.9,84,-30,1050,0,0,-2
R,3288,8002,131.8,84,-30,1049,0,0,-2
R,3328,8100,134.7,84,-30,1050,0,0,-2
R,3368,8199,137.7,83,-30,1051,0,0,-2
R,3408,8298,140.7,85,-29,1050,0,0,-2
R,3448,8396,143.8,84,-29,1050,0,0,-1
R,3488,8495,146.8,83,-31,1049,0,0,-1
R,3528,8543,150.0,83,-30,1050,0,0,-2
R,3568,8588,153.1,84,-30,1050,0,0,-2
R,3608,8632,156.2,83,-30,1050,0,0,-1
R,3648,8677,159.4,84,-30,1050,0,0,-1
R,3687,8722,162.5,84,-29,1050,0,0,-1
R,3728,8767,165.7,84,-30,1051,0,0,-1
R,3768,8812,168.9,84,-30,1050,0,0,-2
R,3807,8857,172.1,84,-30,1050,0,0,-2
R,3848,8902,175.4,83,-30,1050,0,0,-1
R,3888,8947,178.6,84,-30,1050,0,0,-2
R,3928,8992,181.9,84,-30,1050,0,0,-2
R,3968,9037,185.2,84,-31,1051,0,0,-2
R,4008,9081,188.5,84,-30,1050,0,0,-2
R,4048,9126,191.8,84,-30,1050,0,0,-2
R,4088,9171,195.2,83,-30,1050,0,0,-1
R,4128,9216,198.5,83,-30,1050,0,0,-1
R,4168,9261,201.9,84,-31,1051,0,0,-1
R,4207,9306,205.2,83,-31,1050,0,0,-2
R,4248,9351,208.7,83,-29,1050,0,0,-2
R,4288,9396,212.1,84,-30,1050,0,0,-2
R,4328,9441,215.5,84,-30,1049,0,0,-1
R,4368,9486,219.0,84,-29,1051,0,0,-2
R,4408,9530,222.4,84,-29,1050,0,0,-2
R,4448,9575,225.9,83,-30,1051,0,0,-1
R,4488,9620,229.4,84,-30,1050,0,0,-2
R,4528,9665,232.9,84,-30,1050,0,0,-1
R,4568,9710,236.5,85,-31,1050,0,0,-1
R,4608,9755,240.0,84,-30,1050,0,0,-2
R,4648,9800,243.6,84,-30,1051,0,0,-2
R,4688,9845,247.1,84,-30,1050,0,0,-1
R,4728,9890,250.7,84,-29,1050,0,0,-1
R,4768,9934,254.4,84,-29,1050,0,0,-1
R,4808,9979,258.0,85,-30,1051,0,0,-1
R,4848,10024,261.6,83,-30,1050,0,0,-2
R,4888,10069,265.3,83,-31,1050,0,0,-2
R,4927,10114,268.9,85,-31,1049,0,0,-2
R,4968,10159,272.7,84,-30,1050,0,0,-2
R,5008,10204,276.4,85,-30,1050,0,0,-2
R,5048,10249,280.1,83,-30,1051,0,0,-1
R,5088,10294,283.9,84,-31,1050,0,0,-2
R,5128,10339,287.6,84,-31,1050,0,0,-1
R,5168,10383,291.4,85,-30,1049,0,0,-2
R,5208,10428,295.2,85,-30,1050,0,0,-1
R,5247,10473,298.9,84,-31,1050,0,0,-1
R,5288,10518,302.8,84,-30,1050,0,0,-1
R,5328,10563,306.7,84,-29,1051,0,0,-1
R,5368,10608,310.5,84,-29,1050,0,0,-2
R,5408,10653,314.4,83,-29,1050,0,0,-1
R,5448,10698,318.3,83,-29,1050,0,0,-2
R,5488,10734,322.2,84,-30,1050,0,0,-2
R,5527,10769,326.0,84,-30,1050,0,0,-1
R,5568,10804,330.0,84,-31,1049,0,0,-2
R,5608,10840,334.0,84,-30,1051,0,0,-2
R,5647,10875,337.8,84,-29,1051,0,0,-1
R,5688,10910,341.9,85,-30,1050,0,0,-2
R,5728,10946,345.9,84,-29,1050,0,0,-2
R,5768,10981,349.9,84,-30,1050,0,0,-2
R,5808,11016,353.9,84,-30,1050,0,0,-1
R,5848,11052,357.9,84,-29,1050,0,0,-1
R,5888,11087,362.0,84,-30,1050,0,0,-1
R,5928,11122,366.0,84,-30,1052,0,0,-2
R,5968,11158,370.1,84,-30,1050,0,0,-2
R,6007,11193,374.0,84,-29,1049,0,0,-2
R,6048,11228,378.2,84,-29,1050,0,0,-1
R,6087,11264,382.2,84,-30,1050,0,0,-2
R,6128,11299,386.4,84,-30,1050,0,0,-1
R,6167,11335,390.5,84,-30,1051,0,0,-2
R,6208,11370,394.7,84,-31,1050,0,0,-1
R,6248,11405,398.9,85,-30,1050,0,0,-1
R,6288,11441,403.0,84,-29,1049,0,0,-1
R,6328,11476,407.2,84,-29,1051,0,0,-1
R,6368,11511,411.4,83,-30,1050,0,0,-2
R,6408,11547,415.6,84,-29,1050,0,0,-1
R,6447,11582,419.7,84,-29,1050,0,0,-1
R,6488,11617,424.0,85,-30,1050,0,0,-1
R,6527,11653,428.2,84,-30,1049,0,0,-2
R,6568,11688,432.5,84,-30,1050,0,0,-1
R,6607,11723,436.7,84,-30,1049,0,0,-2
R,6648,11759,441.1,84,-30,1050,0,0,-2
R,6688,11794,445.4,84,-30,1049,0,0,-2
R,6728,11829,449.7,84,-30,1050,0,0,-1
R,6768,11865,454.0,84,-29,1051,0,0,-1
R,6807,11900,458.2,83,-30,1051,0,0,-1
R,6848,11935,462.7,84,-30,1050,0,0,-1
