[dump] RUN #1 heure=07:22:19 src=ENTREE_PIN rollout_ms=0 unit=JAY_B dyn=7 rate_ms=40 gps=1 pre=0 imuf=2/7 ecu=HP statut=ABANDON
[dump] CAL cal=0 gxo_cdps=0 gyo_cdps=0 gzo_cdps=0 cal_tempC=0 run_tempC=21
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,31,12,0.0,65,-35,1038,0,0,-1
R,83,5,0.0,64,-34,1037,0,0,-2
R,111,14,0.0,64,-34,1037,0,0,-1
R,152,12,0.0,64,-35,1037,0,0,-1
R,193,16,0.0,64,-34,1037,0,0,-2
R,231,12,0.0,64,-35,1038,0,0,-2
R,271,3,0.0,64,-35,1037,0,0,-2
R,311,18,0.0,64,-35,1037,0,0,-1
R,351,10,0.0,65,-35,1037,0,0,-2
R,392,3,0.0,65,-34,1037,0,0,-2
R,432,12,0.0,65,-35,1037,0,0,-1
R,472,10,0.0,64,-35,1037,0,0,-2
R,512,7,0.0,64,-35,1037,0,0,-1
R,552,18,0.1,64,-34,1038,0,0,-2
R,592,10,0.1,65,-34,1037,0,0,-2
R,632,7,0.1,64,-33,1038,0,0,-1
R,672,14,0.1,65,-34,1037,0,0,-2
R,712,10,0.1,65,-35,1037,0,0,-2
R,752,6,0.1,64,-35,1037,0,0,-2
R,791,14,0.1,65,-35,1038,0,0,-1
R,831,6,0.1,65,-35,1038,0,0,-1
R,871,3,0.1,65,-34,1037,0,0,-1
R,911,13,0.1,65,-35,1037,0,0,-1
R,953,9,0.1,65,-34,1037,0,0,-1
R,996,17,0.1,65,-34,1037,0,0,-2
R,1031,7,0.1,65,-34,1037,0,0,-1
R,1083,6,0.1,65,-34,1037,0,0,-2
R,1111,16,0.1,63,-34,1038,0,0,-1
R,1151,12,0.1,64,-35,1037,0,0,-1
R,1193,9,0.1,65,-35,1037,0,0,-2
R,1231,7,0.1,65,-34,1037,0,0,-1
R,1271,9,0.1,65,-34,1037,0,0,-2
R,1311,4,0.1,65,-34,1038,0,0,-1
R,1351,15,0.1,65,-34,1037,0,0,-1
R,1391,16,0.1,63,-34,1037,0,0,-2
R,1431,3,0.1,63,-34,1037,0,0,-1
R,1471,14,0.1,64,-34,1037,0,0,-1
R,1511,19,0.1,65,-35,1037,0,0,-2
R,1552,9,0.1,64,-34,1037,0,0,-2
R,1591,14,0.2,64,-34,1038,0,0,-1
R,1632,16,0.2,65,-34,1037,0,0,-1
R,1671,6,0.2,64,-34,1038,0,0,-2
R,1712,8,0.2,65,-35,1037,0,0,-1
R,1751,14,0.2,66,-34,1037,0,0,-2
R,1791,8,0.2,65,-34,1036,0,0,-1
R,1831,8,0.2,65,-33,1037,0,0,-2
R,1871,6,0.2,64,-33,1037,0,0,-1
R,1911,12,0.2,65,-33,1037,0,0,-2
R,1951,10,0.2,65,-35,1037,0,0,-1
R,1991,8,0.2,64,-35,1037,0,0,-1
R,2031,4,0.2,65,-33,1037,0,0,-2
R,2082,6,0.2,65,-34,1037,0,0,-2
R,2111,10,0.2,65,-33,1037,0,0,-2
R,2151,5,0.2,64,-34,1037,0,0,-1
R,2193,2,0.2,64,-35,1037,0,0,-1
R,2231,8,0.2,64,-35,1037,0,0,-1
R,2271,12,0.2,64,-34,1037,0,0,-1
R,2311,9,0.2,64,-34,1037,0,0,-2
R,2351,12,0.2,64,-35,1038,0,0,-1
R,2391,18,0.2,65,-34,1037,0,0,-1
R,2431,20,0.2,64,-34,1037,0,0,-2
R,2471,18,0.2,65,-34,1037,0,0,-1
R,2512,5,0.2,65,-34,1037,0,0,-2
R,2551,6,0.2,64,-35,1037,0,0,-2
R,2592,8,0.2,64,-35,1037,0,0,-2
R,2631,4,0.2,64,-34,1037,0,0,-1
R,2671,13,0.2,64,-35,1037,0,0,-1
R,2712,10,0.2,64,-34,1037,0,0,-2
R,2750,13,0.3,65,-34,1037,0,0,-1
R,2791,9,0.3,64,-34,1037,0,0,-1
R,2831,13,0.3,65,-35,1037,0,0,-2
R,2871,6,0.3,65,-35,1038,0,0,-2
R,2912,4,0.3,65,-35,1038,0,0,-2
R,2951,25,0.3,65,-35,1037,0,0,-1
R,2996,11,0.3,65,-34,1037,0,0,-1
R,3031,11,0.3,64,-35,1037,0,0,-2
R,3083,18,0.3,64,-34,1037,0,0,-1
R,3112,22,0.3,64,-34,1038,0,0,-1
R,3151,13,0.3,64,-35,1037,0,0,-1
R,3193,5,0.3,64,-34,1036,0,0,-2
R,3231,9,0.3,65,-35,1037,0,0,-1
R,3271,7,0.3,64,-34,1036,0,0,-2
R,3311,5,0.3,64,-34,1036,0,0,-1
R,3352,6,0.3,64,-34,1038,0,0,-2
R,3392,9,0.3,64,-34,1037,0,0,-1
R,3431,17,0.3,65,-34,1038,0,0,-2
R,3472,9,0.3,64,-34,1037,0,0,-1
R,3512,19,0.3,64,-35,1037,0,0,-2
R,3552,9,0.3,64,-34,1037,0,0,-2
R,3592,6,0.3,65,-34,1037,0,0,-1
R,3632,15,0.3,65,-34,1037,0,0,-2
R,3673,18,0.3,64,-34,1037,0,0,-1
R,3713,5,0.4,65,-34,1037,0,0,-2
R,3751,5,0.4,64,-34,1038,0,0,-1
R,3791,21,0.4,64,-34,1038,0,0,-1
R,3832,8,0.4,65,-35,1039,0,0,-1
R,3872,15,0.4,65,-35,1037,0,0,-1
R,3911,8,0.4,66,-33,1037,0,0,-2
R,3951,3,0.4,65,-35,1037,0,0,-2
R,3991,10,0.4,64,-35,1037,0,0,-2
R,4031,19,0.4,64,-35,1037,0,0,-2
R,4085,11,0.4,65,-35,1037,0,0,-1
R,4112,12,0.4,64,-35,1037,0,0,-1
R,4151,14,0.4,64,-34,1037,0,0,-1
R,4194,15,0.4,65,-35,1037,0,0,-2
R,4232,24,0.4,65,-34,1037,0,0,-2
R,4272,23,0.4,65,-34,1038,0,0,-2
R,4312,48,0.4,65,-34,1038,0,0,-2
R,4352,28,0.4,64,-35,1038,0,0,-2
R,4393,31,0.5,65,-34,1038,0,0,-1
R,4432,27,0.5,65,-35,1037,0,0,-2
R,4472,13,0.5,64,-35,1037,0,0,-2
R,4512,5,0.5,65,-34,1038,0,0,-2
R,4552,19,0.5,65,-34,1037,0,0,-2
R,4592,26,0.5,64,-34,1037,0,0,-1
R,4631,18,0.5,64,-34,1037,0,0,-2
R,4672,23,0.5,65,-35,1037,0,0,-1
R,4711,6,0.5,64,-35,1038,0,0,-2
R,4751,13,0.5,64,-34,1038,0,0,-1
R,4791,5,0.5,65,-35,1038,0,0,-1
R,4832,19,0.5,64,-34,1038,0,0,-1
