[dump] RUN #1 heure=13:50:54 src=ENTREE_PIN rollout_ms=0 unit=JAY_B dyn=7 rate_ms=40 gps=1 pre=15 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=1 gxo_cdps=-17 gyo_cdps=-41 gzo_cdps=30 cal_tempC=40 run_tempC=33
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-974,4,0.0,-45,-59,1082,5,7,0
R,-909,25,0.0,110,-24,966,72,-18,24
R,-845,22,0.0,42,1,1151,-12,67,-27
R,-781,7,0.0,36,-36,1153,-14,-25,-12
R,-714,7,0.0,-202,31,1197,58,-15,11
R,-650,14,0.0,108,-41,1111,11,86,-30
R,-584,3,0.0,70,-19,1133,-78,-32,-17
R,-518,1,0.0,76,-127,888,4,20,-7
R,-456,10,0.0,100,-62,1080,-9,46,-22
R,-390,10,0.0,-8,-176,1220,6,-32,-15
R,-322,5,0.0,118,-3,938,-57,9,21
R,-260,17,0.0,64,-81,816,19,76,-25
R,-194,27,0.0,135,18,1030,21,5,9
R,-131,4,0.0,1484,-343,-313,103,-613,80
R,-66,154,0.0,1686,-241,1268,-127,-166,22
R,82,1142,0.7,1315,-122,675,106,-182,81
R,118,1246,1.1,1296,-240,661,-148,-172,59
R,157,1386,1.5,1735,63,1033,-10,-255,-30
R,198,1541,2.1,1495,-67,556,196,112,-8
R,238,1720,2.7,1837,148,1163,49,-166,24
R,278,1945,3.4,1488,-142,419,-237,40,-117
R,317,2179,4.1,1675,166,1050,-105,-32,51
R,357,2413,4.9,1653,-81,402,-107,13,-73
R,399,2667,5.9,1548,-163,701,-40,-41,16
R,438,2929,6.9,1878,-50,747,-91,-70,-48
R,477,3153,8.0,1726,-73,873,-75,33,-33
R,518,3358,9.2,1593,-15,627,-118,-5,-73
R,557,3581,10.4,1757,-89,562,0,-63,37
R,598,3833,11.8,1878,-282,1058,-104,-32,61
R,638,4074,13.2,1770,-70,994,-197,107,-9
R,678,4336,14.8,1923,40,562,23,33,3
R,718,4607,16.4,1728,-52,541,144,-22,4
R,757,4831,18.1,1784,-111,808,86,-36,-17
R,797,5055,19.9,1823,-127,673,-70,-88,-1
R,836,5291,21.7,1928,-59,788,-105,38,17
R,877,5562,23.8,1918,-154,979,-123,1,29
R,918,5877,25.9,1885,46,775,-109,102,33
R,970,6155,28.7,1868,-219,770,29,-122,32
R,998,6386,30.3,1894,-131,991,-418,60,59
R,1037,6622,32.7,1763,45,1166,-64,-3,40
R,1079,6856,35.2,1736,-102,720,-84,79,49
R,1117,7114,37.7,1514,-99,264,228,-70,144
R,1157,7361,40.3,1696,-151,957,42,-30,99
R,1197,7606,43.0,1785,-308,447,224,-80,155
R,1237,7826,45.8,1785,-378,912,84,-27,50
R,1276,8075,48.7,1932,-162,1046,86,-37,14
R,1316,8311,51.6,2028,-156,983,215,-132,-81
R,1357,8574,54.8,2103,-63,854,57,10,-46
R,1397,8862,58.0,1617,-11,872,-11,73,-79
R,1438,9172,61.3,1736,56,1201,-52,-17,-90
R,1477,9415,64.6,1811,20,735,-199,-44,34
R,1518,9640,68.2,1598,-56,1024,109,50,2
R,1557,9847,71.7,1458,-82,682,201,0,-30
R,1597,10066,75.3,1557,-117,947,-40,-43,81
R,1637,10254,79.0,1755,15,1248,-121,-7,124
R,1676,10475,82.7,1569,-276,1107,74,12,72
R,1717,10694,86.6,1532,-224,781,-3,9,10
R,1757,10907,90.6,1759,111,759,164,6,51
R,1796,11139,94.5,49,-62,361,96,296,-29
R,1837,11313,98.7,584,493,1640,31,110,-191
R,1877,11356,102.8,2057,-485,1163,-133,78,-37
R,1917,11347,107.0,1721,48,332,19,-68,-106
R,1970,11512,112.5,1855,303,542,99,-116,30
R,1997,11794,115.3,1334,-184,1281,-46,228,-88
R,2037,12132,119.7,1472,57,854,-116,4,-26
R,2080,12390,124.5,1473,-93,276,140,93,-75
