[dump] === board=20881255F188 fw=v7.4.00 -- 1 run(s) en memoire ===
[dump] RUN #1 heure=12:34:36 src=SEUIL_GPS rollout_ms=0 statut=ABANDON
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,41,203,0.1,130,-126,997,0,-14,-8
R,81,236,0.1,131,-122,1003,-1,-13,-8
R,121,218,0.2,122,-127,1015,-3,-15,-8
R,160,191,0.3,137,-121,1022,-2,-18,-8
R,201,158,0.4,127,-125,993,-4,-14,-6
R,251,113,0.4,130,-122,1003,-7,-15,-7
R,281,70,0.5,121,-113,997,-12,-23,-8
R,321,127,0.5,51,-367,1364,-935,229,-698
R,361,303,0.6,10,-193,824,-1036,377,-1472
R,401,407,0.7,233,-138,-3,801,-91,-501
R,441,474,0.9,22,-13,1062,668,-40,-190
R,481,497,1.0,419,-141,725,-199,88,92
R,521,483,1.2,-78,-254,1035,51,-77,42
R,561,455,1.4,160,-145,954,39,-14,15
R,601,419,1.5,115,-128,1007,12,-17,7
R,640,379,1.7,126,-120,1004,24,-21,19
R,681,338,1.8,142,-114,1002,84,-31,57
R,721,285,1.9,118,-120,1006,0,-18,0
R,761,237,2.0,125,-125,1017,0,-15,0
R,801,204,2.1,124,-121,1003,-3,-13,2
R,841,155,2.2,116,-112,1005,-1,-16,12
R,892,118,2.2,114,-120,1007,-2,-23,67
R,920,115,2.3,117,-139,932,15,-18,82
R,960,118,2.3,121,-109,991,0,-33,141
R,1000,134,2.4,164,-130,1024,-2,-20,63
R,1040,156,2.4,124,-129,1016,-3,-18,-4
R,1080,152,2.5,126,-128,1002,-3,-12,-8
R,1120,115,2.5,123,-127,1001,-1,-13,-8
R,1160,85,2.5,93,-183,963,-4,-5,34
R,1201,104,2.6,122,-127,1006,0,-14,-7
R,1250,133,2.6,122,-130,976,0,-6,-7
R,1280,140,2.7,123,-122,1015,-4,-10,-5
R,1320,139,2.7,128,-131,1030,-5,-11,-4
R,1360,138,2.8,123,-127,1004,-4,-12,-4
R,1400,146,2.8,123,-124,1012,-3,-13,-4
R,1440,153,2.9,123,-127,1003,-2,-14,-7
R,1480,160,2.9,118,-124,994,-2,-12,-6
R,1539,140,3.0,126,-121,1011,-4,-12,-7
R,1561,121,3.0,116,-121,996,0,-14,-8
R,1601,113,3.1,120,-123,991,-1,-13,-7
R,1641,113,3.1,128,-123,1020,-3,-13,-8
R,1681,110,3.2,127,-125,1001,-3,-12,-7
R,1721,98,3.2,121,-129,1008,-3,-12,-7
R,1761,75,3.2,119,-120,984,0,-14,-6
R,1801,58,3.3,124,-125,1019,-2,-12,-6
R,1841,49,3.3,124,-120,1005,0,-12,-7
R,1880,47,3.3,124,-126,1015,-1,-13,-6
R,1921,45,3.3,128,-125,1004,-1,-13,-8
R,1961,52,3.3,128,-119,1010,-2,-14,-7
R,2001,59,3.4,131,-125,1026,-5,-12,-5
R,2043,52,3.4,117,-129,1027,0,-12,-6
R,2081,40,3.4,122,-122,1000,-1,-13,-7
R,2121,13,3.4,123,-125,1009,-1,-13,-7
R,2162,17,3.4,128,-126,1012,-1,-12,-7
R,2201,35,3.4,120,-122,999,0,-12,-6
R,2251,34,3.4,123,-118,989,0,-12,-6
R,2280,36,3.4,125,-116,1023,-1,-14,-5
R,2321,25,3.5,127,-123,1008,-3,-13,-5
