[dump] RUN #1 heure=19:11:48 src=SEUIL_GPS rollout_ms=0 unit=00004 dyn=4 rate_ms=40 gps=1 pre=15 imuf=2/7 ecu=HP statut=TERMINE
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-610,40,0.0,39,-4,1032,-3,-5,-5
R,-569,40,0.0,39,-5,1032,-3,-6,-5
R,-528,40,0.0,39,-4,1033,-3,-5,-5
R,-488,40,0.0,39,-5,1032,-3,-5,-5
R,-447,40,0.0,39,-4,1034,-4,-5,-5
R,-406,40,0.0,39,-3,1033,-3,-5,-5
R,-365,40,0.0,38,-5,1032,-3,-5,-5
R,-325,40,0.0,39,-4,1032,-3,-6,-5
R,-284,40,0.0,39,-4,1032,-3,-5,-5
R,-244,40,0.0,39,-3,1032,-3,-6,-5
R,-203,40,0.0,40,-4,1032,-4,-6,-5
R,-163,40,0.0,39,-4,1032,-3,-5,-5
R,-122,40,0.0,40,-5,1032,-3,-5,-5
R,-81,40,0.0,38,-4,1032,-3,-6,-5
R,-41,40,0.0,39,-5,1032,-3,-5,-5
R,53,340,0.1,38,-4,1031,-3,-5,-5
R,93,507,0.3,39,-4,1032,-3,-5,-5
R,132,673,0.5,39,-4,1033,-3,-5,-5
R,173,840,0.8,40,-4,1033,-3,-6,-5
R,213,1006,1.1,38,-4,1032,-3,-6,-5
R,253,1172,1.5,39,-4,1033,-3,-5,-5
R,293,1339,1.9,39,-4,1032,-3,-6,-5
R,333,1505,2.5,38,-5,1031,-3,-6,-5
R,373,1672,3.0,39,-5,1031,-3,-6,-5
R,413,1838,3.7,39,-5,1032,-3,-5,-5
R,453,2004,4.4,38,-5,1032,-3,-5,-5
R,493,2171,5.1,39,-5,1032,-3,-6,-5
R,533,2286,6.0,39,-5,1032,-3,-5,-5
R,580,2408,7.0,40,-5,1032,-3,-6,-5
R,620,2512,7.9,39,-5,1032,-3,-5,-5
R,660,2616,8.8,39,-5,1032,-3,-5,-5
R,700,2720,9.8,39,-5,1032,-3,-5,-5
R,740,2824,10.8,39,-4,1032,-3,-6,-5
R,780,2928,11.8,39,-4,1033,-3,-5,-5
R,819,3032,12.9,39,-4,1032,-3,-5,-5
R,860,3136,14.0,39,-4,1032,-3,-6,-5
R,900,3240,15.2,40,-5,1032,-3,-5,-5
