[dump] RUN #1 heure=19:03:30 src=SEUIL_GPS rollout_ms=0 unit=ALLO2 dyn=4 rate_ms=40 gps=1 pre=15 imuf=2/7 ecu=HP statut=TERMINE
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-811,40,0.0,46,-67,1039,-3,-5,-5
R,-758,40,0.0,47,-68,1039,-3,-5,-5
R,-687,40,0.0,47,-66,1040,-3,-5,-5
R,-634,40,0.0,47,-67,1040,-3,-5,-5
R,-584,40,0.0,46,-67,1039,-3,-5,-5
R,-535,40,0.0,47,-66,1040,-3,-5,-5
R,-474,40,0.0,47,-67,1039,-3,-6,-5
R,-423,40,0.0,47,-67,1039,-3,-5,-5
R,-374,40,0.0,47,-66,1039,-3,-5,-5
R,-323,40,0.0,46,-66,1039,-3,-5,-5
R,-263,40,0.0,45,-67,1039,-3,-5,-5
R,-213,40,0.0,46,-67,1039,-3,-5,-5
R,-164,40,0.0,46,-67,1039,-3,-5,-5
R,-113,40,0.0,46,-66,1040,-3,-5,-5
R,-53,40,0.0,46,-67,1039,-3,-5,-5
R,67,436,0.2,47,-67,1039,-3,-5,-5
R,107,603,0.4,47,-67,1040,-3,-5,-5
R,147,769,0.6,46,-67,1039,-3,-5,-5
R,187,935,0.9,47,-67,1039,-3,-5,-5
R,227,1102,1.3,47,-67,1039,-3,-5,-5
R,267,1268,1.7,46,-67,1039,-3,-5,-5
R,307,1435,2.2,46,-67,1040,-3,-5,-5
R,346,1601,2.8,47,-67,1039,-3,-5,-5
R,387,1767,3.4,47,-67,1039,-3,-5,-5
R,426,1934,4.1,47,-67,1038,-3,-5,-5
R,467,2100,4.8,46,-66,1039,-3,-5,-5
R,507,2242,5.6,47,-67,1038,-3,-5,-5
R,547,2346,6.4,46,-66,1038,-3,-5,-5
R,587,2450,7.3,47,-67,1039,-3,-6,-5
R,627,2554,8.2,47,-67,1039,-3,-6,-5
R,667,2658,9.2,47,-67,1038,-3,-5,-5
R,707,2762,10.2,46,-68,1039,-3,-5,-5
R,747,2866,11.2,46,-67,1040,-3,-5,-5
R,787,2970,12.2,47,-67,1038,-3,-5,-5
R,826,3074,13.3,47,-67,1038,-3,-5,-5
R,867,3178,14.5,46,-67,1039,-3,-5,-5
