[dump] RUN #1 heure=19:31:33 src=SEUIL_GPS rollout_ms=0 unit=ALLO2 dyn=4 rate_ms=40 gps=1 pre=15 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=0 gxo_mdps=0 gyo_mdps=0 gzo_mdps=0 cal_tempC=0 run_tempC=27
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1161,40,0.0,48,-75,1043,-3,-5,-5
R,-1075,40,0.0,49,-75,1043,-3,-6,-5
R,-997,40,0.0,48,-74,1043,-3,-6,-6
R,-924,40,0.0,49,-75,1043,-3,-6,-5
R,-841,40,0.0,48,-75,1042,-3,-6,-5
R,-768,40,0.0,49,-74,1043,-3,-6,-5
R,-695,40,0.0,48,-74,1043,-3,-6,-5
R,-613,40,0.0,49,-75,1043,-3,-6,-5
R,-540,40,0.0,48,-75,1043,-3,-6,-5
R,-467,40,0.0,48,-76,1043,-3,-5,-5
R,-385,40,0.0,48,-75,1043,-3,-6,-5
R,-315,40,0.0,49,-74,1043,-3,-6,-5
R,-230,40,0.0,48,-76,1043,-3,-6,-5
R,-143,40,0.0,48,-75,1042,-3,-6,-5
R,-73,40,0.0,48,-75,1043,-3,-5,-5
R,103,777,0.5,49,-75,1043,-3,-6,-5
R,144,944,0.9,48,-75,1043,-3,-6,-5
R,184,1110,1.2,48,-75,1042,-3,-6,-5
R,224,1276,1.7,49,-76,1043,-3,-6,-5
R,264,1443,2.2,48,-75,1043,-3,-6,-5
R,303,1609,2.7,49,-75,1043,-3,-6,-5
R,344,1776,3.3,48,-75,1043,-3,-6,-5
R,384,1942,4.0,48,-75,1043,-3,-6,-5
R,424,2108,4.7,48,-74,1042,-3,-6,-5
R,464,2247,5.5,48,-75,1043,-3,-6,-5
R,503,2351,6.4,48,-74,1043,-3,-6,-5
R,544,2455,7.3,48,-75,1043,-3,-6,-5
R,584,2559,8.2,49,-75,1043,-3,-6,-5
R,624,2663,9.1,49,-74,1043,-3,-6,-5
R,664,2767,10.1,49,-74,1043,-3,-6,-5
