[dump] RUN #1 heure=19:07:00 src=SEUIL_GPS rollout_ms=0 unit=ALLO2 dyn=8 rate_ms=40 gps=1 pre=8 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=0 gxo_cdps=0 gyo_cdps=0 gzo_cdps=0 cal_tempC=0 run_tempC=27
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1351,40,0.0,29,-46,1046,-3,-6,-5
R,-1183,40,0.0,29,-46,1046,-3,-6,-5
R,-1014,40,0.0,30,-46,1046,-4,-7,-5
R,-846,40,0.0,29,-47,1046,-3,-6,-5
R,-676,40,0.0,30,-46,1047,-3,-6,-5
R,-507,40,0.0,29,-46,1047,-3,-6,-5
R,-341,40,0.0,29,-46,1046,-3,-6,-5
R,-172,40,0.0,29,-46,1046,-4,-6,-5
R,180,1252,1.4,30,-46,1046,-3,-6,-5
R,221,1418,1.9,29,-47,1046,-3,-6,-6
R,260,1584,2.5,29,-46,1046,-4,-7,-5
R,301,1751,3.1,31,-46,1046,-3,-6,-5
R,341,1917,3.8,30,-47,1046,-3,-6,-5
R,380,2084,4.5,30,-46,1046,-3,-6,-5
R,420,2231,5.3,30,-47,1046,-3,-6,-5
R,461,2335,6.1,29,-46,1046,-4,-6,-5
R,501,2439,7.0,29,-47,1046,-4,-7,-5
R,541,2543,7.9,29,-46,1046,-3,-6,-5
R,581,2647,8.8,29,-46,1046,-3,-6,-5
R,621,2751,9.8,30,-46,1046,-4,-6,-6
R,661,2855,10.8,29,-45,1045,-3,-6,-6
R,701,2959,11.9,30,-45,1046,-3,-6,-5
R,741,3063,13.0,29,-45,1046,-3,-6,-5
R,781,3167,14.1,30,-46,1045,-3,-6,-5
R,821,3271,15.3,30,-46,1046,-3,-6,-5
R,861,3375,16.5,30,-46,1045,-3,-6,-5
R,901,3479,17.8,29,-46,1045,-3,-6,-5
R,941,3542,19.1,30,-45,1046,-3,-6,-5
R,981,3594,20.4,29,-46,1047,-3,-6,-5
R,1020,3646,21.6,29,-45,1046,-3,-7,-6
R,1061,3698,23.0,30,-46,1046,-3,-6,-5
R,1100,3750,24.3,30,-46,1045,-3,-6,-5
R,1141,3802,25.7,29,-46,1046,-3,-7,-5
R,1181,3854,27.1,29,-46,1046,-3,-6,-5
R,1221,3906,28.6,30,-46,1045,-3,-6,-5
R,1261,3958,30.0,30,-47,1046,-3,-6,-5
R,1301,4010,31.4,29,-47,1046,-3,-6,-5
R,1340,4062,32.9,31,-47,1046,-3,-6,-5
R,1381,4114,34.4,29,-46,1045,-3,-6,-5
R,1421,4166,35.9,29,-46,1045,-3,-6,-5
R,1461,4218,37.4,30,-46,1046,-3,-6,-5
R,1501,4270,39.0,28,-46,1045,-3,-6,-5
R,1541,4322,40.6,30,-47,1046,-3,-6,-5
R,1581,4374,42.1,30,-45,1044,-1,-6,-5
R,1621,4426,43.7,30,-46,1045,-3,-6,-5
R,1661,4478,45.4,28,-45,1044,-5,-6,-5
R,1700,4530,47.0,30,-47,1045,-2,-6,-5
R,1741,4582,48.7,30,-46,1046,-3,-6,-5
R,1781,4634,50.4,29,-47,1046,-3,-6,-5
R,1821,4686,52.0,30,-46,1045,-2,-6,-5
R,1861,4738,53.8,29,-45,1046,-2,-6,-5
R,1901,4790,55.5,29,-46,1045,-2,-6,-5
R,1941,4879,57.3,29,-46,1045,-3,-6,-5
R,1981,4978,59.1,29,-46,1045,-4,-7,-5
R,2021,5076,60.9,29,-46,1046,-4,-6,-5
R,2061,5175,62.8,29,-46,1045,-3,-6,-5
R,2101,5274,64.7,30,-46,1045,-3,-6,-5
R,2141,5372,66.6,31,-46,1045,-4,-6,-5
R,2181,5471,68.6,30,-47,1046,-3,-6,-5
R,2221,5570,70.6,29,-46,1045,-3,-6,-5
R,2261,5668,72.6,29,-46,1045,-4,-6,-5
R,2300,5767,74.7,29,-46,1045,-3,-6,-5
R,2341,5866,76.9,30,-46,1045,-4,-7,-5
R,2381,5964,79.0,29,-45,1046,-3,-6,-5
R,2421,6063,81.2,30,-46,1045,-3,-7,-5
R,2461,6162,83.4,30,-47,1046,-4,-6,-5
R,2501,6260,85.7,30,-47,1045,-3,-6,-5
R,2541,6359,88.0,30,-46,1045,-3,-6,-5
R,2581,6458,90.3,30,-45,1045,-3,-7,-6
R,2621,6556,92.7,29,-46,1045,-4,-7,-5
R,2661,6655,95.1,29,-46,1044,-4,-6,-5
R,2701,6754,97.6,29,-47,1045,-5,-7,-5
R,2741,6852,100.0,29,-46,1046,-4,-6,-5
R,2781,6951,102.5,30,-47,1045,-4,-6,-5
R,2821,7050,105.1,30,-47,1046,-3,-6,-5
R,2861,7148,107.7,29,-45,1045,-3,-6,-5
R,2901,7247,110.3,30,-47,1045,-3,-6,-5
R,2941,7346,113.0,30,-46,1045,-3,-6,-5
R,2981,7444,115.7,30,-47,1045,-4,-7,-5
R,3021,7543,118.4,29,-46,1046,-4,-6,-5
R,3060,7642,121.1,30,-46,1045,-3,-6,-5
R,3100,7740,123.9,30,-47,1046,-3,-7,-5
R,3141,7839,126.8,29,-46,1045,-3,-6,-5
R,3181,7938,129.7,30,-46,1045,-3,-6,-6
R,3221,8036,132.6,29,-47,1045,-4,-6,-5
R,3261,8135,135.5,31,-46,1046,-4,-6,-5
R,3300,8234,138.5,30,-48,1045,-3,-6,-5
R,3341,8332,141.6,30,-47,1045,-3,-7,-5
R,3381,8431,144.6,30,-46,1046,-4,-6,-5
R,3421,8513,147.7,30,-47,1046,-3,-6,-5
R,3461,8558,150.8,29,-46,1045,-3,-6,-5
R,3500,8603,153.9,30,-47,1044,-3,-6,-5
R,3541,8648,157.1,29,-47,1045,-3,-6,-5
R,3581,8693,160.2,30,-47,1046,-3,-6,-5
R,3621,8738,163.4,29,-46,1046,-4,-6,-5
R,3661,8783,166.6,29,-45,1046,-3,-6,-5
R,3701,8828,169.8,29,-47,1045,-4,-6,-5
R,3741,8873,173.0,30,-47,1045,-3,-6,-5
R,3781,8918,176.3,29,-47,1046,-3,-6,-5
R,3821,8962,179.5,30,-46,1045,-3,-6,-5
R,3861,9007,182.8,29,-47,1046,-4,-6,-5
R,3901,9052,186.1,29,-46,1045,-3,-6,-5
R,3941,9097,189.4,29,-46,1046,-4,-6,-5
R,3981,9142,192.7,30,-46,1045,-4,-6,-6
R,4021,9187,196.1,29,-47,1045,-3,-6,-5
R,4061,9232,199.4,29,-46,1045,-3,-6,-5
R,4100,9277,202.7,29,-46,1045,-3,-6,-5
R,4141,9322,206.2,29,-46,1046,-4,-6,-5
R,4181,9367,209.6,29,-48,1045,-3,-6,-5
R,4221,9411,213.0,30,-47,1046,-4,-6,-5
R,4261,9456,216.5,29,-46,1045,-3,-6,-5
R,4300,9501,219.8,30,-47,1045,-3,-7,-5
R,4341,9546,223.4,30,-47,1045,-3,-6,-5
R,4381,9591,226.9,30,-47,1046,-3,-6,-5
R,4421,9636,230.4,29,-46,1046,-3,-6,-5
R,4461,9681,233.9,29,-46,1045,-3,-6,-5
R,4500,9726,237.4,30,-46,1045,-4,-6,-5
R,4541,9771,241.0,29,-46,1045,-3,-6,-5
R,4581,9816,244.6,30,-47,1045,-3,-7,-5
R,4621,9860,248.2,30,-46,1045,-3,-6,-5
R,4661,9905,251.8,30,-46,1045,-3,-6,-5
R,4700,9950,255.3,30,-47,1046,-3,-6,-5
R,4741,9995,259.0,29,-46,1045,-3,-7,-5
R,4781,10040,262.7,29,-46,1046,-3,-6,-5
R,4821,10085,266.3,29,-46,1045,-3,-6,-5
R,4861,10130,270.0,30,-46,1046,-3,-7,-5
R,4901,10175,273.7,29,-47,1045,-4,-6,-6
R,4941,10220,277.4,29,-46,1044,-3,-6,-5
R,4981,10264,281.2,29,-47,1045,-4,-6,-5
R,5021,10309,284.9,30,-46,1045,-3,-6,-6
R,5061,10354,288.7,30,-46,1046,-3,-7,-5
R,5100,10399,292.4,30,-47,1045,-3,-6,-6
R,5141,10444,296.3,30,-46,1046,-3,-7,-5
R,5181,10489,300.1,30,-47,1045,-3,-6,-5
R,5221,10534,303.9,30,-47,1045,-3,-6,-5
R,5261,10579,307.8,29,-46,1045,-3,-6,-5
R,5300,10624,311.5,29,-47,1044,-3,-6,-5
R,5341,10669,315.5,30,-46,1045,-3,-6,-5
R,5381,10711,319.4,29,-46,1045,-3,-6,-5
R,5421,10746,323.3,30,-46,1045,-4,-6,-6
R,5461,10781,327.3,30,-46,1046,-3,-6,-5
R,5500,10817,331.1,29,-46,1045,-3,-7,-5
R,5541,10852,335.1,30,-46,1045,-4,-6,-5
