[dump] RUN #1 heure=08:57:18 src=SEUIL_GPS rollout_ms=0 unit=SPARE dyn=8 rate_ms=40 gps=1 pre=15 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=0 gxo_cdps=0 gyo_cdps=0 gzo_cdps=0 cal_tempC=0 run_tempC=33
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1430,40,0.0,-24,-360,995,-4,-7,-1
R,-1331,40,0.0,-25,-359,996,-4,-7,-1
R,-1237,40,0.0,-24,-358,995,-4,-7,-1
R,-1143,40,0.0,-25,-358,996,-4,-7,-1
R,-1046,40,0.0,-24,-359,996,-4,-7,-1
R,-952,40,0.0,-25,-358,995,-4,-7,-1
R,-859,40,0.0,-25,-359,996,-4,-7,-1
R,-763,40,0.0,-25,-359,996,-4,-7,-1
R,-668,40,0.0,-25,-359,996,-4,-7,-1
R,-571,40,0.0,-24,-358,995,-4,-7,-1
R,-478,40,0.0,-25,-359,996,-4,-7,-1
R,-383,40,0.0,-26,-358,995,-4,-7,-1
R,-284,40,0.0,-24,-359,996,-4,-7,-1
R,-191,40,0.0,-25,-358,995,-4,-7,-1
R,-96,40,0.0,-26,-358,996,-4,-7,-1
R,113,944,0.7,-24,-358,995,-4,-7,-1
R,155,1110,1.1,-24,-360,995,-4,-7,-1
R,195,1276,1.6,-25,-358,995,-4,-7,-1
R,234,1443,2.0,-26,-359,995,-4,-7,-1
R,275,1609,2.6,-25,-359,996,-4,-7,-1
R,314,1776,3.2,-25,-359,996,-4,-7,-1
R,354,1942,3.9,-24,-359,996,-4,-7,-1
R,394,2108,4.6,-25,-359,996,-4,-7,-1
R,435,2247,5.4,-25,-359,996,-4,-7,-1
R,475,2351,6.3,-24,-359,995,-4,-7,-1
R,514,2455,7.1,-25,-359,995,-4,-7,-1
R,555,2559,8.1,-25,-359,995,-4,-7,-1
R,595,2663,9.0,-25,-359,995,-4,-7,-1
R,635,2767,10.0,-25,-359,996,-4,-7,-1
R,675,2871,11.0,-25,-359,996,-4,-7,-1
R,714,2975,12.1,-25,-359,995,-4,-7,-1
R,755,3079,13.2,-24,-358,995,-4,-7,-1
R,795,3183,14.3,-26,-358,995,-4,-7,-1
R,835,3287,15.5,-25,-358,995,-4,-7,-1
R,875,3391,16.7,-25,-359,995,-4,-7,-1
R,914,3495,18.0,-24,-358,995,-4,-6,-1
R,955,3549,19.3,-24,-358,995,-4,-7,-1
R,995,3601,20.6,-25,-358,995,-4,-7,-1
R,1035,3653,21.9,-24,-359,995,-4,-7,-1
R,1075,3705,23.3,-25,-358,996,-4,-7,-1
R,1114,3757,24.6,-25,-359,995,-4,-7,-1
R,1154,3809,26.0,-24,-359,995,-4,-7,-1
R,1195,3861,27.4,-24,-358,995,-4,-7,-1
R,1235,3913,28.8,-25,-359,995,-4,-7,-1
R,1274,3965,30.2,-25,-358,996,-4,-7,-1
R,1314,4017,31.7,-25,-359,995,-4,-7,-1
R,1355,4069,33.2,-25,-358,995,-4,-7,-1
R,1395,4121,34.7,-25,-358,995,-4,-7,-1
R,1435,4173,36.2,-25,-359,995,-4,-7,-1
R,1475,4225,37.7,-25,-359,995,-4,-7,-1
R,1514,4277,39.2,-25,-359,995,-4,-7,-1
R,1555,4329,40.8,-25,-359,995,-4,-7,-1
R,1595,4381,42.4,-24,-358,995,-4,-7,-1
R,1635,4433,44.0,-25,-359,995,-4,-7,-1
R,1675,4485,45.6,-25,-359,995,-4,-7,-1
R,1714,4537,47.2,-26,-359,995,-4,-7,-1
R,1755,4589,49.0,-24,-359,995,-4,-7,-1
R,1795,4641,50.6,-24,-359,995,-4,-7,-1
R,1834,4693,52.3,-24,-359,995,-4,-7,-1
R,1874,4745,54.0,-25,-359,995,-4,-7,-1
R,1914,4797,55.8,-26,-359,995,-4,-7,-1
R,1955,4894,57.6,-25,-358,994,-4,-7,-1
R,1995,4992,59.4,-25,-358,996,-4,-7,-1
R,2035,5091,61.2,-24,-359,995,-4,-7,-1
R,2074,5190,63.0,-25,-359,994,-4,-7,-1
R,2114,5288,64.9,-24,-359,995,-4,-7,-1
R,2155,5387,66.9,-25,-359,995,-4,-7,-1
R,2196,5488,69.0,-24,-359,995,-4,-7,-1
R,2235,5587,70.9,-24,-359,995,-4,-7,-1
R,2276,5686,73.0,-25,-359,995,-4,-7,-1
R,2316,5784,75.1,-25,-359,994,-4,-7,-1
R,2356,5883,77.3,-24,-359,995,-4,-7,-1
R,2396,5982,79.4,-24,-360,995,-4,-7,-1
R,2435,6080,81.6,-25,-358,994,-4,-7,-1
R,2476,6179,83.9,-25,-359,995,-4,-7,-1
R,2518,6282,86.2,-25,-359,995,-4,-7,-1
R,2558,6381,88.5,-26,-359,994,-4,-7,-1
R,2598,6480,90.9,-24,-359,995,-4,-7,-1
R,2637,6578,93.2,-25,-359,994,-4,-7,-1
R,2677,6677,95.6,-25,-360,994,-4,-7,-1
R,2718,6776,98.1,-25,-359,994,-4,-7,-1
R,2758,6874,100.6,-25,-359,995,-4,-7,-1
R,2798,6973,103.2,-25,-359,995,-4,-7,-1
R,2837,7072,105.7,-24,-359,995,-4,-7,-1
R,2878,7170,108.3,-24,-359,995,-4,-7,-1
R,2918,7269,110.9,-25,-359,994,-4,-7,-1
R,2958,7368,113.6,-25,-358,994,-4,-7,-1
R,2998,7466,116.3,-26,-359,996,-4,-7,-1
R,3038,7565,119.1,-25,-359,995,-4,-7,-1
R,3078,7664,121.8,-25,-359,995,-4,-7,-1
R,3118,7762,124.6,-25,-359,995,-4,-7,-1
R,3158,7861,127.5,-24,-358,994,-4,-7,-1
R,3198,7960,130.4,-24,-359,994,-4,-7,-1
R,3238,8058,133.3,-24,-358,994,-4,-7,-1
R,3278,8157,136.2,-24,-358,994,-4,-7,-1
R,3317,8256,139.2,-25,-358,995,-4,-7,-1
R,3358,8354,142.3,-24,-358,995,-4,-7,-1
R,3398,8453,145.3,-25,-359,994,-4,-7,-1
R,3438,8524,148.4,-24,-359,995,-4,-7,-1
R,3478,8568,151.5,-24,-358,995,-4,-7,-1
R,3518,8613,154.7,-25,-359,994,-4,-7,-1
R,3558,8658,157.8,-25,-359,994,-4,-7,-1
R,3598,8703,161.0,-24,-358,995,-4,-7,-1
R,3638,8748,164.2,-25,-358,994,-4,-7,-1
R,3678,8793,167.4,-26,-359,995,-4,-7,-1
R,3718,8838,170.6,-25,-359,995,-4,-7,-1
R,3758,8883,173.8,-25,-358,994,-4,-7,-1
R,3798,8928,177.1,-24,-358,995,-4,-7,-1
R,3838,8973,180.3,-25,-359,995,-4,-7,-1
R,3878,9017,183.6,-25,-358,994,-4,-7,-1
R,3917,9062,186.8,-25,-359,994,-4,-7,-1
R,3958,9107,190.2,-25,-359,995,-4,-7,-1
R,3997,9152,193.4,-25,-359,995,-4,-7,-1
R,4038,9197,196.9,-26,-359,995,-4,-7,-1
R,4078,9242,200.2,-25,-359,995,-4,-7,-1
R,4118,9287,203.6,-25,-360,995,-4,-7,-1
R,4158,9332,207.0,-25,-359,994,-4,-7,-1
R,4198,9377,210.4,-25,-360,995,-4,-7,-1
R,4237,9422,213.8,-25,-360,995,-4,-7,-1
R,4278,9466,217.3,-25,-360,994,-4,-7,-1
R,4318,9511,220.7,-25,-358,995,-4,-7,-1
R,4358,9556,224.2,-25,-359,995,-4,-7,-1
R,4398,9601,227.7,-25,-359,995,-4,-7,-1
R,4438,9646,231.2,-25,-359,994,-4,-7,-1
R,4477,9691,234.7,-25,-358,994,-4,-7,-1
R,4518,9736,238.3,-25,-358,995,-4,-7,-1
R,4558,9781,241.8,-24,-359,995,-4,-7,-1
R,4598,9826,245.4,-25,-359,996,-4,-7,-1
R,4638,9871,249.0,-25,-359,995,-4,-7,-1
R,4677,9915,252.5,-25,-359,995,-4,-7,-1
R,4717,9960,256.1,-25,-359,994,-4,-7,-1
R,4758,10005,259.9,-24,-359,994,-4,-7,-1
R,4798,10050,263.5,-25,-359,995,-4,-7,-1
R,4837,10095,267.1,-24,-359,994,-4,-7,-1
R,4878,10140,270.9,-25,-358,995,-4,-7,-1
R,4918,10185,274.6,-25,-358,995,-4,-7,-1
R,4958,10230,278.3,-25,-359,995,-4,-7,-1
R,4998,10275,282.1,-25,-359,995,-4,-7,-1
R,5037,10319,285.7,-26,-358,995,-4,-7,-1
R,5078,10364,289.6,-25,-359,995,-4,-7,-1
R,5118,10409,293.4,-25,-358,995,-4,-7,-1
R,5157,10454,297.1,-25,-359,994,-4,-7,-1
R,5198,10499,301.0,-25,-359,995,-4,-7,-1
R,5238,10544,304.8,-24,-359,995,-4,-7,-1
R,5278,10589,308.7,-25,-359,994,-4,-7,-1
R,5317,10634,312.4,-25,-359,995,-4,-7,-1
R,5358,10679,316.4,-25,-358,995,-4,-7,-1
R,5397,10719,320.2,-25,-359,995,-4,-7,-1
R,5438,10754,324.2,-24,-359,995,-4,-7,-1
R,5477,10789,328.1,-23,-358,994,-4,-7,-1
R,5518,10825,332.1,-25,-359,995,-4,-7,-1
R,5557,10860,336.0,-25,-359,994,-4,-7,-1
R,5598,10895,340.0,-24,-359,995,-4,-7,-1
R,5637,10931,343.9,-25,-359,995,-4,-7,-1
R,5678,10966,348.0,-25,-359,995,-4,-7,-1
R,5718,11001,352.0,-24,-358,994,-4,-7,-1
R,5758,11037,356.0,-24,-359,994,-4,-7,-1
R,5798,11072,360.0,-24,-359,994,-4,-7,-1
R,5837,11107,364.0,-24,-359,995,-4,-7,-1
R,5878,11143,368.1,-25,-359,994,-4,-7,-1
R,5918,11178,372.2,-24,-359,995,-4,-7,-1
R,5957,11213,376.2,-25,-359,995,-4,-7,-1
R,5998,11249,380.4,-25,-359,995,-4,-7,-1
R,6038,11284,384.5,-25,-358,995,-4,-7,-1
R,6078,11319,388.6,-26,-358,994,-4,-7,-1
R,6118,11355,392.8,-25,-359,995,-4,-7,-1
R,6158,11390,396.9,-24,-359,996,-4,-7,-1
R,6197,11426,401.0,-25,-359,994,-4,-7,-1
R,6238,11461,405.2,-25,-359,995,-4,-6,-1
R,6277,11496,409.3,-24,-359,995,-4,-7,-1
R,6317,11532,413.5,-25,-359,995,-4,-7,-1
R,6358,11567,417.8,-25,-359,994,-4,-7,-1
R,6398,11602,422.0,-25,-358,994,-4,-7,-1
R,6438,11638,426.3,-26,-359,995,-4,-7,-1
R,6477,11673,430.4,-25,-358,994,-4,-7,-1
R,6518,11708,434.8,-25,-358,995,-4,-7,-1
R,6558,11744,439.1,-25,-358,994,-4,-7,-1
R,6598,11779,443.4,-24,-359,994,-4,-7,-1
R,6638,11814,447.7,-25,-359,994,-4,-7,-1
R,6678,11850,452.0,-24,-358,995,-4,-7,-1
R,6718,11885,456.3,-24,-359,995,-4,-7,-1
R,6757,11920,460.5,-25,-357,995,-4,-7,-1
R,6798,11956,465.0,-26,-359,995,-4,-7,-1
R,6838,11991,469.3,-24,-359,995,-4,-7,-1
R,6877,12026,473.6,-25,-358,995,-4,-7,-1
R,6918,12062,478.1,-24,-359,995,-4,-7,-1
R,6957,12097,482.4,-24,-358,994,-4,-7,-1
R,6998,12133,486.9,-25,-359,995,-4,-7,-1
R,7037,12168,491.3,-26,-358,994,-4,-7,-1
R,7078,12203,495.8,-25,-359,995,-4,-7,-1
R,7118,12239,500.3,-25,-359,995,-4,-7,-1
R,7157,12274,504.6,-24,-359,995,-4,-7,-1
R,7197,12309,509.1,-25,-359,994,-4,-7,-1
R,7237,12345,513.6,-25,-359,995,-4,-7,-1
R,7278,12380,518.2,-25,-359,994,-4,-7,-1
R,7318,12415,522.7,-25,-360,995,-4,-7,-1
R,7357,12451,527.1,-25,-358,994,-4,-7,-1
R,7398,12486,531.8,-24,-360,995,-4,-7,-1
R,7438,12521,536.4,-25,-359,995,-4,-7,-1
R,7478,12557,540.9,-25,-359,994,-4,-7,-1
R,7518,12592,545.5,-25,-359,994,-4,-7,-1
R,7558,12627,550.1,-24,-359,995,-4,-7,-1
R,7598,12663,554.7,-25,-359,995,-4,-7,-1
R,7638,12698,559.4,-25,-359,995,-4,-7,-1
R,7678,12733,564.0,-25,-359,995,-4,-7,-1
R,7718,12769,568.6,-25,-359,995,-4,-7,-1
R,7757,12804,573.2,-26,-360,995,-4,-7,-1
R,7798,12839,578.0,-24,-359,995,-4,-7,-1
R,7838,12875,582.7,-25,-359,995,-4,-7,-1
R,7877,12910,587.2,-25,-360,995,-4,-7,-1
R,7918,12946,592.1,-25,-359,995,-4,-7,-1
R,7958,12981,596.8,-24,-359,995,-4,-7,-1
R,7997,13016,601.4,-24,-359,995,-4,-7,-1
R,8038,13052,606.3,-25,-359,994,-4,-7,-1
R,8078,13087,611.0,-25,-360,995,-4,-7,-1
R,8117,13122,615.7,-25,-359,995,-4,-7,-1
R,8158,13158,620.6,-24,-360,994,-4,-7,-1
R,8198,13193,625.4,-25,-360,995,-4,-7,-1
