[dump] RUN #1 heure=09:03:44 src=SEUIL_GPS rollout_ms=0 unit=DELZO dyn=4 rate_ms=40 gps=2 pre=15 imuf=2/7 ecu=HP statut=TERMINE
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-600,40,0.0,5,-13,1019,1,0,0
R,-560,40,0.0,5,-14,1019,2,0,0
R,-520,40,0.0,4,-13,1019,2,0,1
R,-480,40,0.0,4,-13,1019,2,0,1
R,-440,40,0.0,5,-13,1019,2,0,0
R,-400,40,0.0,4,-14,1019,1,0,0
R,-361,40,0.0,4,-14,1020,2,0,0
R,-320,40,0.0,5,-13,1019,2,0,0
R,-280,40,0.0,5,-13,1018,2,0,0
R,-240,40,0.0,5,-13,1018,2,0,0
R,-200,40,0.0,5,-13,1018,0,-1,0
R,-161,40,0.0,5,-13,1018,1,0,0
R,-120,40,0.0,4,-14,1020,1,0,0
R,-80,40,0.0,3,-14,1018,1,0,0
R,-40,40,0.0,4,-13,1017,1,0,0
R,40,370,0.1,5,-13,1019,2,0,0
R,80,536,0.3,4,-13,1020,2,0,0
R,120,702,0.5,6,-14,1020,2,0,0
R,160,869,0.8,4,-13,1020,2,0,1
R,200,1035,1.1,4,-13,1020,2,0,0
R,240,1202,1.5,4,-13,1019,2,0,0
R,280,1368,2.0,5,-14,1019,1,0,0
R,320,1534,2.5,4,-13,1020,1,0,0
R,360,1701,3.1,4,-14,1019,1,0,0
R,399,1867,3.8,4,-14,1018,1,0,1
R,440,2034,4.5,5,-14,1019,1,0,0
R,480,2200,5.3,5,-14,1018,2,0,0
R,519,2304,6.1,4,-13,1019,2,0,0
R,560,2408,6.9,5,-13,1019,2,0,0
R,600,2512,7.8,5,-13,1015,2,0,0
R,640,2616,8.8,4,-14,1020,2,0,0
R,679,2720,9.7,4,-13,1020,0,-1,0
R,720,2824,10.8,4,-12,1020,6,2,0
R,760,2928,11.8,4,-13,1023,1,-1,1
R,800,3032,12.9,4,-13,1021,2,0,1
R,840,3136,14.0,3,-13,1016,0,-1,1
R,880,3240,15.2,5,-13,1017,1,-1,1
R,920,3344,16.4,5,-14,1018,1,0,0
R,960,3448,17.6,5,-13,1020,0,-1,0
R,1000,3526,18.9,5,-14,1020,2,0,1
R,1040,3578,20.2,4,-14,1019,3,0,0
R,1080,3630,21.5,5,-13,1019,2,0,1
R,1120,3682,22.8,6,-13,1019,2,0,0
R,1160,3734,24.2,5,-14,1019,1,0,1
R,1200,3786,25.5,4,-13,1019,1,0,1
R,1239,3838,26.9,3,-13,1020,2,0,0
R,1280,3890,28.3,5,-14,1019,1,-1,0
R,1320,3942,29.8,5,-14,1019,1,0,0
R,1360,3994,31.2,4,-13,1018,2,0,0
R,1400,4046,32.7,4,-13,1020,2,0,0
R,1440,4098,34.2,4,-14,1019,2,0,0
R,1480,4150,35.7,5,-13,1018,1,0,0
R,1519,4202,37.2,5,-13,1019,1,-1,0
R,1560,4254,38.7,5,-13,1020,2,0,0
R,1600,4306,40.3,5,-13,1021,2,0,1
R,1640,4358,41.9,5,-14,1019,2,0,0
R,1680,4410,43.5,4,-14,1019,1,0,0
R,1720,4462,45.1,4,-13,1018,1,0,0
R,1760,4514,46.7,5,-13,1019,1,0,1
R,1800,4566,48.4,5,-14,1019,2,0,0
R,1840,4618,50.1,5,-15,1020,1,0,0
R,1880,4671,51.8,5,-14,1019,1,0,0
R,1921,4723,53.5,4,-14,1019,2,0,0
R,1960,4775,55.2,5,-13,1020,2,0,1
R,2001,4852,57.0,5,-13,1019,1,0,0
R,2041,4950,58.8,5,-13,1019,2,0,0
R,2081,5049,60.6,4,-13,1019,2,0,0
R,2121,5148,62.5,4,-13,1020,2,0,0
R,2161,5246,64.4,5,-13,1020,2,0,0
R,2201,5345,66.3,4,-13,1019,2,0,0
R,2241,5444,68.3,5,-13,1020,2,0,0
R,2281,5542,70.3,4,-12,1018,1,0,0
R,2321,5641,72.3,5,-13,1017,2,0,0
R,2360,5740,74.3,5,-13,1019,1,-1,1
R,2401,5838,76.5,4,-14,1019,2,0,0
R,2441,5937,78.6,5,-13,1019,2,0,0
R,2481,6036,80.8,4,-13,1019,2,0,0
R,2533,6164,83.7,4,-12,1017,1,0,0
R,2573,6263,86.0,4,-13,1019,1,0,0
R,2612,6361,88.2,4,-14,1019,1,0,0
R,2653,6460,90.6,5,-14,1019,1,0,0
R,2693,6559,93.0,4,-13,1019,2,0,0
R,2733,6657,95.4,4,-13,1019,2,0,0
