[dump] RUN #1 heure=12:34:04 src=SEUIL_GPS rollout_ms=0 unit=DELZO dyn=4 rate_ms=40 gps=2 pre=8 imuf=2/7 ecu=HP statut=ABANDON
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1464,10,0.0,33,-79,1018,2,0,0
R,-1267,8,0.0,33,-80,1019,2,0,0
R,-1088,5,0.0,32,-80,1013,3,-1,1
R,-909,8,0.0,31,-77,1016,3,0,1
R,-732,19,0.0,31,-81,1018,1,0,0
R,-533,18,0.0,22,-61,1034,5,-1,1
R,-350,23,0.0,-48,58,1034,10,11,14
R,-175,89,0.0,-49,89,997,2,1,18
R,210,343,0.6,-58,78,1011,-4,-1,57
R,226,361,0.6,-56,77,1010,-5,0,60
R,251,415,0.7,-57,80,1008,-5,2,63
R,293,458,0.9,-57,82,1005,-8,4,68
R,332,481,1.1,-54,82,1005,-10,5,72
R,373,510,1.3,-56,77,1005,-11,7,75
R,413,552,1.4,-69,70,1002,-14,8,78
R,452,570,1.6,-95,59,1002,-14,9,82
R,491,582,1.9,-121,53,1003,-13,9,89
R,530,597,2.1,-141,51,1010,-15,5,95
R,572,619,2.3,-157,42,1008,-15,-4,103
R,612,655,2.5,-164,11,1020,-12,-15,111
R,650,692,2.8,-175,17,1015,-13,-22,114
R,691,754,3.0,-152,-14,1054,-8,-30,119
R,730,791,3.3,-120,-5,1064,-4,-33,124
R,786,801,3.7,-44,-20,1127,5,-25,128
R,851,844,4.2,-19,-5,1158,21,-6,137
R,894,855,4.5,-45,10,1154,33,2,140
R,937,836,4.9,-77,-14,1144,32,1,146
R,971,818,5.1,-138,33,1109,45,4,152
R,1013,828,5.4,-172,18,1061,49,3,159
R,1053,827,5.7,-180,15,1037,43,4,168
R,1092,868,6.0,-188,26,1006,46,6,175
R,1131,920,6.4,-194,47,985,46,3,181
R,1172,980,6.7,-212,50,967,44,-7,186
R,1213,1001,7.1,-164,43,964,41,-16,190
R,1252,1036,7.4,-168,66,976,40,-12,197
R,1291,1064,7.8,-124,25,1013,37,0,204
R,1331,1088,8.2,-127,47,1026,35,12,212
R,1371,1125,8.6,-150,55,1034,41,17,218
R,1413,1169,9.0,-188,39,1016,41,14,225
R,1450,1209,9.4,-179,42,1029,45,13,229
R,1490,1221,9.9,-136,40,1051,46,22,231
R,1530,1224,10.3,-163,48,1047,47,38,235
R,1571,1224,10.8,-211,48,1031,51,43,239
R,1613,1223,11.3,-248,37,1033,49,35,244
R,1652,1229,11.7,-286,20,1064,61,25,248
R,1692,1270,12.2,-286,-13,1036,62,16,257
R,1731,1329,12.6,-322,-28,1085,75,11,262
R,1785,1381,13.3,-278,8,1043,81,-2,272
R,1852,1461,14.2,-268,44,1027,91,9,279
R,1894,1497,14.7,-293,80,1015,80,-3,280
R,1931,1531,15.2,-301,82,1002,77,-15,280
R,1971,1578,15.8,-290,53,1012,69,-25,282
R,2012,1593,16.4,-229,86,1060,55,-15,285
R,2051,1598,17.0,-295,53,1046,50,-14,286
R,2091,1620,17.5,-310,10,1040,58,-26,285
R,2131,1651,18.1,-272,34,1020,68,-32,287
R,2171,1686,18.7,-249,68,1026,52,-17,296
R,2213,1724,19.4,-315,63,1004,44,-13,309
R,2251,1730,20.0,-276,34,1013,35,-23,318
R,2291,1745,20.6,-148,104,1010,22,-4,326
R,2332,1765,21.3,-170,82,1011,3,19,331
R,2373,1794,21.9,-169,60,1026,-6,26,331
R,2413,1822,22.6,-189,70,1022,-9,40,327
R,2452,1851,23.3,-247,9,1020,-12,37,322
R,2491,1866,23.9,-236,51,1005,-14,39,319
R,2533,1885,24.6,-358,3,997,-21,31,318
R,2573,1900,25.3,-436,-50,1005,-3,-9,309
R,2613,1919,26.0,-401,38,1016,-8,-43,308
R,2654,1935,26.7,-281,-14,1017,-18,-43,307
R,2692,1942,27.4,-237,-11,1023,-16,-37,310
R,2732,1947,28.1,-187,10,1027,-10,-27,309
R,2789,1975,29.1,-108,32,1027,8,-6,307
R,2853,2019,30.3,-119,51,1025,8,7,300
R,2897,2046,31.1,-123,80,1009,15,15,290
R,2936,2056,31.9,-159,78,1011,10,18,282
R,2971,2079,32.5,-151,63,995,-1,23,277
R,3013,2101,33.3,-164,111,1014,-12,28,271
R,3053,2125,34.1,-211,72,1016,-29,16,269
R,3094,2158,34.9,-147,65,1024,-26,11,264
R,3131,2183,35.6,-153,56,1037,-27,14,256
R,3172,2213,36.4,-149,30,1039,-21,20,247
R,3213,2223,37.3,-180,48,1014,-14,24,238
R,3253,2221,38.1,-208,29,1030,-7,20,232
R,3293,2238,38.9,-207,48,1014,0,14,226
R,3332,2256,39.7,-204,57,998,2,8,223
R,3373,2273,40.5,-195,72,985,6,6,220
R,3430,2307,41.7,-187,95,984,2,10,213
R,3452,2343,42.2,-190,97,994,2,10,211
R,3494,2375,43.1,-200,101,999,0,6,205
R,3533,2399,43.9,-172,99,1012,-7,-2,198
R,3574,2414,44.8,-169,86,1031,-8,-5,193
R,3613,2424,45.7,-150,89,1041,-10,-6,187
R,3651,2428,46.5,-130,85,1052,-9,-6,181
R,3692,2456,47.5,-107,94,1048,-5,-5,174
R,3732,2487,48.4,-63,105,1042,-1,0,166
R,3786,2504,49.6,-75,97,1048,0,2,155
R,3852,2555,51.1,-68,104,1036,1,6,140
R,3894,2588,52.1,-76,131,1019,4,4,132
R,3930,2592,52.9,-57,125,1004,1,6,126
R,3970,2597,53.9,-65,129,1010,3,12,121
R,4012,2621,54.9,-81,126,1006,1,15,115
R,4052,2654,55.8,-78,116,996,0,20,112
R,4092,2674,56.8,-128,124,1008,0,26,112
R,4131,2702,57.8,-149,109,1012,0,29,112
R,4171,2730,58.8,-177,108,1019,-1,31,114
R,4211,2743,59.8,-203,117,1023,-4,29,116
R,4251,2759,60.8,-217,105,1024,-1,23,118
R,4291,2782,61.8,-230,113,1034,2,12,116
R,4331,2815,62.8,-195,117,1031,-1,7,114
R,4372,2843,63.8,-197,115,1024,2,3,112
R,4410,2865,64.8,-177,123,1022,1,1,111
R,4450,2896,65.9,-160,122,1023,3,-2,108
R,4491,2929,67.0,-146,134,1029,7,-8,106
R,4531,2965,68.0,-114,135,1019,4,-11,102
R,4572,2988,69.2,-99,152,1017,9,-7,96
R,4611,3018,70.2,-78,161,1020,5,-6,91
R,4651,3048,71.3,-62,163,1031,4,-2,85
R,4692,3080,72.5,-65,179,990,5,0,78
R,4732,3120,73.6,-43,167,1011,5,3,72
R,4788,3137,75.2,-47,173,1022,2,6,66
R,4852,3186,77.0,-58,183,1019,2,7,58
R,4895,3206,78.3,-63,185,1018,3,6,53
R,4936,3237,79.5,-71,179,1028,3,9,49
R,4972,3266,80.6,-80,187,1017,2,10,47
R,5012,3291,81.8,-92,185,1010,1,9,45
R,5053,3329,83.0,-89,192,1016,1,3,43
R,5094,3363,84.3,-77,187,1023,0,3,41
R,5132,3405,85.4,-95,192,1016,2,2,39
R,5171,3441,86.6,-65,197,1004,3,0,36
R,5211,3457,87.9,-65,196,1018,-2,-2,33
R,5253,3486,89.2,-40,197,1018,1,-1,29
R,5291,3536,90.4,-60,201,1008,-1,-2,26
R,5332,3579,91.8,-31,203,1009,1,-6,22
R,5374,3610,93.1,-18,203,1019,-2,-3,18
R,5412,3616,94.4,-22,199,1020,0,-2,16
R,5452,3653,95.7,-22,206,1019,0,-1,13
R,5491,3690,97.0,-9,208,1014,0,3,10
R,5532,3734,98.4,-42,210,1005,0,5,10
R,5572,3775,99.8,-38,227,1018,-1,6,10
R,5611,3806,101.1,-31,220,1022,-2,11,10
R,5651,3845,102.5,-76,221,1014,-1,15,11
R,5693,3862,104.0,-82,218,1004,0,8,10
R,5732,3880,105.4,-76,225,1000,-2,7,11
R,5788,3922,107.4,-91,213,1014,0,0,11
R,5851,4014,109.6,-94,232,1008,0,0,11
R,5896,4057,111.3,-68,245,989,-2,-1,12
R,5931,4078,112.6,-51,245,996,-7,2,12
R,5972,4111,114.1,-51,255,999,-10,9,14
R,6023,4164,116.1,-76,230,1008,-4,6,14
R,6052,4218,117.2,-55,246,1007,-5,9,13
R,6092,4260,118.7,-83,248,1019,-8,10,12
R,6131,4294,120.2,-77,234,1028,-4,12,10
R,6171,4315,121.8,-101,242,997,-3,9,10
R,6211,4348,123.4,-97,243,1013,-2,5,10
R,6252,4404,125.0,-83,261,1007,1,5,11
R,6291,4447,126.6,-107,261,1000,-2,3,13
R,6332,4504,128.3,-75,264,1023,-5,3,12
R,6371,4538,129.9,-85,259,1023,-1,5,13
R,6411,4573,131.5,-89,267,1022,1,5,13
R,6453,4610,133.3,-86,272,1020,-4,2,13
R,6491,4661,134.9,-112,268,1023,4,1,14
R,6532,4714,136.6,-87,269,1039,1,4,13
R,6572,4763,138.4,-84,269,1019,4,4,13
R,6611,4806,140.1,-82,279,1016,4,4,15
R,6670,4849,142.7,-94,291,1011,-1,5,14
R,6692,4886,143.6,-78,291,1007,-2,5,13
R,6731,4927,145.4,-87,288,1002,0,7,12
R,6786,4979,147.9,-85,298,1005,-1,5,11
R,6850,5091,150.8,-94,279,1019,-8,1,11
R,6895,5140,152.9,-66,273,1028,-1,4,9
R,6938,5184,154.9,-79,268,1025,2,5,8
R,6971,5224,156.5,-62,269,1039,8,4,6
R,7013,5258,158.5,-70,283,1027,12,1,3
R,7051,5306,160.3,-40,275,1055,11,-4,1
R,7092,5358,162.3,-59,294,1028,10,-2,0
R,7132,5417,164.3,-55,289,1029,12,-7,-3
R,7172,5451,166.3,-53,305,1026,8,-7,-4
R,7212,5482,168.2,-29,301,1029,5,-5,-5
R,7252,5530,170.3,-57,297,1013,3,-3,-3
R,7293,5578,172.3,-47,282,1036,0,-1,-2
R,7331,5625,174.3,-73,295,1010,0,1,-1
R,7371,5678,176.3,-69,267,1017,-1,2,0
R,7412,5721,178.5,-91,272,1013,1,0,0
R,7451,5767,180.5,-107,257,1050,0,-6,2
R,7493,5817,182.7,-118,262,1029,4,-4,3
R,7532,5855,184.8,-95,277,1018,15,-4,4
R,7572,5894,186.9,-118,260,1016,7,-8,6
R,7612,5940,189.1,-95,273,1011,11,-15,6
R,7651,5977,191.2,-96,255,1038,8,-21,6
R,7693,6015,193.5,-79,283,1026,4,-19,5
R,7731,6069,195.6,-78,255,1041,8,-18,3
R,7786,6113,198.7,-10,285,1033,4,-10,3
R,7851,6206,202.3,-58,268,1010,5,1,2
R,7895,6250,204.8,-83,281,990,0,-2,4
R,7931,6285,206.9,-70,273,987,-1,-1,4
R,7971,6330,209.2,-41,278,981,-4,-3,4
R,8011,6374,211.5,-38,284,987,-8,9,5
R,8051,6418,213.8,-53,263,1005,-14,8,5
R,8092,6470,216.2,-88,250,985,-9,4,5
R,8131,6502,218.5,-67,226,1003,2,0,2
R,8174,6540,221.1,-82,236,1027,4,-4,0
R,8212,6573,223.3,-31,257,1025,9,-2,0
R,8251,6610,225.7,-44,245,1053,8,-4,0
R,8292,6656,228.2,-62,252,1052,7,-5,-1
R,8331,6695,230.5,-36,236,1088,14,-8,-2
R,8370,6748,232.9,-26,264,1083,17,-4,-1
R,8411,6794,235.5,-16,253,1090,12,2,-1
R,8453,6821,238.1,-35,255,1100,17,4,0
R,8490,6866,240.4,-13,270,1066,7,6,0
R,8531,6899,242.9,-48,226,1067,7,8,0
R,8572,6937,245.5,-54,256,1061,12,8,-1
R,8619,6967,248.5,-81,234,1026,1,2,-1
R,8652,7016,250.6,-61,241,1010,0,-1,-1
R,8692,7054,253.2,-71,233,1000,4,-5,-1
R,8731,7082,255.7,-59,227,989,0,-9,-1
R,8786,7124,259.2,-52,224,982,0,-5,0
R,8850,7207,263.4,-41,244,988,5,-12,0
R,8896,7245,266.4,-65,228,976,5,-11,0
R,8937,7291,269.2,-22,244,993,0,-9,0
R,8971,7330,271.4,-30,233,1008,-4,-5,0
R,9012,7358,274.2,1,231,1025,-6,0,0
R,9052,7377,276.9,-38,224,1036,-2,9,0
R,9092,7407,279.6,-21,198,1088,-1,8,0
R,9130,7457,282.1,-37,217,1082,5,15,0
R,9170,7485,284.8,-55,195,1101,7,13,0
R,9211,7522,287.7,-43,216,1100,16,11,2
R,9268,7552,291.6,-53,205,1058,18,7,1
R,9290,7584,293.1,-45,246,1044,18,9,0
R,9331,7627,295.9,-77,225,1036,1,3,1
R,9372,7668,298.8,-88,219,1017,3,-5,0
R,9412,7691,301.6,-48,235,1000,1,-8,-1
R,9451,7713,304.3,-23,209,990,0,-1,-1
R,9490,7759,307.1,-38,205,1016,2,2,-1
R,9530,7804,309.9,-24,210,1026,1,7,-1
R,9571,7835,312.8,-10,212,996,7,10,-1
R,9610,7859,315.6,-26,241,971,8,13,0
R,9651,7888,318.6,-57,230,970,2,15,0
R,9691,7912,321.4,-40,255,963,-3,11,1
R,9731,7965,324.3,-78,251,945,-17,6,1
R,9784,8015,328.2,-60,240,994,-15,0,1
R,9850,8080,333.0,-60,170,1016,-14,-3,-1
R,9896,8114,336.4,-70,206,1037,1,-5,-1
R,9932,8132,339.1,-51,203,1041,4,-5,-2
R,9971,8172,342.0,-40,235,1038,9,-3,-1
R,10012,8218,345.1,-56,244,1047,12,-2,0
R,10052,8267,348.1,-52,265,1021,5,-3,0
R,10093,8305,351.2,-59,277,1033,2,-6,1
R,10132,8340,354.1,-32,277,1022,2,-1,1
