[dump] RUN #1 heure=13:54:19 src=ENTREE_PIN rollout_ms=0 unit=DELZO dyn=4 rate_ms=40 gps=1 pre=1 imuf=2/7 ecu=HP statut=ABANDON
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-239,0,0.0,-5,-17,1018,2,0,1
R,196,0,0.0,-6,-17,1019,2,0,0
R,211,0,0.0,-6,-18,1019,2,0,0
R,250,0,0.0,-6,-17,1018,2,0,1
R,290,0,0.0,-5,-17,1018,2,0,1
R,330,0,0.0,-6,-18,1018,2,0,0
R,370,0,0.0,-6,-18,1019,2,0,1
R,432,0,0.0,-6,-17,1019,2,0,1
R,451,0,0.0,-5,-17,1018,2,0,1
R,492,0,0.0,-4,-17,1018,2,0,1
R,531,0,0.0,-4,-16,1019,2,0,1
R,571,0,0.0,-5,-16,1018,2,0,0
R,628,0,0.0,-5,-17,1019,2,0,1
R,651,0,0.0,-4,-17,1017,2,0,1
R,691,0,0.0,-5,-16,1017,2,0,1
R,732,0,0.0,-5,-17,1018,2,0,0
R,771,0,0.0,-6,-17,1017,2,0,0
R,811,0,0.0,-5,-17,1018,2,0,0
R,851,0,0.0,-5,-18,1019,2,0,1
R,891,0,0.0,-4,-18,1018,2,0,0
R,932,0,0.0,-5,-16,1018,2,0,0
R,971,0,0.0,-5,-18,1018,2,0,0
R,1011,0,0.0,-5,-17,1018,2,0,1
R,1051,0,0.0,-5,-17,1018,2,0,1
R,1091,0,0.0,-6,-17,1017,2,0,0
R,1131,0,0.0,-5,-17,1017,2,0,0
R,1171,0,0.0,-4,-18,1017,2,0,1
R,1210,0,0.0,-5,-17,1019,2,0,0
R,1250,0,0.0,-5,-17,1017,2,0,0
R,1290,0,0.0,-4,-17,1017,2,0,0
R,1330,0,0.0,-6,-17,1018,2,0,1
R,1370,0,0.0,-5,-17,1018,2,0,0
R,1434,0,0.0,-4,-18,1019,2,0,1
R,1451,0,0.0,-4,-18,1018,2,0,0
R,1491,0,0.0,-5,-17,1018,2,0,0
R,1531,0,0.0,-6,-18,1018,2,0,0
R,1571,0,0.0,-6,-17,1019,2,0,0
R,1611,0,0.0,-5,-17,1018,2,0,1
R,1651,0,0.0,-5,-16,1018,2,0,0
R,1691,0,0.0,-6,-17,1018,2,0,0
R,1731,0,0.0,-4,-18,1018,2,0,1
R,1776,0,0.0,-6,-17,1016,2,0,0
R,1811,0,0.0,-5,-17,1020,2,0,1
R,1851,0,0.0,-5,-17,1018,2,0,1
R,1890,0,0.0,-5,-18,1017,2,0,0
R,1931,0,0.0,-4,-18,1018,2,0,1
R,1971,0,0.0,-5,-17,1017,2,0,0
R,2011,0,0.0,-5,-17,1018,2,0,0
R,2051,0,0.0,-5,-17,1017,2,0,0
R,2091,0,0.0,-6,-18,1018,2,0,0
R,2131,0,0.0,-5,-17,1019,2,0,0
R,2171,0,0.0,-5,-17,1019,2,0,1
R,2211,0,0.0,-6,-17,1016,2,0,0
R,2251,0,0.0,-5,-17,1020,2,0,1
R,2291,0,0.0,-5,-18,1019,2,0,1
R,2331,0,0.0,-5,-17,1017,2,0,1
R,2370,0,0.0,-5,-17,1019,2,0,0
R,2435,0,0.0,-6,-17,1018,2,0,0
R,2453,0,0.0,-5,-17,1018,2,0,0
R,2492,0,0.0,-5,-17,1018,2,0,1
R,2532,0,0.0,-5,-17,1017,2,0,0
R,2576,0,0.0,-5,-17,1019,2,0,1
R,2612,0,0.0,-5,-17,1018,2,0,1
R,2652,0,0.0,-4,-17,1016,2,0,1
R,2691,0,0.0,-5,-17,1018,2,0,1
R,2731,0,0.0,-5,-17,1018,2,0,0
R,2772,0,0.0,-5,-16,1018,2,0,0
R,2811,0,0.0,-5,-17,1016,2,0,0
R,2851,0,0.0,-4,-16,1018,2,0,1
R,2892,0,0.0,-5,-17,1018,2,0,1
R,2932,0,0.0,-5,-18,1017,2,0,0
R,2972,0,0.0,-5,-16,1018,2,0,0
R,3012,0,0.0,-5,-17,1018,2,0,0
R,3051,0,0.0,-5,-17,1018,2,0,0
R,3091,0,0.0,-4,-18,1017,2,0,0
R,3132,0,0.0,-5,-17,1018,2,0,1
R,3171,0,0.0,-5,-17,1017,2,0,0
R,3225,0,0.0,-6,-17,1017,2,0,1
R,3252,0,0.0,-5,-17,1017,2,0,0
R,3291,0,0.0,-6,-17,1019,2,0,0
R,3331,0,0.0,-5,-18,1018,2,0,0
R,3372,0,0.0,-5,-17,1017,2,0,1
R,3437,0,0.0,-5,-16,1018,2,0,1
R,3453,0,0.0,-6,-17,1019,2,0,1
R,3493,0,0.0,-5,-17,1018,2,0,0
R,3532,0,0.0,-4,-17,1017,2,0,0
R,3572,0,0.0,-5,-17,1017,2,0,1
R,3613,0,0.0,-5,-17,1018,2,0,0
R,3652,0,0.0,-6,-16,1017,2,0,1
R,3692,0,0.0,-6,-18,1017,2,0,0
R,3733,0,0.0,-6,-17,1018,2,0,0
R,3777,0,0.0,-5,-17,1018,2,0,1
R,3812,0,0.0,-6,-18,1017,2,0,0
R,3852,0,0.0,-6,-17,1018,2,0,1
R,3892,0,0.0,-6,-17,1019,2,0,1
R,3933,0,0.0,-5,-18,1016,2,0,1
R,3972,0,0.0,-6,-17,1019,2,0,1
R,4013,0,0.0,-6,-17,1018,2,0,1
R,4052,0,0.0,-5,-17,1018,2,0,0
R,4091,0,0.0,-5,-17,1018,2,0,1
R,4131,0,0.0,-5,-17,1017,2,0,0
R,4170,0,0.0,-6,-17,1017,2,0,1
R,4211,0,0.0,-6,-18,1019,2,0,1
R,4251,0,0.0,-6,-17,1018,2,0,0
R,4290,0,0.0,-4,-17,1017,2,0,0
R,4330,0,0.0,-6,-17,1019,2,0,0
R,4370,0,0.0,-5,-16,1019,2,0,1
R,4436,0,0.0,-5,-18,1016,2,0,1
R,4452,0,0.0,-5,-17,1016,2,0,0
R,4492,0,0.0,-6,-16,1019,2,0,1
R,4532,0,0.0,-6,-17,1016,2,0,0
R,4573,0,0.0,-5,-17,1019,2,0,1
R,4613,0,0.0,-6,-17,1016,2,0,1
R,4652,0,0.0,-5,-18,1018,2,0,0
R,4692,0,0.0,-5,-17,1020,2,0,1
R,4732,0,0.0,-5,-17,1018,2,0,0
R,4771,0,0.0,-6,-17,1016,2,0,1
R,4811,0,0.0,-5,-17,1019,2,0,1
R,4851,0,0.0,-6,-17,1017,2,0,1
R,4892,0,0.0,-5,-17,1017,3,1,1
R,4932,0,0.0,-5,-17,1020,2,0,1
R,4972,0,0.0,-5,-17,1018,2,0,1
R,5011,0,0.0,-5,-17,1016,2,0,0
R,5052,0,0.0,-5,-16,1018,2,0,1
R,5092,0,0.0,-5,-17,1018,2,0,0
R,5132,0,0.0,-6,-17,1018,2,0,1
R,5173,0,0.0,-5,-17,1020,2,0,0
R,5212,0,0.0,-6,-17,1017,1,0,0
R,5250,0,0.0,-5,-16,1017,2,0,1
R,5290,0,0.0,-6,-17,1019,2,0,1
R,5330,0,0.0,-5,-17,1018,2,0,0
R,5370,0,0.0,-6,-18,1017,2,0,1
R,5436,0,0.0,-5,-16,1018,2,0,0
R,5452,0,0.0,-5,-16,1017,2,0,1
R,5492,0,0.0,-5,-17,1017,2,0,0
R,5531,0,0.0,-5,-18,1018,3,0,0
R,5571,0,0.0,-6,-17,1018,2,0,1
R,5611,0,0.0,-6,-16,1018,2,0,0
R,5650,0,0.0,-6,-17,1016,2,0,1
R,5691,0,0.0,-5,-17,1021,2,0,1
R,5730,0,0.0,-5,-17,1018,2,0,0
R,5775,0,0.0,-6,-18,1018,2,0,0
R,5822,0,0.0,-5,-17,1016,2,0,0
R,5850,0,0.0,-5,-17,1016,2,0,1
R,5891,0,0.0,-6,-17,1021,2,0,0
R,5931,0,0.0,-6,-17,1018,2,0,0
R,5970,0,0.0,-5,-17,1015,2,0,0
R,6010,0,0.0,-5,-17,1019,2,0,1
R,6050,0,0.0,-6,-16,1019,2,0,1
R,6090,0,0.0,-4,-17,1016,2,0,1
R,6130,0,0.0,-5,-17,1019,2,0,1
R,6170,0,0.0,-6,-17,1018,2,0,0
R,6210,0,0.0,-5,-17,1018,2,0,0
R,6250,0,0.0,-7,-18,1019,2,0,1
R,6290,0,0.0,-5,-17,1017,2,0,1
R,6330,0,0.0,-6,-16,1018,2,0,0
R,6370,0,0.0,-6,-17,1018,2,0,0
R,6435,0,0.0,-6,-18,1018,2,0,1
R,6470,0,0.0,-5,-17,1020,2,0,0
R,6493,0,0.0,-5,-18,1018,2,0,0
R,6532,0,0.0,-5,-17,1017,2,0,1
R,6572,0,0.0,-5,-17,1018,2,0,0
R,6612,0,0.0,-5,-17,1018,2,0,0
R,6651,0,0.0,-5,-17,1019,2,0,0
R,6691,0,0.0,-5,-17,1016,2,0,1
R,6732,0,0.0,-5,-17,1017,2,0,0
R,6771,0,0.0,-5,-17,1019,2,0,0
R,6811,0,0.0,-6,-17,1019,2,0,1
R,6852,0,0.0,-5,-17,1017,2,0,0
R,6891,0,0.0,-6,-17,1018,2,0,0
R,6932,0,0.0,-5,-17,1018,2,0,0
R,6972,0,0.0,-6,-17,1018,2,0,0
R,7011,0,0.0,-5,-17,1016,2,0,0
R,7051,0,0.0,-5,-17,1019,2,0,0
R,7091,0,0.0,-5,-17,1019,2,0,1
R,7130,0,0.0,-5,-18,1017,2,0,0
R,7170,0,0.0,-6,-17,1017,2,0,0
R,7211,0,0.0,-5,-17,1019,2,0,0
R,7250,0,0.0,-6,-17,1018,2,0,0
R,7290,0,0.0,-5,-16,1018,2,0,0
R,7331,0,0.0,-5,-17,1018,2,0,0
R,7370,0,0.0,-6,-17,1018,2,0,1
R,7435,0,0.0,-5,-17,1018,2,0,0
R,7452,0,0.0,-5,-16,1017,2,0,0
R,7492,0,0.0,-4,-17,1018,2,0,1
R,7532,0,0.0,-5,-17,1019,2,0,1
R,7572,0,0.0,-5,-18,1018,2,0,0
R,7612,0,0.0,-6,-17,1017,2,0,0
R,7652,0,0.0,-5,-17,1018,2,0,1
R,7693,0,0.0,-5,-17,1019,2,0,0
R,7731,0,0.0,-5,-17,1018,2,0,1
R,7779,0,0.0,-6,-18,1017,2,0,0
R,7812,0,0.0,-5,-17,1018,2,0,0
R,7852,0,0.0,-6,-17,1019,2,0,0
R,7892,0,0.0,-5,-18,1017,2,0,0
R,7933,0,0.0,-5,-16,1018,2,0,1
R,7972,0,0.0,-5,-17,1018,2,0,0
R,8012,0,0.0,-5,-18,1018,2,0,0
R,8052,0,0.0,-5,-18,1018,3,0,1
R,8093,0,0.0,-5,-17,1019,2,0,0
R,8132,0,0.0,-6,-18,1018,2,0,0
R,8172,0,0.0,-5,-17,1017,2,0,0
R,8211,0,0.0,-4,-17,1016,2,0,0
R,8251,0,0.0,-6,-17,1018,2,0,1
R,8291,0,0.0,-5,-17,1018,2,0,1
R,8331,0,0.0,-6,-17,1018,2,0,0
R,8371,0,0.0,-6,-17,1018,2,0,0
R,8436,0,0.0,-6,-17,1019,2,0,0
R,8451,0,0.0,-6,-17,1019,2,0,0
R,8491,0,0.0,-6,-17,1017,2,0,1
R,8532,0,0.0,-5,-18,1018,2,0,1
R,8571,0,0.0,-5,-17,1017,2,0,1
R,8611,0,0.0,-4,-17,1019,2,0,0
R,8653,0,0.0,-4,-18,1016,2,0,0
R,8691,0,0.0,-5,-16,1019,2,0,1
R,8731,0,0.0,-5,-16,1018,2,0,0
R,8774,0,0.0,-5,-17,1018,2,0,1
R,8812,0,0.0,-5,-18,1019,2,0,1
R,8851,0,0.0,-4,-17,1017,2,0,0
R,8893,0,0.0,-5,-16,1019,2,0,1
R,8932,0,0.0,-5,-17,1017,2,0,1
R,8972,0,0.0,-5,-17,1018,2,0,1
R,9013,0,0.0,-5,-17,1018,2,0,1
R,9067,0,0.0,-5,-17,1018,2,0,0
R,9093,0,0.0,-6,-17,1018,2,0,0
R,9133,0,0.0,-5,-17,1018,2,0,1
R,9172,0,0.0,-5,-17,1017,2,0,1
R,9211,0,0.0,-5,-17,1018,2,0,1
R,9252,0,0.0,-5,-17,1017,2,0,1
R,9292,0,0.0,-5,-17,1019,2,0,0
R,9332,0,0.0,-6,-17,1018,2,0,0
R,9370,0,0.0,-6,-17,1019,2,0,1
R,9435,0,0.0,-5,-18,1017,3,0,0
R,9452,0,0.0,-5,-17,1019,2,0,1
R,9491,0,0.0,-5,-17,1017,2,0,1
R,9531,0,0.0,-4,-17,1016,2,0,1
R,9572,0,0.0,-5,-17,1019,2,0,0
R,9612,0,0.0,-5,-16,1018,2,0,0
R,9651,0,0.0,-5,-17,1016,2,0,0
R,9691,0,0.0,-5,-18,1018,2,0,0
R,9731,0,0.0,-5,-17,1018,2,0,0
R,9779,0,0.0,-6,-17,1018,2,0,1
R,9812,0,0.0,-5,-17,1017,2,0,1
R,9852,0,0.0,-5,-17,1017,2,0,0
R,9892,0,0.0,-5,-18,1018,2,0,1
R,9932,0,0.0,-5,-16,1018,2,0,1
R,9972,0,0.0,-5,-16,1018,2,0,1
R,10012,0,0.0,-6,-16,1016,2,0,1
R,10051,0,0.0,-6,-17,1019,2,0,0
R,10092,0,0.0,-6,-17,1019,2,0,1
R,10132,0,0.0,-5,-17,1017,2,0,1
R,10171,0,0.0,-5,-17,1018,2,0,1
R,10212,0,0.0,-5,-17,1020,2,0,1
R,10251,0,0.0,-6,-17,1018,2,0,0
R,10291,0,0.0,-5,-17,1017,2,0,0
R,10331,0,0.0,-6,-17,1018,2,0,1
R,10370,0,0.0,-4,-17,1017,2,0,0
R,10435,0,0.0,-5,-17,1018,2,0,0
R,10452,0,0.0,-5,-18,1017,2,0,0
R,10492,0,0.0,-5,-17,1018,2,0,1
R,10533,0,0.0,-5,-17,1017,2,0,0
R,10573,0,0.0,-4,-18,1018,2,0,0
R,10612,0,0.0,-5,-17,1018,2,0,1
R,10653,0,0.0,-4,-18,1017,2,0,0
R,10691,0,0.0,-5,-17,1018,2,0,0
R,10731,0,0.0,-6,-16,1019,2,0,1
R,10775,0,0.0,-4,-17,1019,2,0,1
R,10811,0,0.0,-5,-17,1017,2,0,0
R,10851,0,0.0,-5,-17,1018,2,0,1
R,10891,0,0.0,-4,-18,1019,2,0,1
R,10933,0,0.0,-5,-17,1018,2,0,1
R,10971,0,0.0,-4,-17,1016,2,0,1
R,11014,0,0.0,-5,-17,1019,2,0,1
R,11052,0,0.0,-5,-17,1018,2,0,1
R,11092,0,0.0,-5,-17,1019,2,0,1
R,11131,0,0.0,-4,-18,1017,2,0,1
R,11171,0,0.0,-5,-17,1017,2,0,1
R,11212,0,0.0,-5,-16,1020,2,0,1
R,11251,0,0.0,-5,-16,1018,2,0,1
R,11292,0,0.0,-5,-17,1017,2,0,0
R,11331,0,0.0,-5,-17,1019,2,0,0
R,11371,0,0.0,-5,-17,1018,2,0,0
R,11437,0,0.0,-5,-17,1018,2,0,0
R,11452,0,0.0,-5,-18,1019,2,0,0
R,11493,0,0.0,-5,-17,1019,2,0,1
R,11533,0,0.0,-6,-17,1017,2,0,1
R,11572,0,0.0,-5,-18,1017,2,0,0
R,11612,0,0.0,-5,-17,1018,2,0,1
R,11663,0,0.0,-5,-17,1018,2,0,1
R,11692,0,0.0,-5,-18,1019,2,0,1
R,11731,0,0.0,-5,-18,1016,2,0,0
R,11779,0,0.0,-4,-16,1020,2,0,0
R,11811,0,0.0,-5,-16,1019,2,0,1
R,11851,0,0.0,-4,-17,1017,2,0,0
R,11892,0,0.0,-5,-17,1017,2,0,0
R,11933,0,0.0,-5,-17,1019,2,0,0
R,11971,0,0.0,-5,-17,1019,2,0,1
R,12011,0,0.0,-4,-17,1017,2,0,0
R,12051,0,0.0,-6,-17,1019,2,0,0
R,12091,0,0.0,-5,-17,1019,2,0,1
R,12132,0,0.0,-5,-17,1017,2,0,1
R,12171,0,0.0,-5,-17,1018,2,0,1
R,12211,0,0.0,-5,-17,1019,2,0,1
R,12252,0,0.0,-5,-16,1019,2,0,0
R,12310,0,0.0,-5,-17,1017,2,0,0
R,12331,0,0.0,-5,-16,1017,2,0,1
R,12371,0,0.0,-6,-18,1019,2,0,1
R,12436,0,0.0,-4,-17,1018,2,0,0
R,12452,0,0.0,-5,-17,1017,2,0,1
R,12493,0,0.0,-5,-17,1017,2,0,0
R,12533,0,0.0,-4,-16,1018,2,0,0
R,12573,0,0.0,-5,-17,1018,2,0,1
R,12613,0,0.0,-5,-17,1018,2,0,1
R,12652,0,0.0,-5,-18,1016,2,0,1
R,12692,0,0.0,-5,-17,1019,2,0,1
R,12733,0,0.0,-5,-18,1018,2,0,0
R,12776,0,0.0,-6,-17,1016,2,0,1
R,12812,0,0.0,-5,-17,1019,2,0,1
R,12852,0,0.0,-6,-17,1019,2,0,0
R,12892,0,0.0,-6,-17,1017,2,0,0
R,12933,0,0.0,-6,-17,1018,2,0,0
R,12973,0,0.0,-5,-16,1018,2,0,1
R,13012,0,0.0,-5,-17,1017,2,0,1
R,13052,0,0.0,-5,-17,1019,2,0,1
R,13093,0,0.0,-5,-17,1017,2,0,0
R,13132,0,0.0,-5,-16,1018,2,0,0
R,13172,0,0.0,-5,-16,1018,2,0,0
R,13213,0,0.0,-6,-17,1017,2,0,0
R,13252,0,0.0,-4,-16,1018,2,0,1
R,13292,0,0.0,-5,-16,1019,2,0,1
R,13333,0,0.0,-5,-17,1020,2,0,0
R,13372,0,0.0,-5,-17,1018,2,0,0
R,13436,0,0.0,-5,-17,1016,2,0,1
R,13452,0,0.0,-5,-17,1018,2,0,1
R,13492,0,0.0,-5,-16,1020,2,0,1
R,13532,0,0.0,-4,-16,1017,2,0,1
R,13572,0,0.0,-4,-17,1017,2,0,0
R,13612,0,0.0,-5,-17,1017,2,0,1
R,13652,0,0.0,-4,-16,1020,2,0,1
R,13693,0,0.0,-5,-18,1017,2,0,1
R,13733,0,0.0,-6,-18,1016,2,0,1
R,13779,0,0.0,-5,-18,1019,2,0,1
R,13813,0,0.0,-5,-17,1019,2,0,0
R,13852,0,0.0,-4,-18,1017,2,0,1
R,13892,0,0.0,-5,-17,1017,2,0,0
R,13933,0,0.0,-5,-17,1019,2,0,0
R,13972,0,0.0,-5,-17,1018,2,0,0
R,14012,0,0.0,-6,-17,1016,2,0,1
R,14052,0,0.0,-4,-18,1019,2,0,0
R,14092,0,0.0,-6,-18,1019,2,0,0
R,14132,0,0.0,-5,-17,1017,2,0,1
R,14172,0,0.0,-6,-17,1019,2,0,0
R,14212,0,0.0,-5,-17,1018,2,0,0
R,14260,0,0.0,-6,-16,1017,2,0,0
R,14293,0,0.0,-6,-17,1017,2,0,0
R,14332,0,0.0,-4,-17,1018,2,0,1
R,14372,0,0.0,-5,-17,1018,2,0,1
R,14437,0,0.0,-5,-17,1017,2,0,0
R,14452,0,0.0,-4,-17,1017,2,0,1
R,14492,0,0.0,-5,-18,1018,2,0,1
R,14533,0,0.0,-5,-17,1018,2,0,1
R,14572,0,0.0,-5,-17,1016,2,0,0
R,14612,0,0.0,-5,-18,1017,3,0,0
R,14652,0,0.0,-5,-17,1021,2,0,1
R,14692,0,0.0,-6,-17,1017,2,0,0
R,14733,0,0.0,-5,-17,1017,2,0,1
R,14776,0,0.0,-4,-17,1018,2,0,1
R,14812,0,0.0,-5,-17,1019,2,0,1
R,14852,0,0.0,-6,-17,1017,2,0,0
R,14909,0,0.0,-5,-16,1018,2,0,1
R,14933,0,0.0,-5,-16,1018,2,0,1
R,14971,0,0.0,-5,-17,1019,2,0,1
R,15011,0,0.0,-5,-17,1019,2,0,1
R,15051,0,0.0,-4,-17,1017,3,0,0
R,15091,0,0.0,-4,-17,1018,2,0,1
R,15131,0,0.0,-5,-18,1018,2,0,1
R,15171,0,0.0,-6,-17,1018,2,0,0
R,15211,0,0.0,-5,-17,1017,2,0,1
R,15251,0,0.0,-5,-17,1018,2,0,0
R,15291,0,0.0,-5,-17,1019,2,0,0
R,15331,0,0.0,-4,-17,1017,2,0,0
R,15371,0,0.0,-5,-17,1017,2,0,1
R,15436,0,0.0,-6,-17,1020,2,0,1
R,15451,0,0.0,-5,-17,1019,2,0,1
R,15492,0,0.0,-6,-17,1017,2,0,0
R,15531,0,0.0,-5,-18,1018,3,0,0
R,15571,0,0.0,-5,-17,1019,2,0,1
R,15610,0,0.0,-5,-17,1017,2,0,0
R,15650,0,0.0,-4,-17,1016,3,0,0
R,15689,0,0.0,-6,-17,1021,2,0,1
R,15731,0,0.0,-5,-17,1017,2,0,0
R,15771,0,0.0,-6,-17,1016,2,0,0
R,15810,0,0.0,-5,-16,1017,2,0,1
R,15850,0,0.0,-5,-17,1019,2,0,0
R,15892,0,0.0,-5,-17,1019,2,0,0
R,15933,0,0.0,-5,-17,1017,2,0,1
R,15972,0,0.0,-4,-18,1017,2,0,1
R,16010,0,0.0,-5,-18,1020,2,0,0
R,16049,0,0.0,-6,-17,1016,2,0,1
R,16088,0,0.0,-4,-17,1019,2,0,1
R,16128,0,0.0,-5,-17,1019,2,0,1
R,16170,0,0.0,-5,-17,1017,2,0,0
R,16209,0,0.0,-6,-17,1017,2,0,0
R,16248,0,0.0,-6,-17,1019,2,0,0
R,16288,0,0.0,-5,-17,1016,2,0,0
R,16329,0,0.0,-5,-18,1019,3,0,1
R,16368,0,0.0,-6,-18,1018,2,0,0
R,16435,0,0.0,-5,-17,1019,3,0,1
R,16451,0,0.0,-5,-17,1018,2,0,1
R,16491,0,0.0,-4,-17,1018,2,0,0
R,16531,0,0.0,-6,-17,1017,2,0,0
R,16572,0,0.0,-5,-17,1019,2,0,0
R,16611,0,0.0,-6,-17,1019,2,0,1
R,16651,0,0.0,-5,-17,1018,2,0,0
R,16692,0,0.0,-6,-17,1018,2,0,0
R,16731,0,0.0,-4,-17,1019,2,0,1
R,16775,0,0.0,-5,-17,1018,2,0,1
R,16812,0,0.0,-5,-18,1018,2,0,1
R,16856,0,0.0,-5,-17,1018,2,0,0
R,16891,0,0.0,-5,-16,1017,2,0,0
R,16933,0,0.0,-5,-16,1018,2,0,1
R,16972,0,0.0,-6,-17,1018,2,0,0
R,17011,0,0.0,-5,-17,1017,2,0,1
R,17052,0,0.0,-5,-17,1016,2,0,1
R,17091,0,0.0,-5,-17,1023,3,0,1
R,17131,0,0.0,-6,-17,1018,1,0,1
R,17172,0,0.0,-5,-18,1016,2,0,1
R,17211,0,0.0,-5,-17,1018,2,0,1
R,17251,0,0.0,-5,-16,1017,2,0,1
R,17291,0,0.0,-6,-17,1017,2,0,0
R,17332,0,0.0,-5,-17,1019,2,0,0
R,17372,0,0.0,-5,-17,1019,2,0,1
R,17436,0,0.0,-5,-17,1017,2,0,0
R,17452,0,0.0,-6,-18,1018,2,0,0
R,17505,0,0.0,-5,-17,1017,3,0,0
R,17532,0,0.0,-5,-17,1018,2,0,0
R,17571,0,0.0,-5,-17,1017,2,0,1
R,17611,0,0.0,-6,-17,1019,2,0,1
R,17652,0,0.0,-5,-17,1020,2,0,1
R,17692,0,0.0,-5,-17,1018,2,0,1
R,17732,0,0.0,-5,-16,1017,2,0,1
R,17781,0,0.0,-5,-16,1019,3,0,1
R,17812,0,0.0,-4,-17,1020,2,0,1
R,17852,0,0.0,-5,-17,1018,2,0,0
R,17893,0,0.0,-5,-17,1017,2,0,0
R,17932,0,0.0,-5,-17,1020,2,0,1
R,17971,0,0.0,-5,-17,1019,2,0,0
R,18012,0,0.0,-6,-17,1015,2,0,1
R,18051,0,0.0,-6,-17,1022,3,0,1
R,18090,0,0.0,-6,-18,1022,2,0,1
R,18131,0,0.0,-4,-17,1016,2,0,1
R,18172,0,0.0,-5,-18,1016,2,0,1
R,18212,0,0.0,-6,-17,1020,2,0,1
R,18252,0,0.0,-5,-17,1016,2,0,0
R,18292,0,0.0,-6,-17,1019,2,0,1
R,18331,0,0.0,-5,-18,1018,2,0,1
R,18371,0,0.0,-4,-18,1018,2,0,1
R,18436,0,0.0,-6,-17,1017,2,0,1
R,18452,0,0.0,-6,-17,1017,2,0,1
R,18493,0,0.0,-6,-17,1017,2,0,1
R,18532,0,0.0,-5,-17,1020,2,0,1
R,18571,0,0.0,-6,-17,1018,2,0,1
R,18612,0,0.0,-5,-17,1017,2,0,1
R,18652,0,0.0,-6,-17,1019,2,0,0
R,18692,0,0.0,-5,-16,1019,2,0,0
R,18732,0,0.0,-6,-17,1016,2,0,0
R,18771,0,0.0,-5,-18,1018,2,0,0
