[dump] RUN #1 heure=15:01:45 src=SEUIL_GPS rollout_ms=0 unit=00001 dyn=4 rate_ms=40 gps=1 pre=10 imuf=2/7 ecu=HP statut=TERMINE
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1474,40,0.0,36,-7,1018,2,0,1
R,-1330,40,0.0,36,-7,1016,2,0,1
R,-1177,40,0.0,36,-7,1018,2,0,1
R,-1025,40,0.0,35,-8,1018,2,0,0
R,-876,40,0.0,36,-7,1017,2,0,0
R,-731,40,0.0,37,-7,1018,2,0,0
R,-585,40,0.0,36,-8,1017,2,0,0
R,-440,40,0.0,36,-7,1018,2,0,0
R,-295,40,0.0,36,-7,1018,2,0,0
R,-148,40,0.0,36,-8,1017,2,0,0
R,144,736,0.6,36,-7,1019,2,0,1
R,184,902,0.9,35,-7,1017,2,0,0
R,225,1068,1.2,36,-8,1017,2,0,1
R,265,1235,1.7,36,-8,1018,2,0,1
R,305,1401,2.1,36,-9,1019,2,0,0
R,345,1568,2.7,36,-7,1017,1,0,0
R,385,1734,3.3,36,-7,1017,2,0,0
R,424,1900,3.9,36,-7,1017,2,0,1
R,464,2067,4.7,36,-8,1018,2,0,0
R,505,2221,5.5,35,-7,1019,2,0,1
R,545,2325,6.3,36,-7,1017,2,0,1
R,585,2429,7.1,36,-6,1018,2,0,0
R,625,2533,8.1,36,-7,1018,2,0,0
R,664,2637,9.0,35,-7,1018,2,0,0
R,705,2741,10.0,35,-7,1018,2,0,0
R,745,2845,11.0,36,-7,1017,2,0,1
R,785,2949,12.0,36,-8,1018,2,0,1
R,825,3053,13.1,36,-7,1017,2,0,0
R,865,3157,14.3,36,-7,1018,2,0,0
R,905,3261,15.4,36,-8,1017,2,0,1
R,945,3365,16.7,35,-7,1019,2,0,0
R,985,3469,17.9,36,-8,1018,2,0,0
R,1025,3536,19.2,36,-8,1017,2,0,1
R,1064,3588,20.4,36,-7,1017,2,0,0
R,1105,3640,21.8,36,-8,1018,2,0,0
R,1145,3692,23.1,36,-7,1018,2,0,0
R,1185,3744,24.5,37,-8,1016,2,0,0
R,1225,3796,25.9,36,-8,1016,2,0,1
R,1265,3848,27.3,35,-8,1018,2,0,0
R,1305,3900,28.7,36,-7,1019,2,0,1
R,1345,3952,30.1,36,-8,1016,2,0,1
R,1385,4004,31.5,36,-7,1018,2,0,0
R,1425,4056,33.0,36,-7,1019,2,0,0
R,1465,4108,34.5,36,-9,1018,2,0,0
R,1505,4160,36.0,36,-7,1017,2,0,1
R,1545,4212,37.5,36,-8,1018,2,0,0
R,1585,4264,39.1,36,-8,1018,2,0,0
R,1625,4316,40.6,36,-8,1018,2,0,0
R,1665,4368,42.2,35,-8,1017,2,0,1
R,1705,4420,43.8,36,-8,1018,2,0,0
R,1745,4472,45.4,36,-8,1019,2,0,0
R,1785,4524,47.1,36,-9,1017,2,0,0
R,1825,4576,48.7,37,-8,1018,2,0,0
R,1865,4628,50.4,36,-9,1018,2,0,0
R,1904,4680,52.1,36,-8,1018,2,0,0
R,1945,4732,53.8,37,-8,1018,2,0,0
R,1985,4784,55.6,36,-8,1018,2,0,1
R,2025,4869,57.3,36,-9,1017,2,0,0
R,2065,4968,59.1,36,-8,1019,2,0,1
R,2105,5066,61.0,36,-8,1018,2,0,1
R,2145,5165,62.8,36,-7,1016,2,0,1
R,2184,5264,64.7,36,-7,1019,2,0,1
R,2225,5362,66.7,37,-7,1018,2,0,1
R,2265,5461,68.6,37,-7,1017,2,0,0
R,2305,5560,70.6,36,-8,1016,2,0,0
R,2345,5658,72.7,36,-7,1018,2,0,0
R,2385,5757,74.8,36,-8,1018,2,0,1
R,2425,5856,76.9,35,-8,1018,2,0,0
R,2465,5954,79.0,36,-7,1017,1,0,1
R,2505,6053,81.2,36,-7,1018,2,0,0
R,2545,6152,83.4,35,-7,1018,2,0,0
R,2585,6250,85.7,35,-7,1017,2,0,1
R,2625,6349,88.0,35,-8,1018,2,0,1
R,2665,6448,90.3,36,-8,1018,2,0,0
R,2705,6546,92.7,35,-7,1019,2,0,1
R,2745,6645,95.1,36,-7,1017,2,0,0
R,2785,6744,97.5,36,-8,1017,2,0,0
R,2825,6842,100.0,36,-7,1018,2,0,0
R,2865,6941,102.5,36,-8,1018,2,0,0
R,2905,7040,105.1,36,-8,1017,2,0,0
R,2945,7138,107.7,36,-8,1017,2,0,0
R,2985,7237,110.3,35,-7,1017,2,0,1
R,3025,7336,112.9,36,-7,1018,2,0,0
R,3065,7434,115.6,36,-7,1018,2,0,1
R,3105,7533,118.4,36,-7,1017,2,0,1
R,3145,7632,121.1,36,-8,1019,2,0,0
R,3185,7730,123.9,36,-7,1017,2,0,1
R,3225,7829,126.8,36,-7,1018,2,0,0
R,3265,7928,129.6,36,-8,1018,2,0,0
R,3305,8026,132.5,37,-7,1017,2,0,0
R,3345,8125,135.5,36,-7,1018,2,0,0
R,3384,8224,138.4,36,-7,1016,2,0,0
R,3425,8322,141.5,36,-6,1018,2,0,0
R,3465,8421,144.5,36,-8,1018,2,0,1
R,3505,8509,147.6,36,-7,1018,2,0,1
R,3545,8554,150.7,36,-8,1016,2,0,0
R,3585,8599,153.9,36,-8,1018,2,0,0
R,3625,8644,157.0,36,-8,1017,2,0,0
R,3665,8689,160.2,36,-8,1019,2,0,0
