[dump] RUN #1 heure=21:53:02 src=SEUIL_GPS rollout_ms=0 unit=ALLO9 dyn=4 rate_ms=40 gps=1 pre=15 imuf=2/7 ecu=HP statut=TERMINE
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-966,40,0.0,-36,-28,1016,2,0,0
R,-913,40,0.0,-35,-28,1017,2,0,0
R,-852,40,0.0,-36,-28,1016,2,0,0
R,-788,40,0.0,-36,-28,1016,2,0,0
R,-721,40,0.0,-35,-27,1017,1,0,0
R,-661,40,0.0,-36,-27,1017,1,-1,0
R,-592,40,0.0,-36,-28,1017,2,0,1
R,-528,40,0.0,-35,-28,1016,2,0,0
R,-465,40,0.0,-35,-28,1016,2,0,0
R,-401,40,0.0,-35,-28,1017,1,0,0
R,-340,40,0.0,-35,-27,1017,1,-1,0
R,-255,40,0.0,-36,-28,1017,2,0,0
R,-191,40,0.0,-36,-27,1016,2,0,0
R,-127,40,0.0,-36,-27,1016,1,0,0
R,-64,40,0.0,-36,-28,1017,2,0,0
R,51,519,0.2,-35,-28,1016,2,0,1
R,92,686,0.4,-36,-28,1017,1,0,0
R,131,852,0.7,-36,-27,1017,1,0,0
R,172,1019,1.0,-35,-28,1016,2,0,0
R,212,1185,1.4,-35,-28,1016,2,0,0
R,252,1351,1.9,-36,-28,1017,1,0,0
R,292,1518,2.4,-36,-28,1016,2,0,0
R,332,1684,3.0,-35,-28,1017,2,0,0
R,371,1851,3.6,-35,-28,1017,2,0,0
R,412,2017,4.4,-36,-28,1018,2,0,0
R,452,2183,5.1,-35,-27,1017,2,0,0
R,492,2294,5.9,-35,-28,1016,2,0,0
R,532,2398,6.8,-36,-28,1017,2,0,0
R,572,2502,7.7,-36,-28,1017,2,0,0
R,612,2606,8.6,-36,-27,1017,2,0,0
R,651,2710,9.6,-35,-28,1017,2,0,0
R,692,2814,10.6,-34,-28,1017,2,0,0
R,732,2918,11.6,-35,-27,1016,2,0,0
R,772,3022,12.7,-35,-28,1017,1,0,0
R,812,3126,13.8,-35,-28,1017,2,0,0
R,852,3230,15.0,-35,-28,1016,1,0,0
R,892,3334,16.2,-35,-27,1017,2,-1,0
R,932,3438,17.4,-36,-28,1017,2,0,0
R,972,3521,18.7,-36,-28,1017,1,0,0
R,1012,3573,20.0,-35,-28,1017,2,0,0
R,1052,3625,21.3,-35,-28,1016,2,0,0
R,1091,3677,22.6,-35,-28,1017,2,0,0
