[dump] RUN #1 heure=23:16:32 src=SEUIL_GPS rollout_ms=0 unit=ALLO9 dyn=4 rate_ms=40 gps=1 pre=11 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=1 gxo_mdps=190 gyo_mdps=-285 gzo_mdps=59 cal_tempC=43 run_tempC=25
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1482,40,0.0,-40,-21,1016,2,0,0
R,-1351,40,0.0,-39,-21,1017,2,0,0
R,-1212,40,0.0,-40,-21,1017,2,0,0
R,-1079,40,0.0,-39,-21,1016,2,0,0
R,-943,40,0.0,-40,-21,1017,2,0,0
R,-811,40,0.0,-39,-20,1016,2,0,0
R,-679,40,0.0,-39,-21,1016,2,0,0
R,-540,40,0.0,-39,-20,1017,2,0,0
R,-403,40,0.0,-40,-21,1017,1,0,0
R,-271,40,0.0,-40,-21,1017,2,0,1
R,-132,40,0.0,-39,-21,1016,2,0,0
R,150,1272,1.3,-40,-22,1017,2,0,0
R,191,1439,1.8,-39,-21,1017,2,0,0
R,231,1605,2.4,-39,-21,1017,2,0,0
R,271,1772,3.0,-40,-21,1017,1,0,0
R,311,1938,3.7,-39,-21,1016,2,0,0
R,351,2104,4.4,-40,-22,1016,2,0,1
R,391,2244,5.2,-39,-21,1016,2,0,0
R,431,2348,6.0,-40,-21,1017,2,0,0
R,471,2452,6.9,-39,-21,1016,2,0,1
R,510,2556,7.8,-40,-22,1016,2,0,0
R,551,2660,8.8,-39,-21,1016,2,0,0
R,591,2764,9.8,-39,-21,1017,2,0,0
R,631,2868,10.8,-40,-21,1017,2,0,1
R,671,2972,11.9,-40,-21,1016,2,0,1
R,710,3076,12.9,-39,-21,1016,2,0,0
R,751,3180,14.1,-39,-20,1016,2,0,0
R,791,3284,15.3,-39,-21,1017,2,0,0
R,831,3388,16.5,-39,-21,1017,2,0,0
R,871,3492,17.7,-40,-20,1016,2,0,0
R,911,3548,19.0,-40,-21,1016,2,0,1
R,951,3600,20.3,-39,-21,1016,2,0,0
R,991,3652,21.7,-40,-20,1017,2,0,0
R,1031,3704,23.0,-39,-21,1017,2,0,0
R,1071,3756,24.4,-39,-22,1016,2,0,1
R,1111,3808,25.7,-39,-21,1017,2,0,0
R,1151,3860,27.1,-40,-22,1016,2,0,0
R,1191,3912,28.5,-39,-21,1016,2,0,0
R,1230,3964,29.9,-39,-21,1017,2,0,0
R,1271,4016,31.4,-39,-21,1017,2,0,1
R,1311,4068,32.9,-39,-20,1016,2,0,0
R,1351,4120,34.4,-40,-21,1016,2,0,0
R,1391,4172,35.9,-40,-21,1017,2,0,0
R,1431,4224,37.4,-40,-21,1017,2,0,0
R,1471,4276,39.0,-40,-22,1016,2,0,0
R,1510,4328,40.5,-39,-22,1016,2,0,0
R,1551,4380,42.1,-39,-21,1017,2,0,1
R,1590,4432,43.7,-39,-21,1016,2,0,0
R,1631,4484,45.4,-39,-22,1016,2,0,1
R,1671,4536,47.0,-39,-22,1016,2,0,0
R,1711,4588,48.7,-39,-21,1017,2,0,0
R,1751,4640,50.4,-39,-21,1018,2,0,0
R,1790,4692,52.0,-39,-21,1017,2,0,0
R,1831,4744,53.8,-39,-22,1017,2,0,0
R,1871,4796,55.5,-39,-20,1016,2,0,0
R,1911,4891,57.3,-39,-21,1017,2,0,0
R,1951,4990,59.1,-40,-21,1017,2,0,1
R,1991,5089,60.9,-40,-21,1017,2,0,1
R,2031,5187,62.8,-40,-21,1017,2,0,0
R,2071,5286,64.7,-40,-21,1016,2,0,0
R,2110,5385,66.6,-40,-21,1016,2,0,0
R,2151,5483,68.6,-40,-21,1017,2,0,0
R,2191,5582,70.7,-39,-22,1016,2,0,1
R,2231,5681,72.7,-39,-21,1017,2,0,0
R,2271,5779,74.8,-40,-22,1018,2,0,0
R,2311,5878,76.9,-40,-20,1017,2,0,0
R,2351,5977,79.1,-40,-21,1017,2,0,1
R,2391,6075,81.3,-40,-22,1016,2,0,0
R,2430,6174,83.5,-40,-22,1017,2,0,0
R,2471,6273,85.8,-39,-20,1017,2,0,0
R,2510,6371,88.0,-39,-21,1017,2,0,0
R,2551,6470,90.4,-39,-22,1017,2,0,0
R,2591,6569,92.8,-40,-21,1017,2,0,0
R,2631,6667,95.2,-40,-21,1017,2,0,0
R,2671,6766,97.7,-39,-22,1016,2,0,0
R,2711,6865,100.2,-40,-21,1018,2,0,0
R,2751,6963,102.7,-39,-22,1017,2,0,0
R,2791,7062,105.2,-39,-22,1017,2,0,0
R,2831,7161,107.8,-39,-21,1017,2,0,1
R,2871,7259,110.4,-39,-21,1017,2,0,0
R,2910,7358,113.0,-39,-21,1017,2,0,0
R,2951,7457,115.8,-39,-21,1017,2,0,1
R,2990,7555,118.5,-39,-21,1016,2,0,0
R,3031,7654,121.3,-39,-21,1016,2,0,1
R,3071,7753,124.1,-39,-21,1016,2,0,0
R,3111,7851,127.0,-40,-21,1016,2,0,0
R,3151,7950,129.9,-40,-22,1017,2,0,0
R,3191,8049,132.8,-40,-22,1017,2,0,0
R,3231,8147,135.7,-40,-22,1016,2,0,0
R,3270,8246,138.6,-40,-22,1017,2,0,0
R,3311,8345,141.7,-39,-21,1017,2,0,0
R,3351,8443,144.8,-39,-21,1017,2,0,0
R,3391,8519,147.9,-39,-21,1016,2,0,0
R,3431,8564,151.0,-40,-22,1018,2,0,0
R,3471,8609,154.1,-39,-21,1017,2,0,0
R,3511,8654,157.3,-40,-21,1017,2,0,0
R,3551,8699,160.4,-39,-20,1017,2,0,0
R,3591,8744,163.6,-39,-21,1017,2,0,0
R,3630,8788,166.7,-39,-22,1017,2,0,0
R,3671,8833,170.0,-39,-21,1017,2,0,0
R,3710,8878,173.2,-39,-21,1016,2,0,0
R,3751,8923,176.5,-39,-21,1017,2,0,0
R,3791,8968,179.8,-40,-21,1017,2,0,1
R,3831,9013,183.0,-39,-21,1017,2,0,1
R,3871,9058,186.3,-39,-21,1017,2,0,1
R,3910,9103,189.6,-39,-21,1017,2,0,0
R,3951,9148,193.0,-39,-21,1017,2,0,1
R,3991,9193,196.3,-39,-21,1016,2,0,1
R,4031,9237,199.7,-39,-21,1017,2,0,0
R,4071,9282,203.0,-39,-21,1017,2,0,1
R,4111,9327,206.4,-40,-20,1017,1,0,0
R,4151,9372,209.8,-40,-21,1017,2,0,1
R,4190,9417,213.2,-39,-21,1016,2,0,0
R,4231,9462,216.7,-40,-21,1017,2,0,0
R,4270,9507,220.1,-40,-21,1017,2,0,0
R,4311,9552,223.6,-40,-21,1016,2,0,0
R,4351,9597,227.1,-39,-21,1016,2,0,0
R,4391,9642,230.6,-39,-21,1017,2,0,1
R,4431,9686,234.2,-39,-22,1017,2,0,1
R,4471,9731,237.7,-39,-21,1016,2,0,0
R,4511,9776,241.3,-40,-21,1016,2,0,0
R,4551,9821,244.8,-40,-21,1017,2,0,1
R,4591,9866,248.4,-39,-21,1016,2,0,1
R,4631,9911,252.0,-40,-21,1017,2,0,1
R,4671,9956,255.6,-39,-21,1017,2,0,1
R,4711,10001,259.3,-39,-21,1016,2,0,0
R,4751,10046,262.9,-40,-21,1016,2,0,0
R,4791,10091,266.6,-39,-21,1016,2,0,0
R,4831,10135,270.3,-40,-22,1017,2,0,0
R,4870,10180,273.9,-40,-21,1017,2,0,1
R,4911,10225,277.7,-39,-21,1017,2,0,0
R,4951,10270,281.5,-39,-21,1017,2,0,0
R,4991,10315,285.2,-40,-21,1016,2,0,0
R,5030,10360,288.9,-39,-21,1016,2,0,0
R,5071,10405,292.8,-39,-21,1016,2,0,0
R,5111,10450,296.6,-40,-21,1017,2,0,1
R,5151,10495,300.4,-40,-21,1016,2,0,0
R,5191,10539,304.2,-39,-20,1017,2,0,0
R,5231,10584,308.1,-40,-20,1016,2,0,1
R,5271,10629,311.9,-40,-21,1018,2,0,0
R,5311,10674,315.8,-40,-21,1017,2,0,1
R,5351,10715,319.7,-40,-21,1017,2,0,0
R,5391,10750,323.6,-40,-21,1017,2,0,1
R,5431,10786,327.5,-39,-21,1016,2,0,1
R,5471,10821,331.5,-39,-21,1017,2,0,1
