[dump] RUN #1 heure=23:27:34 src=SEUIL_GPS rollout_ms=0 unit=ALLO9 dyn=4 rate_ms=40 gps=1 pre=7 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=1 gxo_cdps=23 gyo_cdps=-6 gzo_cdps=8 cal_tempC=43 run_tempC=25
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1383,40,0.0,-40,-21,1016,2,0,0
R,-1185,40,0.0,-39,-22,1016,2,0,0
R,-989,40,0.0,-40,-21,1016,2,0,0
R,-795,40,0.0,-40,-21,1016,2,0,0
R,-583,40,0.0,-40,-21,1016,2,0,0
R,-390,40,0.0,-40,-22,1016,2,0,0
R,-197,40,0.0,-40,-21,1017,2,0,1
R,223,1509,2.1,-40,-21,1017,2,0,0
R,263,1676,2.7,-40,-21,1017,2,0,1
R,304,1842,3.4,-40,-21,1016,2,0,0
R,344,2009,4.1,-40,-21,1016,2,0,0
R,384,2175,4.8,-40,-20,1017,2,0,0
R,424,2288,5.6,-40,-21,1018,2,0,0
R,464,2392,6.5,-40,-20,1017,2,0,1
R,504,2496,7.4,-40,-20,1017,2,0,0
R,544,2600,8.3,-40,-20,1016,2,0,0
R,584,2704,9.3,-40,-21,1016,2,0,0
R,624,2808,10.3,-40,-21,1016,2,0,0
R,663,2912,11.3,-40,-21,1017,2,0,0
R,703,3016,12.4,-39,-21,1016,2,0,0
R,744,3120,13.5,-40,-20,1017,2,0,0
R,784,3224,14.7,-40,-22,1017,2,0,0
R,825,3331,15.9,-40,-20,1017,2,0,0
R,865,3435,17.1,-40,-20,1017,2,0,0
R,905,3520,18.4,-40,-21,1017,2,0,0
R,945,3572,19.7,-40,-21,1016,2,0,1
R,985,3624,21.0,-40,-21,1016,2,0,0
R,1025,3676,22.3,-40,-21,1017,2,0,0
R,1065,3728,23.7,-39,-21,1017,2,0,0
R,1105,3779,25.1,-40,-20,1017,2,0,0
R,1145,3831,26.4,-40,-21,1016,2,0,0
R,1185,3884,27.9,-40,-21,1017,2,0,0
R,1225,3936,29.3,-40,-21,1017,2,0,0
R,1265,3988,30.7,-40,-21,1017,2,0,1
R,1305,4040,32.2,-40,-22,1017,2,0,0
R,1345,4092,33.7,-40,-21,1016,2,0,1
R,1385,4144,35.2,-40,-21,1016,2,0,0
R,1425,4196,36.7,-40,-22,1016,2,0,0
R,1465,4248,38.2,-40,-21,1017,2,0,0
R,1505,4300,39.8,-39,-21,1017,2,0,0
R,1544,4352,41.3,-40,-21,1016,2,0,0
R,1585,4404,43.0,-40,-21,1016,2,0,0
R,1625,4456,44.6,-40,-22,1017,2,0,0
R,1665,4508,46.2,-40,-21,1017,2,0,0
R,1705,4560,47.9,-39,-21,1016,2,0,0
R,1745,4612,49.5,-40,-21,1016,2,0,0
R,1784,4664,51.2,-40,-22,1016,2,0,0
R,1825,4716,52.9,-40,-22,1017,2,0,0
R,1865,4768,54.7,-40,-22,1017,2,0,0
R,1905,4837,56.4,-40,-20,1016,2,0,0
R,1945,4936,58.2,-40,-20,1016,2,0,0
R,1985,5034,60.0,-39,-21,1016,2,0,0
R,2025,5133,61.9,-40,-21,1016,2,0,0
R,2065,5232,63.8,-40,-21,1016,2,0,0
R,2105,5330,65.7,-40,-21,1017,2,0,0
R,2147,5436,67.7,-39,-21,1016,2,0,0
R,2188,5535,69.8,-39,-22,1017,2,0,0
R,2228,5634,71.8,-40,-21,1018,2,0,0
R,2267,5732,73.8,-40,-21,1017,2,0,0
R,2308,5831,76.0,-40,-21,1017,2,0,0
R,2348,5930,78.2,-40,-21,1017,2,0,0
R,2388,6028,80.3,-40,-21,1016,2,0,0
R,2428,6127,82.5,-40,-21,1016,2,0,0
R,2468,6226,84.8,-39,-22,1017,2,0,0
R,2508,6324,87.1,-40,-21,1017,2,0,0
R,2548,6423,89.4,-40,-21,1016,2,0,1
R,2588,6522,91.8,-40,-21,1017,2,0,1
R,2628,6620,94.2,-40,-21,1017,2,0,0
R,2668,6719,96.6,-40,-21,1016,2,0,0
R,2708,6818,99.1,-40,-21,1016,2,0,0
R,2747,6916,101.5,-40,-21,1016,2,0,0
R,2799,7042,104.8,-40,-20,1016,2,0,0
R,2838,7141,107.3,-39,-20,1017,2,0,1
R,2879,7240,110.0,-40,-21,1017,2,0,0
R,2919,7338,112.7,-39,-21,1017,2,0,0
R,2959,7437,115.4,-40,-21,1017,2,0,0
R,2998,7536,118.0,-39,-21,1016,2,0,0
R,3039,7634,120.9,-40,-22,1017,2,0,0
R,3079,7733,123.7,-40,-22,1017,2,0,0
R,3119,7832,126.5,-40,-21,1017,2,0,0
R,3159,7930,129.4,-39,-21,1017,2,0,0
R,3199,8029,132.3,-39,-21,1017,2,0,0
R,3239,8128,135.2,-39,-22,1017,2,0,0
R,3279,8226,138.2,-40,-21,1016,2,0,0
R,3319,8325,141.2,-40,-21,1017,2,0,0
R,3359,8424,144.3,-40,-21,1017,2,0,0
R,3399,8510,147.4,-40,-21,1017,2,0,0
R,3448,8566,151.2,-40,-21,1017,2,0,0
R,3489,8611,154.4,-40,-21,1017,2,0,0
R,3529,8656,157.5,-40,-20,1017,2,0,0
R,3569,8701,160.7,-40,-21,1016,2,0,0
R,3609,8746,163.9,-39,-21,1017,2,0,0
R,3649,8791,167.1,-40,-21,1017,2,0,0
