[dump] RUN #1 heure=22:57:45 src=SEUIL_GPS rollout_ms=0 unit=ALLO9 dyn=4 rate_ms=40 gps=1 pre=10 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=1 gxo_cdps=28 gyo_cdps=12 gzo_cdps=16 cal_tempC=43 run_tempC=27
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1468,40,0.0,75,58,1013,2,1,1
R,-1321,40,0.0,75,59,1013,2,1,1
R,-1158,40,0.0,75,58,1012,2,0,1
R,-1018,40,0.0,75,58,1014,2,1,1
R,-875,40,0.0,75,58,1013,2,1,1
R,-736,40,0.0,75,59,1013,2,1,1
R,-592,40,0.0,75,59,1013,2,1,1
R,-426,40,0.0,75,58,1014,2,1,1
R,-283,40,0.0,75,58,1013,2,1,1
R,-143,40,0.0,75,59,1013,2,1,1
R,156,1293,1.4,75,58,1013,2,1,1
R,210,1514,2.1,74,58,1013,3,1,1
R,250,1680,2.6,74,59,1014,2,1,1
R,290,1846,3.3,74,59,1013,2,1,1
R,330,2013,4.0,76,58,1012,2,1,1
R,370,2179,4.8,75,58,1013,3,1,1
R,411,2296,5.6,74,59,1013,2,1,1
R,452,2400,6.5,75,58,1013,2,1,1
R,492,2504,7.4,74,58,1013,2,1,1
R,532,2608,8.3,75,58,1013,2,1,1
R,572,2712,9.3,74,59,1013,2,1,1
R,612,2816,10.3,74,58,1013,2,1,1
R,652,2920,11.3,74,58,1013,2,1,1
R,692,3024,12.4,75,58,1014,2,1,1
R,732,3128,13.5,75,58,1013,2,1,1
R,772,3232,14.7,75,58,1013,2,1,1
R,812,3336,15.9,75,58,1013,2,1,1
R,856,3453,17.2,75,59,1013,2,1,1
R,897,3529,18.5,75,58,1013,2,1,1
R,937,3581,19.8,75,58,1013,2,1,1
R,977,3633,21.2,75,58,1013,2,1,2
R,1017,3685,22.5,75,58,1013,2,1,2
R,1057,3737,23.8,75,59,1013,2,1,1
R,1097,3789,25.2,75,57,1013,2,1,1
R,1137,3841,26.6,75,58,1013,2,1,1
R,1177,3893,28.0,74,59,1013,2,1,1
R,1217,3945,29.4,75,58,1014,2,1,1
R,1256,3997,30.9,74,59,1013,2,1,1
R,1297,4049,32.4,75,58,1013,2,1,1
R,1337,4101,33.8,75,59,1014,2,1,1
R,1378,4154,35.4,75,58,1013,2,1,1
R,1418,4206,36.9,75,58,1013,2,1,1
R,1458,4258,38.5,75,58,1013,2,1,1
R,1506,4320,40.3,75,58,1013,2,1,1
R,1546,4372,41.9,74,59,1013,2,1,1
R,1586,4424,43.5,75,59,1013,2,1,1
R,1626,4476,45.1,75,59,1013,2,1,1
R,1666,4528,46.8,74,59,1013,2,1,1
R,1706,4580,48.4,75,59,1013,2,1,1
R,1746,4632,50.1,75,58,1013,2,1,1
R,1786,4684,51.8,75,58,1013,2,1,1
R,1826,4736,53.5,74,58,1013,2,0,1
R,1866,4788,55.3,74,58,1013,2,1,1
R,1906,4876,57.0,75,59,1012,2,1,1
R,1946,4975,58.8,74,59,1012,2,1,1
R,1986,5074,60.7,75,58,1013,2,1,1
R,2026,5172,62.5,75,58,1014,3,1,1
R,2066,5271,64.4,75,58,1014,2,1,1
R,2106,5370,66.4,76,58,1012,2,1,1
R,2159,5501,69.0,75,59,1012,2,1,1
R,2199,5599,71.0,74,58,1013,2,1,1
R,2239,5698,73.1,75,58,1013,3,1,1
R,2279,5797,75.2,76,58,1013,2,1,1
R,2319,5895,77.3,75,59,1013,2,1,1
R,2359,5994,79.5,74,58,1013,3,1,1
R,2399,6093,81.7,75,57,1013,2,1,1
R,2439,6191,83.9,75,57,1014,2,1,1
R,2479,6290,86.2,74,58,1013,2,0,1
R,2519,6389,88.5,74,59,1012,2,1,1
R,2559,6487,90.8,75,59,1013,2,1,1
R,2599,6586,93.2,74,59,1013,2,0,1
R,2639,6685,95.6,75,57,1012,2,1,1
R,2679,6783,98.1,75,58,1012,2,1,1
R,2719,6882,100.6,74,58,1013,2,1,1
R,2759,6981,103.1,75,59,1013,3,1,1
R,2808,7101,106.3,74,59,1013,2,1,1
R,2848,7200,108.9,74,58,1013,2,1,1
R,2888,7299,111.5,74,59,1013,2,1,1
R,2928,7397,114.2,74,59,1013,2,1,1
R,2968,7496,116.9,76,58,1013,2,1,1
R,3008,7595,119.7,74,58,1014,3,1,1
R,3048,7693,122.4,74,58,1013,2,0,1
R,3088,7792,125.3,74,58,1013,2,1,1
R,3128,7891,128.1,75,57,1013,3,1,1
R,3168,7989,131.0,75,58,1013,2,1,1
R,3208,8088,134.0,75,58,1014,2,1,1
R,3248,8187,136.9,75,59,1012,2,1,1
R,3288,8285,139.9,75,58,1012,2,1,1
R,3328,8384,143.0,75,59,1014,3,1,1
R,3368,8483,146.0,75,59,1014,2,1,1
R,3408,8537,149.1,75,58,1014,2,1,1
R,3454,8589,152.7,75,58,1014,2,1,1
R,3494,8634,155.9,73,59,1013,3,1,1
R,3534,8678,159.0,75,58,1013,2,1,1
R,3574,8723,162.2,75,58,1013,2,1,1
R,3614,8768,165.4,75,58,1013,2,1,1
R,3654,8813,168.6,75,59,1013,2,1,1
R,3694,8858,171.8,74,58,1013,2,1,1
R,3734,8903,175.0,75,58,1013,2,1,1
R,3774,8948,178.3,75,57,1013,2,1,1
R,3814,8993,181.6,75,58,1013,2,1,1
R,3854,9038,184.9,75,58,1013,2,1,1
R,3894,9083,188.2,75,58,1013,2,1,1
R,3934,9127,191.5,75,59,1013,2,1,1
R,3974,9172,194.8,75,58,1013,2,1,1
R,4014,9217,198.2,75,58,1013,2,1,1
R,4054,9262,201.5,74,58,1013,2,1,1
R,4104,9318,205.8,76,59,1013,2,1,1
R,4144,9363,209.2,75,57,1013,2,1,1
R,4184,9408,212.6,75,58,1013,3,1,1
R,4224,9453,216.0,75,58,1013,2,1,1
R,4264,9498,219.5,75,58,1013,2,1,1
R,4304,9543,223.0,75,58,1013,2,1,1
R,4344,9588,226.4,75,58,1013,2,1,1
R,4384,9633,229.9,74,58,1013,2,1,1
R,4424,9677,233.5,74,57,1013,2,1,1
R,4464,9722,237.0,74,57,1013,2,1,1
R,4504,9767,240.5,74,58,1013,2,1,1
R,4544,9812,244.1,74,58,1013,2,1,1
R,4584,9857,247.7,75,59,1014,2,1,1
R,4624,9902,251.3,75,58,1013,2,1,1
R,4664,9947,254.9,75,59,1013,2,1,1
R,4704,9992,258.6,75,58,1012,2,1,2
R,4757,10052,263.4,75,59,1012,2,1,1
R,4798,10097,267.2,75,59,1013,2,1,1
R,4838,10142,270.9,76,58,1013,2,1,1
R,4877,10187,274.5,75,58,1013,2,1,1
R,4918,10232,278.3,76,58,1013,2,1,1
R,4958,10277,282.0,75,58,1013,2,1,1
R,4998,10322,285.8,75,59,1013,2,1,1
R,5038,10367,289.5,76,58,1012,2,1,1
R,5078,10412,293.3,75,58,1013,2,1,1
R,5118,10456,297.1,75,58,1013,2,1,1
R,5158,10501,301.0,75,58,1013,2,1,1
R,5198,10546,304.8,74,58,1014,2,1,1
R,5238,10591,308.6,75,58,1013,2,1,1
R,5278,10636,312.5,75,58,1013,2,1,1
R,5318,10681,316.4,75,58,1014,2,1,1
R,5358,10720,320.3,75,58,1013,2,1,1
R,5406,10763,325.0,75,58,1014,2,1,1
R,5446,10798,328.9,75,58,1014,3,1,1
R,5486,10833,332.9,76,58,1013,2,1,2
R,5526,10869,336.8,74,59,1013,2,1,1
R,5566,10904,340.8,75,57,1013,2,1,1
R,5606,10939,344.8,75,57,1013,2,1,1
R,5646,10975,348.8,75,58,1013,2,1,1
