[dump] RUN #1 heure=23:26:08 src=SEUIL_GPS rollout_ms=0 unit=ALLO9 dyn=4 rate_ms=40 gps=1 pre=10 imuf=err ecu=HP statut=TERMINE
[dump] CAL cal=1 gxo_cdps=19 gyo_cdps=-30 gzo_cdps=6 cal_tempC=43 run_tempC=0
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1407,40,0.0,0,0,0,0,0,0
R,-1274,40,0.0,0,0,0,0,0,0
R,-1114,40,0.0,0,0,0,0,0,0
R,-975,40,0.0,0,0,0,0,0,0
R,-842,40,0.0,0,0,0,0,0,0
R,-708,40,0.0,0,0,0,0,0,0
R,-569,40,0.0,0,0,0,0,0,0
R,-408,40,0.0,0,0,0,0,0,0
R,-275,40,0.0,0,0,0,0,0,0
R,-138,40,0.0,0,0,0,0,0,0
R,149,964,0.9,0,0,0,0,0,0
R,189,1131,1.3,0,0,0,0,0,0
R,229,1297,1.7,0,0,0,0,0,0
R,269,1464,2.2,0,0,0,0,0,0
R,308,1630,2.8,0,0,0,0,0,0
R,349,1796,3.4,0,0,0,0,0,0
R,389,1963,4.1,0,0,0,0,0,0
R,429,2129,4.8,0,0,0,0,0,0
R,469,2260,5.6,0,0,0,0,0,0
R,509,2364,6.5,0,0,0,0,0,0
R,549,2468,7.4,0,0,0,0,0,0
R,588,2572,8.3,0,0,0,0,0,0
R,629,2676,9.2,0,0,0,0,0,0
R,669,2780,10.2,0,0,0,0,0,0
R,709,2884,11.3,0,0,0,0,0,0
R,749,2988,12.3,0,0,0,0,0,0
R,789,3092,13.4,0,0,0,0,0,0
R,829,3196,14.6,0,0,0,0,0,0
R,877,3321,16.0,0,0,0,0,0,0
R,917,3425,17.2,0,0,0,0,0,0
R,957,3514,18.5,0,0,0,0,0,0
R,997,3566,19.8,0,0,0,0,0,0
R,1037,3618,21.1,0,0,0,0,0,0
R,1077,3670,22.4,0,0,0,0,0,0
R,1117,3722,23.8,0,0,0,0,0,0
R,1157,3774,25.1,0,0,0,0,0,0
R,1197,3826,26.5,0,0,0,0,0,0
R,1237,3878,27.9,0,0,0,0,0,0
R,1277,3930,29.4,0,0,0,0,0,0
R,1317,3982,30.8,0,0,0,0,0,0
R,1357,4034,32.3,0,0,0,0,0,0
R,1397,4086,33.7,0,0,0,0,0,0
R,1437,4138,35.2,0,0,0,0,0,0
R,1477,4190,36.8,0,0,0,0,0,0
R,1523,4250,38.5,0,0,0,0,0,0
R,1563,4302,40.1,0,0,0,0,0,0
R,1603,4354,41.7,0,0,0,0,0,0
R,1643,4406,43.3,0,0,0,0,0,0
R,1683,4458,44.9,0,0,0,0,0,0
R,1723,4510,46.5,0,0,0,0,0,0
R,1763,4562,48.2,0,0,0,0,0,0
R,1803,4614,49.8,0,0,0,0,0,0
R,1843,4666,51.5,0,0,0,0,0,0
R,1883,4718,53.2,0,0,0,0,0,0
R,1923,4770,55.0,0,0,0,0,0,0
R,1963,4842,56.7,0,0,0,0,0,0
R,2003,4941,58.5,0,0,0,0,0,0
R,2043,5039,60.3,0,0,0,0,0,0
R,2083,5138,62.2,0,0,0,0,0,0
R,2123,5237,64.1,0,0,0,0,0,0
R,2172,5357,66.4,0,0,0,0,0,0
R,2212,5456,68.4,0,0,0,0,0,0
R,2252,5555,70.4,0,0,0,0,0,0
R,2292,5653,72.5,0,0,0,0,0,0
R,2332,5752,74.5,0,0,0,0,0,0
R,2372,5851,76.7,0,0,0,0,0,0
R,2412,5949,78.8,0,0,0,0,0,0
R,2452,6048,81.0,0,0,0,0,0,0
R,2492,6147,83.2,0,0,0,0,0,0
R,2532,6245,85.5,0,0,0,0,0,0
R,2572,6344,87.8,0,0,0,0,0,0
R,2612,6443,90.1,0,0,0,0,0,0
