[dump] RUN #1 heure=19:03:47 src=ENTREE_PIN rollout_ms=0 unit=ALLO9 dyn=4 rate_ms=40 gps=1 pre=8 imuf=2/7 ecu=HP statut=ABANDON
[dump] CAL cal=1 gxo_cdps=15 gyo_cdps=-21 gzo_cdps=0 cal_tempC=43 run_tempC=25
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1469,0,0.0,-24,24,1017,1,-2,0
R,-1291,0,0.0,-24,23,1016,1,-2,0
R,-1114,0,0.0,-24,23,1016,1,-2,0
R,-928,0,0.0,-23,24,1016,1,-2,0
R,-729,0,0.0,-23,23,1016,1,-1,0
R,-553,0,0.0,-24,24,1016,1,-2,0
R,-378,0,0.0,-24,24,1016,0,-2,0
R,-199,0,0.0,-24,24,1016,1,-3,-1
R,193,0,0.0,-23,23,1015,3,0,0
R,230,0,0.0,-23,22,1016,0,-2,0
R,269,0,0.0,-22,22,1016,2,-2,0
R,309,0,0.0,-22,22,1016,2,-2,0
R,350,0,0.0,-22,22,1017,0,-2,0
R,389,0,0.0,-23,22,1015,2,-1,0
R,429,0,0.0,-23,22,1016,3,0,0
R,469,0,0.0,-23,22,1016,1,-1,0
R,509,0,0.0,-23,22,1017,0,-2,0
R,549,0,0.0,-23,22,1016,0,-2,0
R,590,0,0.0,-23,23,1014,1,-1,0
R,636,0,0.0,-23,21,1016,0,-2,0
R,669,0,0.0,-23,23,1016,2,-2,0
R,710,0,0.0,-22,22,1017,1,-2,0
R,749,0,0.0,-24,22,1016,0,-2,0
R,789,0,0.0,-23,22,1016,1,-1,0
R,830,0,0.0,-22,22,1016,1,-1,0
R,869,0,0.0,-23,22,1016,2,-1,0
R,909,0,0.0,-22,22,1016,2,-1,0
R,959,0,0.0,-23,22,1017,2,0,0
R,989,0,0.0,-22,22,1016,0,-3,0
R,1029,0,0.0,-24,21,1016,0,-2,0
R,1070,0,0.0,-23,21,1015,2,0,0
R,1110,0,0.0,-23,21,1016,2,-1,0
R,1149,0,0.0,-22,21,1016,1,-2,0
R,1190,0,0.0,-23,22,1016,0,-2,0
R,1229,0,0.0,-23,22,1016,1,-1,0
R,1285,0,0.0,-23,23,1016,1,-2,0
R,1310,0,0.0,-23,22,1016,1,-1,0
R,1349,0,0.0,-23,21,1016,1,-1,0
R,1389,0,0.0,-23,21,1016,1,-2,0
R,1429,0,0.0,-23,22,1016,0,-2,0
R,1470,0,0.0,-23,22,1016,1,-1,0
R,1509,0,0.0,-23,22,1015,1,-1,0
R,1549,0,0.0,-23,22,1016,1,-1,0
R,1590,0,0.0,-22,22,1016,1,-1,0
R,1629,0,0.0,-23,21,1016,1,-2,0
R,1669,0,0.0,-23,22,1016,1,-2,0
R,1709,0,0.0,-23,22,1016,1,-1,0
R,1750,0,0.0,-23,23,1016,1,-2,0
R,1789,0,0.0,-23,22,1015,1,-2,0
R,1829,0,0.0,-22,22,1016,1,-2,0
R,1869,0,0.0,-22,22,1016,1,-2,0
R,1910,0,0.0,-22,22,1016,1,-3,0
R,1959,0,0.0,-23,21,1016,1,-1,0
R,1989,0,0.0,-22,22,1015,1,-1,0
R,2030,0,0.0,-23,22,1016,1,-2,0
R,2070,0,0.0,-23,23,1016,1,-2,0
R,2109,0,0.0,-22,21,1016,1,-2,0
R,2149,0,0.0,-22,22,1016,1,-2,0
R,2190,0,0.0,-23,22,1016,1,-1,0
R,2229,0,0.0,-23,21,1016,1,-1,0
R,2269,0,0.0,-23,22,1016,1,-2,0
R,2310,0,0.0,-23,22,1016,1,-2,0
R,2349,0,0.0,-23,22,1016,1,-1,0
R,2389,0,0.0,-22,22,1016,1,-2,0
R,2429,0,0.0,-23,22,1016,1,-1,0
R,2470,0,0.0,-23,22,1015,1,-2,0
R,2509,0,0.0,-23,22,1016,1,-1,0
R,2549,0,0.0,-23,23,1016,1,-2,0
R,2589,0,0.0,-23,23,1017,1,-1,0
R,2630,0,0.0,-23,22,1016,1,-1,0
R,2669,0,0.0,-24,23,1016,1,-2,0
R,2709,0,0.0,-23,21,1016,2,-1,0
R,2749,0,0.0,-22,22,1016,1,-2,0
R,2789,0,0.0,-23,22,1016,1,-2,0
R,2832,0,0.0,-22,22,1016,1,-2,0
R,2869,0,0.0,-23,23,1016,1,-1,0
R,2913,0,0.0,-22,22,1016,1,-1,0
R,2962,0,0.0,-23,22,1016,1,-1,0
R,2990,0,0.0,-23,22,1016,1,-1,0
R,3029,0,0.0,-22,22,1016,1,-2,0
R,3069,0,0.0,-22,22,1016,1,-1,0
R,3112,0,0.0,-22,21,1016,1,-1,0
R,3149,0,0.0,-23,22,1016,1,-2,0
R,3191,0,0.0,-22,22,1016,1,-2,0
R,3232,0,0.0,-23,22,1016,1,-2,0
R,3269,0,0.0,-23,22,1015,1,-1,0
R,3311,0,0.0,-23,21,1016,1,-1,0
R,3349,0,0.0,-22,22,1016,1,-1,0
R,3390,0,0.0,-22,22,1015,1,-2,0
R,3430,0,0.0,-23,22,1017,1,-2,0
R,3469,0,0.0,-23,22,1016,1,-1,0
