[dump] RUN #1 heure=08:36:56 src=CAN_TRIG rollout_ms=0 unit=MAXXX dyn=7 rate_ms=40 gps=1 pre=12 imuf=2/7 ecu=HP statut=ABANDON
[dump] CAL cal=1 gxo_cdps=28 gyo_cdps=-13 gzo_cdps=-5 cal_tempC=43 run_tempC=35
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1418,8,0.0,10,49,1014,2,0,0
R,-1297,3,0.0,-9,54,1010,2,-2,0
R,-1180,8,0.0,9,44,1016,3,0,0
R,-1061,11,0.0,-3,53,1011,2,-1,0
R,-945,8,0.0,0,51,1012,3,-1,-1
R,-826,3,0.0,0,48,1015,2,-1,-1
R,-709,6,0.0,5,50,1012,2,-1,0
R,-591,4,0.0,-2,49,1013,2,-1,0
R,-474,5,0.0,1,50,1013,2,-1,-1
R,-356,4,0.0,0,51,1013,2,0,0
R,-236,1,0.0,3,50,1014,2,-1,0
R,-117,4,0.0,-2,49,1013,2,-1,0
R,132,8,0.0,0,51,1008,2,0,1
R,153,15,0.0,0,49,1013,2,0,1
R,191,10,0.0,4,46,1017,2,0,0
R,231,2,0.0,1,48,1014,4,0,-1
R,272,13,0.0,-6,54,1011,2,-1,0
R,311,8,0.0,-1,52,1013,2,-1,0
R,356,8,0.0,5,47,1014,2,-2,0
R,392,4,0.0,4,48,1015,2,-1,-1
R,431,4,0.0,-1,51,1014,3,-1,0
R,471,10,0.0,-1,52,1011,2,0,0
R,512,14,0.0,2,50,1015,2,-1,0
R,551,9,0.0,1,48,1014,2,-1,-1
R,605,12,0.0,-1,51,1013,2,-1,0
R,631,13,0.0,0,51,1013,3,-1,0
R,672,2,0.1,2,50,1013,2,-1,0
R,713,5,0.1,0,49,1014,2,-1,-1
R,751,4,0.1,-2,50,1014,2,-1,0
R,791,5,0.1,-1,50,1012,3,-1,0
R,832,4,0.1,1,51,1013,2,-1,0
R,871,5,0.1,2,50,1014,2,-1,0
R,911,8,0.1,0,49,1013,2,-1,0
R,951,5,0.1,0,50,1013,3,-1,0
R,992,4,0.1,1,51,1013,2,-1,0
R,1031,6,0.1,0,50,1014,2,-1,0
R,1071,9,0.1,0,50,1013,2,-1,0
R,1112,6,0.1,0,50,1014,3,-1,0
R,1152,6,0.1,1,51,1014,2,-1,0
R,1191,3,0.1,2,51,1014,2,-1,0
R,1231,3,0.1,0,50,1014,2,-1,0
R,1271,7,0.1,-1,50,1014,2,-1,0
R,1311,4,0.1,0,49,1014,2,-1,0
R,1352,4,0.1,1,51,1013,2,-1,0
R,1391,5,0.1,0,50,1014,2,-1,0
R,1431,6,0.1,0,50,1014,2,-1,0
R,1472,11,0.1,0,50,1014,2,0,0
R,1511,7,0.1,0,49,1014,2,-1,0
R,1551,8,0.1,0,50,1012,2,-1,0
R,1605,6,0.1,2,49,1014,2,-2,0
R,1632,7,0.1,2,49,1013,2,-1,0
R,1671,10,0.1,0,51,1013,2,0,0
R,1714,10,0.1,0,50,1013,2,-1,0
R,1751,8,0.1,0,49,1014,2,-1,0
R,1791,10,0.1,0,49,1013,2,-1,0
R,1831,4,0.1,0,50,1014,2,-1,0
R,1872,5,0.1,1,50,1014,3,0,0
R,1911,4,0.1,2,49,1014,3,0,0
R,1951,8,0.1,0,49,1013,2,0,0
R,1991,4,0.1,-1,50,1013,2,0,0
R,2032,5,0.1,0,50,1014,2,-1,0
R,2071,4,0.1,2,50,1014,3,-1,0
