[dump] RUN #1 heure=08:37:45 src=SEUIL_GPS rollout_ms=0 unit=MAXXX dyn=7 rate_ms=40 gps=1 pre=15 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=1 gxo_cdps=28 gyo_cdps=-13 gzo_cdps=-5 cal_tempC=43 run_tempC=35
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-600,40,0.0,0,49,1014,2,-1,0
R,-560,40,0.0,0,50,1013,2,-1,0
R,-520,40,0.0,0,49,1013,2,0,0
R,-480,40,0.0,0,50,1014,2,-1,0
R,-440,40,0.0,0,49,1013,2,0,0
R,-400,40,0.0,0,50,1014,2,-1,0
R,-360,40,0.0,0,49,1014,2,-1,0
R,-320,40,0.0,0,49,1014,2,-1,0
R,-280,40,0.0,1,50,1014,2,-1,0
R,-240,40,0.0,0,50,1014,2,0,0
R,-200,40,0.0,0,49,1014,2,0,0
R,-160,40,0.0,0,49,1014,2,0,0
R,-120,40,0.0,0,50,1013,2,-1,0
R,-80,40,0.0,0,50,1014,2,-1,0
R,-40,40,0.0,0,49,1015,2,-1,0
R,39,370,0.1,0,49,1013,2,-1,0
R,80,536,0.3,0,50,1013,2,-1,0
R,120,702,0.5,0,49,1014,3,0,0
R,160,869,0.8,0,48,1014,3,-1,0
R,200,1035,1.1,0,49,1013,2,-1,0
R,240,1202,1.5,0,51,1014,2,-1,0
R,280,1368,2.0,0,50,1014,2,-1,0
R,319,1534,2.5,-1,49,1014,2,-1,0
R,360,1701,3.1,0,49,1014,2,-1,0
R,399,1867,3.8,0,48,1013,2,-1,0
R,440,2034,4.5,0,50,1013,2,0,0
R,480,2200,5.3,0,49,1014,2,-1,0
R,520,2304,6.1,0,49,1014,2,0,0
R,560,2408,6.9,0,48,1014,2,-1,0
R,599,2512,7.8,0,50,1013,2,-1,0
R,639,2616,8.7,0,50,1013,2,-1,0
R,680,2720,9.7,1,49,1014,2,-1,0
R,720,2824,10.8,0,49,1015,2,-1,0
R,760,2928,11.8,0,49,1014,2,-1,0
R,800,3032,12.9,0,50,1013,2,-1,0
R,840,3136,14.0,0,49,1013,2,-1,0
R,880,3240,15.2,0,48,1014,2,-1,0
R,920,3344,16.4,1,48,1014,2,0,0
R,960,3448,17.6,0,49,1014,2,0,0
R,1000,3526,18.9,0,49,1014,2,0,0
R,1040,3578,20.2,0,50,1014,2,-1,0
R,1080,3630,21.5,0,48,1014,2,-1,0
R,1119,3682,22.8,0,49,1013,2,-2,0
R,1160,3734,24.2,0,50,1014,2,-1,0
R,1200,3786,25.6,1,50,1014,3,-1,0
R,1240,3838,26.9,0,49,1014,2,-1,0
R,1280,3890,28.3,-1,49,1014,2,-1,0
R,1320,3942,29.8,0,49,1012,2,-1,0
R,1360,3994,31.2,0,50,1014,2,-1,0
R,1400,4046,32.7,0,49,1014,2,-1,0
R,1440,4098,34.2,0,49,1014,2,0,0
R,1479,4150,35.6,0,49,1013,2,-1,0
R,1520,4202,37.2,0,50,1013,2,-1,0
R,1560,4254,38.7,0,50,1013,2,-1,0
R,1600,4306,40.3,0,50,1015,2,-1,0
R,1640,4358,41.9,0,49,1014,2,-1,0
R,1680,4410,43.5,0,50,1013,2,0,0
R,1720,4462,45.1,0,50,1014,2,-1,0
R,1760,4514,46.7,0,50,1014,2,-1,0
R,1800,4566,48.4,0,49,1015,2,-1,0
R,1840,4618,50.1,0,50,1014,2,-1,0
R,1879,4670,51.7,0,50,1014,2,-1,0
R,1920,4722,53.5,0,49,1014,2,-1,0
R,1959,4774,55.2,0,49,1014,2,0,0
R,2000,4849,57.0,0,50,1014,2,0,0
R,2040,4948,58.7,0,50,1013,2,-1,0
R,2080,5047,60.6,0,50,1014,2,-1,0
R,2120,5145,62.4,0,49,1014,2,-1,0
R,2160,5244,64.3,1,50,1013,2,-1,0
R,2200,5343,66.2,0,50,1013,3,0,0
R,2240,5441,68.2,0,49,1014,2,-1,0
