[dump] RUN #1 heure=09:14:31 src=CAN_TRIG rollout_ms=0 unit=MAXXX dyn=7 rate_ms=40 gps=1 pre=11 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=1 gxo_cdps=28 gyo_cdps=-22 gzo_cdps=4 cal_tempC=43 run_tempC=26
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1409,12,0.0,-26,-162,770,80,-37,-66
R,-1282,12,0.0,-674,-396,321,-101,-125,-48
R,-1155,19,0.0,-74,-351,1043,439,238,-48
R,-1027,5,0.0,-252,24,788,42,215,65
R,-900,3,0.0,-446,-110,-546,-71,-340,-40
R,-770,5,0.0,-466,-203,401,4,-193,-41
R,-639,6,0.0,-79,-32,2312,3,266,66
R,-512,6,0.0,-498,-106,367,-9,-94,10
R,-385,6,0.0,129,-376,1415,214,402,23
R,-258,9,0.0,-347,15,1865,95,-414,-33
R,-128,133,0.0,-127,-1163,1472,-287,-78,49
R,141,1226,1.2,-417,-1983,1381,-57,-57,141
R,154,1513,1.4,30,-1536,1280,88,-32,-81
R,187,1764,1.9,-488,-2022,1358,49,-16,-103
R,228,2033,2.6,38,-1576,1228,290,214,154
R,267,2249,3.3,479,-1799,1876,-105,89,-18
R,320,2465,4.5,-386,-1761,1262,112,-117,116
R,347,2690,5.1,424,-1603,1162,343,99,60
R,386,2914,6.1,-201,-1796,955,237,-48,65
R,428,3159,7.3,-389,-1788,915,-224,-142,40
R,473,3418,8.6,525,-1714,1112,112,145,17
R,506,3647,9.7,-73,-1913,793,-3,-241,92
R,547,3890,11.1,279,-1921,609,137,287,38
R,588,4118,12.6,-203,-1728,819,-324,11,31
R,627,4359,14.1,355,-1866,603,-69,154,-95
R,667,4590,15.7,-40,-2147,272,-32,-46,80
R,707,4807,17.4,339,-2235,505,232,-21,-6
R,747,5052,19.2,252,-2254,520,-449,-368,18
R,788,5308,21.2,771,-2263,609,-211,7,-14
R,827,5541,23.1,358,-2300,463,-128,-185,41
R,866,5786,25.1,231,-2383,421,-47,-58,94
R,907,6048,27.3,693,-2169,337,-231,-77,7
R,947,6305,29.6,373,-2034,657,-234,-253,-36
R,986,6510,31.8,564,-1930,-305,-3,129,-6
R,1027,6665,34.3,68,-1552,-520,56,-158,0
R,1068,6746,36.8,1003,-511,579,-64,549,-60
R,1108,6718,39.3,634,-531,799,-20,23,-47
R,1146,6619,41.6,-37,-172,966,24,-12,-60
R,1187,6509,44.0,-201,-12,1422,-21,-204,11
R,1226,6444,46.3,137,134,1195,282,-63,91
R,1267,6399,48.7,-597,-158,512,426,-39,62
R,1320,6347,51.8,362,-189,624,924,57,-16
R,1347,6333,53.4,-114,-270,162,1114,-119,-46
R,1386,6303,55.6,469,-322,1056,1450,449,18
R,1428,6272,58.0,56,-145,939,1458,233,148
R,1466,6348,60.2,256,2795,-710,1545,-445,7
R,1507,6467,62.6,-1146,1228,341,-575,18,-41
R,1546,6069,64.8,-440,-1488,3026,-455,155,136
R,1587,5683,67.0,849,47,-616,478,25,-597
R,1625,5601,69.0,-223,-1026,-232,-282,209,-13
R,1666,5735,71.1,168,-1941,43,-36,-11,244
R,1706,5912,73.2,-251,-2047,139,-587,-112,143
R,1746,6195,75.4,-178,-2038,-233,-255,85,253
R,1786,6497,77.7,-96,-2108,-355,-366,26,157
R,1826,6823,80.2,-997,-2031,-53,-178,227,263
R,1868,7148,82.8,-466,-2701,528,16,-448,90
R,1908,7403,85.5,-487,-1956,1473,-80,28,1
R,1946,7578,88.1,-50,-1463,76,-141,30,-33
R,1987,7691,90.9,-313,-941,1123,-90,50,-44
R,2026,7772,93.7,-479,-586,1690,270,1,-47
R,2066,7793,96.5,-195,-748,1979,-407,-293,39
R,2106,7737,99.4,-321,-461,1529,-111,-216,-17
R,2146,7639,102.2,305,-527,106,148,18,-31
R,2186,7548,104.9,154,-611,995,319,-88,-29
R,2227,7545,107.7,139,-299,2218,247,15,-107
R,2266,7579,110.4,-240,-9,1949,291,-274,-22
R,2320,7654,114.2,-445,91,1576,295,-271,-47
R,2347,7684,116.1,48,2265,800,475,228,-141
R,2388,7669,118.9,469,113,-1123,-14,-98,-26
R,2430,7301,121.8,-449,417,1055,100,147,-456
R,2473,6917,124.6,-495,399,161,-83,-14,-228
R,2507,6799,126.7,-543,-808,430,278,-144,-310
R,2545,6834,129.1,112,-1134,895,273,-5,-197
R,2586,6920,131.6,0,-419,-239,365,12,57
R,2625,7016,134.1,683,8,509,-122,93,-86
R,2665,7004,136.7,-286,600,1735,-314,-84,-129
R,2706,6864,139.3,257,717,685,-194,243,-13
R,2747,6697,141.8,228,576,1197,386,-138,28
R,2786,6595,144.2,138,749,1142,-46,41,2
R,2826,6555,146.6,-73,188,1518,145,82,23
R,2867,6529,149.0,348,547,1355,100,-151,-1
R,2907,6496,151.4,309,737,705,-68,44,-178
R,2947,6456,153.7,-145,142,1010,78,108,-156
R,2987,6410,156.1,-226,-224,1260,132,76,68
R,3026,6361,158.4,-574,-730,756,426,148,48
R,3067,6359,160.7,254,-1701,481,102,-672,-311
R,3106,6440,163.0,-570,-1729,1344,41,-33,-10
R,3146,6669,165.4,-223,-1142,1502,55,-152,-36
R,3187,6943,167.9,-122,-1294,255,39,30,12
R,3227,7177,170.5,-421,-711,35,22,120,28
R,3266,7273,173.1,52,-1238,163,-82,7,-121
R,3320,7259,176.7,137,-1221,645,-139,-157,-73
R,3347,7331,178.5,-308,-1044,233,74,-30,58
R,3386,7508,181.1,-301,-926,-69,14,-115,132
R,3428,7660,184.0,-410,-610,-131,113,-54,15
R,3467,7725,186.7,335,-670,791,-119,-11,-68
R,3506,7658,189.5,-166,-148,-638,38,24,-82
R,3547,7541,192.3,-415,-63,-1366,4,-113,-10
