[dump] === board=68871255F188 fw=v7.7.00 -- 2 run(s) en flash ===
[dump] RUN #1 heure=14:07:48 src=SEUIL_GPS rollout_ms=0 statut=ABANDON
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,8,172,0.0,0,269,771,71,29,-3
R,45,178,0.1,-28,16,1142,18,22,-3
R,86,192,0.1,-52,84,1038,7,-1,-1
R,126,231,0.2,-138,44,1186,36,5,0
R,166,252,0.3,62,5,1031,-8,-1,-3
R,206,251,0.4,-25,17,1046,0,1,1
R,267,246,0.5,33,13,1014,-15,-27,-3
R,286,226,0.6,-45,-42,969,3,9,-1
R,327,225,0.7,22,19,1026,30,3,0
R,369,241,0.8,25,-9,1127,39,18,-3
R,406,238,0.8,25,-136,989,-15,-16,-1
R,446,234,0.9,25,84,992,33,4,0
R,487,243,1.0,105,0,1135,-26,-29,-16
R,526,255,1.1,-139,81,866,-74,-23,3
R,567,253,1.2,-17,183,1154,34,19,17
R,607,256,1.3,-202,11,1323,59,16,-13
R,645,276,1.4,-172,-110,1048,-17,-34,7
R,685,292,1.5,-175,-24,667,-39,-4,1
R,725,304,1.6,-15,282,937,0,-7,-3
R,765,325,1.7,-251,223,1291,-12,1,7
R,806,339,1.8,-155,-47,1013,10,5,-5
R,846,345,1.9,11,393,764,3,-13,12
R,888,361,2.1,-158,235,1043,-8,-4,-1
R,927,388,2.2,93,129,1023,24,17,-6
R,966,414,2.4,80,179,1128,-59,-27,-6
R,1005,429,2.5,-378,96,1705,4,-2,-18
R,1045,451,2.7,-12,70,1057,-5,3,-7
R,1085,495,2.8,-66,-11,1205,25,-4,-13
R,1126,530,3.0,-206,0,1682,77,-2,-10
R,1164,532,3.2,-155,31,1342,-19,-21,-21
R,1204,541,3.4,-95,-45,978,-56,-23,-15
R,1258,554,3.7,-254,-114,1159,27,10,-20
R,1285,571,3.8,29,72,650,5,-16,11
R,1325,580,4.0,43,97,826,-19,2,0
R,1367,602,4.3,-93,91,845,37,15,9
R,1405,618,4.5,-76,7,1154,48,-1,-5
R,1447,625,4.7,-226,22,1235,33,5,-13
R,1486,644,4.9,127,177,1091,3,-10,1
R,1526,674,5.2,159,-19,913,-39,-22,-11
R,1565,685,5.4,27,-40,901,-13,-14,0
R,1605,704,5.7,-124,70,1054,83,28,8
R,1645,697,5.9,160,64,1228,53,13,1
R,1685,679,6.2,78,51,1130,24,-5,2
R,1725,691,6.4,-131,90,907,4,0,-1
R,1766,698,6.7,-35,96,918,18,5,-7
R,1807,717,6.9,8,77,1194,-18,-12,1
R,1846,725,7.2,87,-33,1245,25,-7,-11
R,1885,710,7.5,2,-40,973,-28,-19,-4
R,1926,688,7.7,62,28,974,-18,-12,-2
R,1965,699,8.0,102,-42,958,9,-5,-2
R,2005,711,8.2,0,-70,966,-17,-9,-6
R,2047,730,8.5,-12,-66,1130,-7,0,-2
R,2086,721,8.8,0,-80,1100,-9,4,-6
R,2125,711,9.0,-39,-36,1010,-49,-18,1
R,2165,697,9.3,-22,-48,984,-33,-18,-1
R,2206,681,9.5,67,39,915,24,-18,-2
R,2267,672,9.9,33,-63,1004,9,-4,0
R,2325,698,10.3,1,31,961,-22,4,1
R,2369,702,10.5,0,-24,1161,12,-9,0
R,2405,693,10.8,111,205,971,-11,-17,-1
R,2445,696,11.0,-27,86,936,-31,-9,-2
R,2485,702,11.3,-49,1,1089,10,0,5
R,2526,713,11.5,-69,111,1019,32,11,3
R,2566,716,11.8,76,112,1169,5,7,-1
R,2606,716,12.1,-48,17,1250,40,16,-4
R,2646,725,12.3,36,-42,989,-38,-23,-9
R,2685,738,12.6,5,18,895,-41,-30,0
R,2725,742,12.9,-108,101,921,3,10,1
R,2766,745,13.1,-33,52,1028,-3,-14,1
R,2808,765,13.4,-129,-75,1303,-1,-9,-1
R,2847,775,13.7,-36,-30,1231,-1,-3,-8
R,2885,755,14.0,67,-22,1059,-3,-7,-11
R,2927,747,14.3,0,-77,1076,-9,-13,-13
R,2966,756,14.5,34,-25,972,2,-18,-3
R,3006,758,14.8,-61,20,1383,47,1,0
R,3046,757,15.1,93,96,898,-32,-23,-4
R,3086,754,15.3,-8,45,1340,-1,6,2
R,3126,775,15.6,101,-51,975,2,-8,-3
R,3167,769,15.9,-48,-55,1083,-22,-33,-5
R,3206,759,16.2,-234,124,1207,-5,-13,-7
R,3258,762,16.5,8,38,1138,47,15,3
R,3285,771,16.7,-58,69,1088,26,10,3
R,3326,795,17.0,174,224,885,-19,-14,9
R,3368,816,17.3,1,15,1206,46,17,-8
R,3408,831,17.6,-124,127,888,-5,0,4
R,3446,838,17.9,-102,61,993,7,-15,-4
R,3485,858,18.2,-188,58,1234,11,5,-6
R,3526,862,18.5,64,0,1031,-15,10,5
R,3565,860,18.9,9,89,912,17,1,-4
R,3606,859,19.2,18,-85,1022,-3,-5,-1
R,3646,858,19.5,29,-16,1156,-8,-2,-10
R,3686,864,19.8,36,4,1093,26,9,-5
R,3726,868,20.1,46,-40,1024,1,-12,-7
R,3765,868,20.4,-21,89,932,6,-11,-1
R,3806,860,20.7,53,-19,1135,11,-4,-3
R,3846,867,21.1,32,-52,1087,7,-11,-3
R,3885,875,21.4,-2,-109,1166,16,-11,-5
R,3926,880,21.7,-25,-12,1181,39,10,-3
R,3965,880,22.0,76,-97,1059,-4,-9,-4
R,4005,859,22.3,-35,48,997,21,-8,-2
R,4045,845,22.6,34,72,1069,14,-4,0
R,4085,847,22.9,-13,-62,1014,41,10,0
R,4125,854,23.3,-72,-24,1137,35,0,2
R,4165,854,23.6,-15,-21,1174,32,9,5
R,4205,852,23.9,122,0,924,-4,1,2
R,4266,855,24.4,29,16,1143,27,-3,-2
R,4326,860,24.8,-86,13,928,8,-5,0
R,4369,860,25.2,4,43,1067,47,15,0
R,4406,854,25.5,21,-40,1151,28,3,0
R,4446,849,25.8,-11,-38,994,4,6,-1
R,4486,841,26.1,-35,-20,1073,16,-4,-2
R,4526,847,26.4,-54,77,961,-2,10,3
R,4565,847,26.7,109,-39,1104,44,18,2
R,4605,843,27.0,-56,-35,1119,40,3,1
R,4645,837,27.3,-17,8,1045,19,0,-8
R,4686,840,27.6,103,-46,1042,-33,-11,0
R,4726,844,27.9,-12,-6,932,-42,-24,-5
R,4765,851,28.2,38,-37,1171,-24,-21,1
R,4806,849,28.5,92,68,891,-23,-9,0
R,4845,848,28.8,77,30,980,43,6,-2
R,4886,833,29.1,-77,-66,1155,5,-4,0
R,4926,829,29.5,17,-66,958,-10,-7,4
R,4965,824,29.7,-62,32,1073,17,-8,3
R,5005,817,30.0,59,-15,907,-24,-11,4
R,5047,815,30.4,11,-74,973,-9,-5,2
R,5085,792,30.6,-22,-44,1020,-4,-7,-2
R,5125,779,30.9,68,-124,1315,-40,-32,0
R,5166,787,31.2,-35,-72,1117,-1,-15,-2
R,5205,792,31.5,11,0,963,-22,-21,-2
R,5259,805,31.9,-43,0,1049,53,21,2
R,5286,806,32.1,-50,22,1029,34,20,2
R,5326,791,32.4,-8,25,1148,30,2,1
R,5368,771,32.7,-76,-95,1219,-5,1,0
R,5405,766,32.9,0,-51,1101,31,8,0
R,5445,774,33.2,9,17,1145,3,-3,1
R,5485,779,33.5,121,18,897,-2,0,5
R,5526,773,33.8,2,-38,1115,9,0,2
R,5565,766,34.1,65,-29,1072,3,-12,-4
R,5604,767,34.3,-27,0,1185,19,-3,0
R,5647,766,34.6,23,-20,1210,18,12,1
R,5686,768,34.9,88,-36,946,-31,-31,-6
R,5725,774,35.2,49,-62,1079,-12,-8,1
R,5766,760,35.5,-72,-113,872,25,22,-2
R,5807,752,35.7,75,69,1120,39,6,0
R,5845,761,36.0,29,-44,951,14,-1,-3
R,5886,773,36.3,41,-89,1127,-37,-28,-3
R,5925,765,36.6,16,61,967,-9,-11,4
R,5965,748,36.8,-8,-29,1011,13,4,1
R,6006,748,37.1,62,-54,982,0,-15,0
R,6045,754,37.4,69,-57,1101,0,-2,4
R,6086,759,37.7,94,-19,1050,35,8,0
R,6126,765,38.0,88,-32,856,-15,-8,0
R,6166,755,38.2,-20,15,1064,38,-9,2
R,6205,734,38.5,-67,-74,964,0,-6,1
R,6267,716,38.9,-52,-89,1063,-13,-16,1
R,6326,710,39.3,-58,-12,1107,5,5,1
R,6368,713,39.6,25,-71,1074,14,3,1
R,6405,721,39.8,-55,-14,1038,-8,-7,-1
R,6446,718,40.1,2,-117,1097,6,-5,-2
R,6485,714,40.3,16,-37,813,-7,-11,4
R,6526,696,40.6,-12,-74,1120,36,12,0
R,6565,681,40.8,-67,-31,1090,4,-2,0
R,6605,671,41.1,37,-131,1102,14,9,2
R,6645,652,41.3,-10,-30,962,19,3,0
R,6686,643,41.6,-1,-151,1131,-1,-8,0
R,6725,633,41.8,-45,-93,1102,38,9,5
R,6765,628,42.0,-83,-47,1220,16,-4,3
R,6806,625,42.3,-77,-10,1030,19,3,-2
R,6845,613,42.5,16,-23,970,29,4,4
R,6885,596,42.7,48,28,1098,21,-1,1
R,6926,600,42.9,-28,-81,1246,42,25,2
R,6965,604,43.1,0,-66,1060,-1,-4,1
R,7005,612,43.4,-11,-112,949,-21,-37,3
R,7046,603,43.6,-27,-124,865,33,0,-3
R,7084,580,43.8,60,-104,1059,1,-10,3
R,7126,562,44.0,59,0,876,-25,-12,6
R,7166,543,44.2,15,-122,1159,12,0,-5
R,7205,547,44.4,21,-55,923,-17,-7,2
R,7258,543,44.7,-22,-146,1125,18,-10,-7
R,7286,525,44.8,11,9,998,13,2,4
R,7326,508,45.0,61,-57,1112,-3,-5,6
R,7368,518,45.2,47,71,746,-2,-7,4
R,7405,515,45.4,56,-61,1222,-11,-15,-3
R,7446,499,45.5,-28,-8,820,-34,-12,0
R,7486,497,45.7,-49,48,784,33,-13,-1
R,7525,507,45.9,-40,72,1107,-15,-7,1
R,7565,520,46.1,7,-34,1060,1,8,6
R,7606,510,46.3,43,-32,1039,25,1,3
R,7645,512,46.5,76,24,982,3,-5,1
R,7687,504,46.7,15,-65,843,0,7,1
R,7725,505,46.8,12,0,1103,-8,-7,2
R,7766,499,47.0,-6,51,967,-37,-26,-1
R,7808,496,47.2,0,62,588,-25,-11,-1
R,7845,509,47.4,37,40,839,-30,-2,2
R,7886,540,47.6,-16,98,687,-9,-10,5
R,7926,553,47.8,-136,-59,840,-75,-25,7
R,7965,552,48.0,-45,200,1181,64,12,3
R,8004,549,48.2,37,96,1118,42,18,14
R,8045,555,48.4,-132,-78,999,-13,-5,-2
R,8085,573,48.6,-158,13,1070,-25,-10,7
R,8125,601,48.8,95,135,690,-37,-11,8
R,8167,622,49.0,-36,31,1141,32,19,13
R,8205,638,49.2,-52,-14,1306,25,9,7
R,8267,647,49.6,-16,20,1140,-29,-13,5
R,8286,643,49.7,-80,135,854,-11,4,16
R,8326,639,50.0,-31,56,882,100,28,12
R,8369,641,50.2,-103,64,1030,-6,-8,-1
R,8406,663,50.4,-129,98,691,44,20,9
R,8445,670,50.7,212,-38,1293,11,-6,2
R,8485,680,50.9,65,50,798,-20,-10,9
R,8525,697,51.2,-46,51,964,29,14,2
R,8566,702,51.4,4,3,1187,-26,-27,0
R,8606,705,51.7,51,21,876,-29,-19,5
R,8646,703,51.9,12,-42,1042,-7,-7,6
R,8686,717,52.2,52,129,1011,-19,-14,12
R,8727,726,52.5,-54,117,1114,70,27,10
R,8767,728,52.7,40,4,855,35,16,4
R,8807,738,53.0,32,32,1024,37,-2,15
R,8847,732,53.3,-271,85,1401,69,21,11
R,8886,732,53.5,-103,-12,1130,15,9,-1
R,8926,735,53.8,-209,15,1106,21,11,6
R,8965,755,54.1,-296,-5,1446,19,-6,-5
R,9005,760,54.3,39,116,1179,103,19,9
R,9047,761,54.6,-235,112,672,-14,5,5
R,9085,781,54.9,-60,127,1089,-16,-2,4
R,9126,797,55.2,-13,-20,1159,20,-4,12
R,9165,820,55.5,16,56,909,19,-5,12
R,9205,831,55.8,-40,-108,1258,48,20,5
R,9258,841,56.2,20,62,1068,72,19,10
R,9285,837,56.4,44,23,972,-30,-28,5
R,9325,829,56.7,-34,53,766,-26,-1,6
R,9368,822,57.0,-65,16,911,-11,2,12
R,9405,833,57.3,127,20,807,-39,-21,1
R,9445,843,57.6,-31,-53,1121,-35,-32,8
R,9486,859,57.9,20,85,886,-15,-1,9
R,9525,868,58.2,4,50,933,-35,1,9
R,9565,871,58.5,-46,21,955,-2,-15,9
R,9605,862,58.9,-16,-7,1155,32,-5,10
R,9646,864,59.2,-78,-3,1159,7,12,11
R,9686,873,59.5,97,84,1028,9,-4,5
R,9725,890,59.8,-18,-48,1057,0,-5,5
R,9765,894,60.1,20,28,988,2,-9,8
R,9806,884,60.5,-28,-45,1147,35,8,8
R,9845,873,60.8,101,-16,1014,26,-13,2
R,9886,873,61.1,-44,68,814,-33,-23,9
R,9926,882,61.4,-20,52,935,-2,-2,10
R,9965,895,61.7,64,-25,996,-9,-17,5
R,10005,903,62.1,-59,32,849,-14,-14,11
R,10046,891,62.4,-32,-22,859,3,-1,7
R,10086,882,62.7,30,-27,1168,44,19,7
R,10128,882,63.1,63,44,968,4,-7,8
R,10166,889,63.4,95,-68,1037,-22,-12,14
R,10205,883,63.7,33,-15,927,0,-15,6
R,10267,882,64.2,-180,111,851,-4,4,13
R,10286,872,64.3,-94,36,941,30,25,12
R,10327,863,64.7,-10,-121,1344,61,30,4
R,10368,875,65.0,-37,15,1002,15,-17,9
R,10406,887,65.3,-2,-85,1347,55,6,1
R,10446,897,65.6,-80,-81,1162,-19,-4,8
R,10485,911,65.9,84,25,861,-2,-7,5
R,10525,918,66.3,-49,-41,975,12,-2,7
R,10566,906,66.6,-128,-79,1069,-3,-3,7
R,10606,895,66.9,27,47,843,-4,-3,13
R,10645,892,67.3,-11,60,1021,11,16,12
R,10686,890,67.6,61,17,1085,-1,-8,11
R,10725,912,67.9,16,13,960,-30,-15,9
R,10765,920,68.2,-9,-44,1195,15,-4,4
R,10807,927,68.6,-41,-34,943,-13,-11,8
R,10845,915,68.9,82,23,885,-22,-7,6
R,10885,909,69.2,54,-41,996,1,-7,4
R,10927,899,69.6,43,-41,964,-27,-5,5
R,10965,900,69.9,3,-61,976,6,1,9
R,11004,903,70.2,-10,-12,1113,3,-5,3
R,11046,906,70.6,-116,-11,839,-20,-11,11
R,11085,907,70.9,-47,23,995,36,10,3
R,11125,913,71.2,-32,-12,1171,29,2,7
R,11166,923,71.6,100,12,873,-27,-19,8
R,11206,919,71.9,-12,92,1083,19,-11,2
R,11258,914,72.3,33,111,726,36,9,11
R,11285,912,72.6,43,6,915,-7,-2,14
R,11326,904,72.9,-47,40,1062,16,10,11
R,11368,917,73.3,1,-105,1192,-6,-21,13
R,11406,952,73.6,-27,210,858,30,-3,15
R,11445,973,73.9,24,-20,1009,4,-16,17
R,11485,957,74.3,-72,112,1136,-11,1,16
R,11526,957,74.6,-61,14,1155,-38,12,15
R,11566,966,75.0,-32,55,990,4,-8,16
R,11605,985,75.3,19,16,897,43,-3,10
R,11646,996,75.7,-70,2,1059,45,4,8
R,11685,988,76.0,-40,59,876,5,4,10
R,11726,974,76.4,60,35,928,18,10,12
R,11766,960,76.8,31,-6,1001,-53,-27,17
R,11805,967,77.1,26,20,985,-39,-17,16
R,11846,993,77.5,14,54,774,-19,2,14
R,11886,1024,77.8,-6,2,944,0,3,8
R,11925,1023,78.2,-13,-5,897,-12,-12,6
R,11966,1003,78.6,-10,-21,999,-1,-10,4
R,12005,979,78.9,-21,-61,1056,-25,-19,7
R,12045,961,79.3,-21,-55,1086,9,-1,1
R,12085,969,79.6,-93,-51,1060,0,-8,5
R,12126,984,80.0,-39,-55,1117,28,-3,0
R,12166,1005,80.4,3,-63,797,-45,-47,0
R,12206,1009,80.7,20,-20,898,-1,-18,3
R,12266,999,81.3,51,-11,1055,7,9,2
R,12286,969,81.5,-98,-71,1106,-1,-4,5
R,12327,946,81.8,-110,-118,1233,49,-1,-1
R,12368,947,82.2,-118,-105,1139,-26,-28,2
R,12405,947,82.5,-17,-49,973,30,16,9
R,12445,946,82.8,-29,-98,1090,31,2,5
R,12485,949,83.2,-141,-42,1195,31,-4,-3
R,12525,938,83.5,-22,-155,1203,13,19,-3
R,12566,926,83.9,-30,-120,1125,4,-2,-2
R,12605,928,84.2,-71,-44,983,30,0,-1
R,12647,917,84.6,-54,-59,1097,42,16,-2
R,12686,913,84.9,12,-88,988,-10,-7,4
R,12725,901,85.2,-122,-69,1042,40,9,-3
R,12765,884,85.5,-95,-113,1124,-2,-14,-1
R,12806,868,85.9,-101,-15,1093,38,16,2
R,12845,864,86.2,47,36,1078,52,19,2
R,12885,859,86.5,64,-140,1095,0,4,-1
R,12924,856,86.8,17,-7,866,7,1,2
R,12964,839,87.1,68,-11,1190,45,4,-1
R,13005,825,87.4,103,-29,818,1,-3,9
R,13045,814,87.7,9,0,976,44,13,3
R,13085,821,88.0,-77,-13,1146,15,-22,-2
R,13125,819,88.3,-101,7,1027,12,7,2
R,13165,823,88.6,-5,-6,975,-3,-14,-3
R,13207,823,88.9,-4,-30,940,-19,-28,1
R,13258,815,89.3,29,15,955,23,2,-1
R,13285,815,89.5,90,0,1055,-9,0,3
R,13325,829,89.8,34,1,1151,9,-1,-1
R,13368,844,90.1,-16,-41,888,-19,-16,1
R,13405,843,90.4,9,32,1045,-7,0,0
R,13444,842,90.7,-36,32,977,-23,-15,4
R,13486,836,91.0,-47,68,803,-15,-4,7
R,13525,833,91.3,2,-58,1179,44,10,0
R,13565,833,91.6,-50,48,1099,30,-14,5
R,13605,828,91.9,79,40,1006,30,5,5
R,13647,821,92.2,32,-100,1159,14,-15,0
R,13686,830,92.5,68,-1,1188,0,-14,2
R,13726,836,92.8,50,7,909,3,-7,4
R,13766,851,93.2,14,-65,1128,0,10,5
R,13806,853,93.5,-63,36,960,19,9,2
R,13846,847,93.8,-61,-29,1031,25,14,4
R,13884,851,94.1,-47,64,1034,50,-1,10
R,13925,846,94.4,-8,89,1114,48,11,8
R,13965,838,94.7,-3,-43,1016,30,19,5
R,14005,833,95.0,-7,-18,976,1,-12,5
R,14046,836,95.3,-78,-14,1102,7,-16,-2
R,14086,835,95.6,-116,-15,988,-3,5,3
R,14126,833,95.9,31,-23,971,0,-14,2
R,14166,833,96.2,-71,53,1022,52,1,0
R,14205,827,96.5,57,-16,992,-40,-7,9
R,14266,829,97.0,-41,2,990,1,0,8
R,14286,835,97.1,75,79,1113,-1,-13,7
R,14326,834,97.4,-187,80,1048,11,21,5
R,14367,842,97.7,-156,-56,1223,73,37,4
R,14405,850,98.0,-112,16,1279,33,-9,5
R,14446,861,98.4,-62,32,1206,32,0,3
R,14485,856,98.7,197,-37,1326,-65,-29,-5
R,14527,862,99.0,-14,57,1326,-61,-25,23
R,14565,875,99.3,-116,75,1043,-50,-18,4
R,14605,900,99.6,59,-29,1184,-15,-19,-11
R,14645,924,99.9,28,2,876,-49,-15,1
R,14687,933,100.3,55,26,1086,18,-11,1
R,14726,926,100.6,54,35,1235,-16,-35,13
R,14766,926,101.0,-61,-33,1099,65,-4,11
R,14808,927,101.3,52,61,1241,51,-1,8
R,14847,912,101.7,66,-99,987,15,-16,3
R,14886,903,102.0,-22,-91,1027,0,-4,7
R,14925,923,102.3,48,-25,1054,-13,0,9
R,14967,935,102.7,18,-62,1048,12,11,7
R,15007,933,103.0,34,80,1010,32,21,10
R,15046,913,103.3,-17,-94,960,-2,-9,7
R,15087,916,103.7,-40,-111,902,-25,2,11
R,15126,900,104.0,-41,-72,1113,-17,-12,13
R,15166,879,104.3,16,-43,1059,17,-8,11
R,15205,866,104.6,73,-23,1192,3,-5,10
R,15259,849,105.0,48,37,942,22,-13,4
R,15285,852,105.2,52,28,1105,31,-4,5
R,15326,875,105.6,81,-44,988,-59,0,7
R,15366,877,105.9,53,-14,1119,-34,-21,10
R,15404,875,106.2,-6,-115,1257,-19,-8,7
R,15446,861,106.5,-16,-13,1165,48,20,9
R,15486,841,106.8,69,-46,1241,-10,-12,0
R,15525,839,107.1,93,29,1016,-23,-52,6
R,15565,854,107.4,60,158,846,-43,-16,8
R,15608,882,107.8,84,10,1220,-51,-17,2
R,15647,905,108.1,-94,14,1271,4,-8,12
R,15686,907,108.4,38,98,1010,65,-2,11
R,15726,897,108.7,-30,21,1137,3,-23,3
R,15766,894,109.1,41,52,829,-88,-23,7
R,15805,908,109.4,35,-62,993,-98,-30,11
R,15845,918,109.7,-60,-51,1180,-69,-24,0
R,15884,940,110.1,-75,-8,909,-60,-14,1
R,15925,961,110.4,2,39,1042,10,25,5
R,15966,956,110.8,-24,-39,888,-11,0,7
R,16006,931,111.1,-25,28,942,-13,8,13
R,16046,910,111.5,40,-90,1125,-52,20,6
R,16085,915,111.8,-19,49,1039,-28,10,2
R,16125,922,112.1,1,17,1045,-9,-4,-1
R,16165,927,112.4,-32,-78,1100,28,-21,-6
