[dump] === board=68871255F188 fw=v7.9.06 -- 8 run(s) en flash ===
[dump] RUN #5 heure=11:42:59 src=ENTREE_PIN rollout_ms=0 unit=PELTI dyn=8 rate_ms=40 gps=1 pre=16 imuf=2/7 ecu=HP statut=ABANDON
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-630,81,0.0,-20,27,1035,5,-3,0
R,-591,35,0.0,-19,27,1035,5,-3,0
R,-550,33,0.0,-20,27,1034,5,-3,0
R,-512,49,0.0,-20,28,1035,5,-3,0
R,-472,53,0.0,-19,28,1035,5,-3,0
R,-432,18,0.0,-20,28,1035,6,-3,1
R,-392,77,0.0,-20,27,1035,6,-3,0
R,-352,36,0.0,-20,28,1035,5,-3,0
R,-298,19,0.0,-20,28,1036,5,-3,0
R,-272,22,0.0,-20,27,1036,6,-3,0
R,-232,80,0.0,-20,27,1035,5,-3,0
R,-190,54,0.0,-20,28,1035,5,-3,0
R,-151,28,0.0,-20,28,1036,5,-3,0
R,-111,48,0.0,-20,27,1036,5,-3,0
R,-72,24,0.0,-19,28,1034,5,-3,0
R,-31,21,0.0,-19,27,1035,5,-3,0
R,21,53,0.0,-20,28,1036,5,-3,0
R,49,16,0.0,-19,28,1036,5,-2,0
R,89,15,0.0,-20,27,1035,5,-3,0
R,129,24,0.0,-20,28,1035,5,-3,0
R,169,92,0.0,-20,28,1037,6,-3,1
R,214,62,0.1,-20,27,1037,5,-3,0
R,248,18,0.1,-20,28,1036,6,-3,0
R,288,45,0.1,-20,28,1036,6,-3,1
R,329,77,0.1,-20,27,1036,6,-2,0
R,369,67,0.2,-20,28,1036,6,-3,0
R,409,61,0.2,-19,28,1036,5,-3,0
R,449,52,0.2,-20,28,1036,6,-3,0
R,489,62,0.2,-20,28,1036,4,-3,1
R,529,56,0.2,-20,27,1036,5,-3,0
R,569,57,0.3,-20,28,1035,6,-2,0
R,609,11,0.3,-20,28,1035,5,-3,0
R,649,53,0.3,-19,27,1036,5,-3,0
R,703,74,0.3,-19,28,1036,6,-3,0
R,728,27,0.3,-20,27,1036,5,-3,0
R,768,99,0.4,-20,27,1036,5,-3,0
R,810,27,0.4,-20,26,1036,5,-3,0
R,849,90,0.4,-20,28,1035,5,-3,0
R,889,32,0.4,-20,28,1035,5,-3,0
R,929,6,0.4,-20,28,1036,7,-3,0
R,969,12,0.4,-20,27,1036,6,-3,0
R,1009,39,0.4,-19,27,1036,6,-3,0
R,1049,53,0.5,-20,28,1036,6,-3,0
R,1089,57,0.5,-20,28,1035,5,-3,0
R,1129,31,0.5,-19,27,1035,5,-3,0
R,1169,32,0.5,-19,28,1035,5,-3,0
R,1208,30,0.5,-20,29,1036,6,-3,0
R,1248,26,0.5,-19,28,1035,5,-3,0
R,1289,50,0.5,-19,27,1036,5,-3,0
R,1329,50,0.6,-19,27,1036,6,-3,0
R,1369,56,0.6,-19,27,1035,6,-3,0
R,1409,93,0.6,-19,28,1035,6,-3,0
R,1449,65,0.6,-19,28,1036,5,-3,0
R,1489,60,0.7,-19,28,1036,5,-3,0
R,1529,19,0.7,-20,27,1035,5,-3,0
R,1569,42,0.7,-19,26,1035,6,-3,0
R,1609,21,0.7,-19,27,1036,6,-3,0
R,1649,58,0.7,-20,28,1035,5,-3,0
R,1702,39,0.7,-20,27,1036,6,-3,0
R,1729,28,0.7,-20,27,1035,5,-2,1
R,1769,22,0.7,-20,27,1035,6,-2,0
R,1811,14,0.8,-20,27,1035,5,-3,0
R,1850,7,0.8,-20,28,1035,6,-3,0
R,1890,35,0.8,-20,28,1036,6,-2,0
R,1929,56,0.8,-20,27,1036,6,-3,0
R,1970,52,0.8,-19,27,1035,6,-2,0
R,2010,46,0.8,-20,28,1036,6,-2,0
R,2051,42,0.8,-19,28,1035,5,-3,0
R,2090,46,0.9,-19,28,1036,5,-2,0
R,2130,72,0.9,-19,28,1035,5,-3,0
R,2169,43,0.9,-20,28,1035,5,-3,0
R,2214,11,0.9,-20,28,1036,6,-3,0
R,2249,31,0.9,-20,28,1036,5,-3,0
R,2289,27,0.9,-20,28,1036,3,-3,0
R,2329,24,0.9,-19,27,1034,5,-3,0
R,2369,113,1.0,-19,28,1035,7,-2,1
R,2409,37,1.0,-19,28,1036,6,-2,0
R,2450,33,1.0,-20,28,1036,6,-2,0
R,2490,42,1.0,-19,29,1034,6,-2,0
R,2529,37,1.0,-20,27,1035,4,-3,0
R,2570,17,1.0,-20,26,1035,3,-3,0
R,2610,31,1.0,-20,27,1036,4,-3,0
R,2650,59,1.1,-20,27,1035,5,-3,0
R,2703,66,1.1,-19,27,1036,5,-3,0
R,2729,54,1.1,-20,28,1034,6,-2,0
R,2769,19,1.1,-19,27,1034,5,-3,0
R,2811,87,1.1,-19,26,1034,5,-3,0
R,2849,76,1.2,-20,27,1036,6,-3,0
R,2890,49,1.2,-20,27,1035,7,-2,0
R,2930,55,1.2,-20,28,1034,5,-3,0
R,2970,27,1.2,-19,27,1036,5,-3,0
R,3009,26,1.2,-21,27,1037,5,-3,0
R,3050,66,1.2,-19,28,1035,6,-3,0
R,3090,60,1.3,-20,28,1035,5,-3,0
R,3130,55,1.3,-20,26,1036,5,-3,0
R,3169,15,1.3,-20,28,1036,6,-2,0
R,3212,39,1.3,-20,27,1037,5,-3,0
R,3250,24,1.3,-20,28,1035,5,-3,0
R,3290,5,1.3,-19,27,1036,6,-3,0
R,3330,48,1.3,-20,27,1036,5,-3,0
R,3370,26,1.4,-19,28,1035,6,-3,0
R,3410,53,1.4,-19,28,1035,5,-3,0
R,3450,154,1.4,-20,27,1035,5,-3,0
R,3490,110,1.5,-20,27,1036,5,-3,0
R,3530,43,1.5,-20,28,1035,5,-3,0
R,3570,62,1.5,-19,27,1035,4,-3,0
R,3610,112,1.5,-20,27,1035,6,-3,0
R,3650,103,1.6,-20,26,1035,5,-3,0
R,3703,40,1.6,-19,27,1035,5,-3,0
R,3729,85,1.6,-20,27,1035,5,-3,0
R,3772,91,1.7,-20,27,1035,5,-3,0
R,3811,36,1.7,-19,27,1035,5,-3,0
R,3850,67,1.7,-19,27,1035,6,-3,0
R,3890,18,1.7,-20,28,1035,6,-3,0
R,3931,39,1.7,-20,28,1034,7,-2,0
R,3970,12,1.7,-20,28,1034,5,-3,0
R,4010,80,1.7,-20,26,1035,3,-4,0
R,4051,85,1.8,-19,27,1034,6,-3,0
R,4090,40,1.8,-20,27,1035,6,-2,0
R,4134,19,1.8,-20,27,1036,6,-2,0
R,4169,37,1.8,-19,27,1036,5,-3,0
R,4214,14,1.8,-20,27,1035,5,-3,0
R,4251,51,1.8,-19,26,1035,5,-3,0
R,4290,15,1.9,-20,27,1037,4,-3,0
R,4330,50,1.9,-20,27,1035,5,-3,0
R,4371,103,1.9,-19,27,1036,7,-3,0
R,4410,131,1.9,-20,28,1035,6,-3,0
R,4451,119,2.0,-20,27,1034,8,-3,0
R,4490,8,2.0,-20,27,1035,7,-3,0
R,4528,63,2.0,-20,28,1036,6,-3,0
R,4569,88,2.0,-20,28,1035,4,-3,0
R,4609,41,2.1,-19,27,1035,5,-3,0
R,4648,36,2.1,-20,27,1034,6,-2,0
R,4702,26,2.1,-20,27,1034,4,-3,0
R,4729,54,2.1,-20,27,1034,6,-2,0
R,4770,51,2.1,-20,26,1036,6,-3,0
R,4811,45,2.1,-19,28,1036,5,-3,0
R,4850,48,2.2,-19,27,1034,4,-3,0
R,4890,67,2.2,-19,28,1035,5,-3,0
R,4930,35,2.2,-20,27,1035,4,-2,0
R,4970,54,2.2,-19,26,1036,6,-3,1
R,5010,78,2.2,-19,27,1035,6,-3,0
R,5050,95,2.3,-19,27,1036,4,-3,0
R,5090,91,2.3,-19,27,1035,5,-2,0
R,5129,90,2.3,-20,27,1035,5,-3,0
R,5169,86,2.4,-20,27,1035,6,-3,0
R,5210,107,2.4,-19,27,1035,5,-3,0
R,5250,10,2.4,-20,26,1036,5,-3,0
R,5290,33,2.4,-19,27,1035,4,-3,0
R,5331,60,2.5,-19,27,1035,5,-3,0
R,5369,100,2.5,-19,27,1035,6,-3,0
R,5410,31,2.5,-20,28,1035,5,-3,0
R,5450,104,2.5,-20,26,1035,6,-3,0
R,5490,66,2.6,-20,27,1036,6,-3,0
R,5530,30,2.6,-20,27,1035,8,-2,0
R,5572,17,2.6,-20,27,1035,5,-3,0
R,5608,20,2.6,-20,26,1034,6,-3,0
R,5649,54,2.6,-19,27,1036,5,-3,0
R,5705,36,2.6,-19,28,1035,7,-3,0
R,5730,113,2.7,-20,28,1035,7,-2,0
R,5769,62,2.7,-19,27,1035,5,-2,0
R,5810,86,2.7,-20,28,1036,4,-3,0
R,5849,40,2.7,-20,27,1036,4,-4,0
R,5889,101,2.8,-20,27,1035,4,-3,0
R,5928,84,2.8,-19,27,1035,4,-3,0
R,5969,31,2.8,-20,26,1035,5,-2,0
R,6009,22,2.8,-20,26,1034,7,-3,1
R,6049,90,2.8,-20,26,1035,5,-3,0
R,6089,74,2.9,-20,27,1034,5,-2,0
R,6128,51,2.9,-19,27,1035,5,-3,0
R,6168,57,2.9,-20,28,1035,6,-3,1
R,6216,76,2.9,-20,27,1035,5,-3,0
R,6249,4,3.0,-18,27,1035,6,-3,1
R,6289,97,3.0,-19,27,1036,6,-3,0
R,6330,75,3.0,-20,27,1035,5,-3,0
R,6369,66,3.0,-20,26,1034,5,-3,0
R,6409,34,3.0,-19,27,1034,5,-3,0
R,6450,82,3.1,-19,27,1035,6,-2,1
R,6489,42,3.1,-20,28,1035,6,-3,0
R,6529,34,3.1,-20,28,1035,7,-2,0
R,6570,21,3.1,-20,27,1035,5,-3,0
R,6609,18,3.1,-20,27,1034,6,-3,1
R,6648,58,3.1,-19,28,1035,7,-2,0
R,6703,43,3.2,-19,27,1034,6,-3,0
R,6730,19,3.2,-20,27,1035,6,-3,0
