[dump] === board=68871255F188 fw=v7.9.06 -- 8 run(s) en flash ===
[dump] RUN #7 heure=11:51:54 src=SEUIL_GPS rollout_ms=0 unit=PELTI dyn=8 rate_ms=40 gps=1 pre=15 imuf=2/7 ecu=HP statut=TERMINE
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-600,40,0.0,-23,37,1036,5,-3,0
R,-560,40,0.0,-22,36,1035,6,-3,0
R,-520,40,0.0,-22,36,1036,5,-3,0
R,-480,40,0.0,-22,36,1036,5,-3,0
R,-440,40,0.0,-22,37,1036,5,-3,0
R,-400,40,0.0,-23,37,1036,5,-3,0
R,-360,40,0.0,-21,37,1036,5,-3,0
R,-320,40,0.0,-22,37,1036,6,-3,0
R,-280,40,0.0,-22,37,1036,6,-3,0
R,-241,40,0.0,-22,37,1036,6,-2,0
R,-200,40,0.0,-21,37,1036,5,-3,0
R,-160,40,0.0,-22,37,1036,6,-3,0
R,-120,40,0.0,-22,37,1037,6,-3,0
R,-81,40,0.0,-22,37,1037,5,-2,0
R,-40,40,0.0,-22,37,1037,6,-3,0
R,39,374,0.1,-23,37,1036,6,-2,0
R,80,540,0.3,-23,37,1036,6,-3,0
R,120,707,0.5,-22,38,1037,5,-2,0
R,160,873,0.8,-22,38,1036,5,-3,0
R,200,1039,1.1,-22,37,1036,5,-3,0
R,240,1206,1.5,-22,38,1037,5,-3,0
R,280,1372,2.0,-22,37,1037,5,-3,0
R,320,1539,2.5,-22,37,1036,5,-3,0
R,360,1705,3.1,-22,37,1036,5,-3,0
R,400,1871,3.8,-22,36,1036,6,-3,0
R,440,2038,4.5,-22,37,1036,5,-3,0
R,480,2203,5.3,-22,36,1037,5,-3,0
R,519,2307,6.1,-22,38,1037,5,-2,0
R,560,2411,7.0,-21,37,1037,5,-3,0
R,599,2515,7.8,-22,37,1037,5,-3,0
R,640,2619,8.8,-23,37,1036,5,-3,0
R,680,2723,9.8,-22,37,1037,5,-2,0
R,719,2827,10.8,-22,37,1036,5,-3,0
R,760,2931,11.8,-22,36,1036,5,-3,0
R,800,3035,12.9,-22,37,1036,5,-3,0
R,840,3139,14.0,-22,36,1037,5,-3,0
R,880,3243,15.2,-21,37,1036,5,-3,0
R,920,3347,16.4,-22,37,1036,5,-3,0
R,960,3451,17.6,-22,37,1036,5,-3,0
R,1000,3527,18.9,-21,38,1037,6,-3,0
