[dump] === board=68871255F188 fw=v8.2.01 -- 8 run(s) en flash ===
[dump] RUN #8 heure=17:42:09 src=CAN_TRIG rollout_ms=0 unit=PELTI dyn=8 rate_ms=40 gps=1 pre=16 imuf=2/7 ecu=HP statut=ABANDON
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1014,9,0.0,1,-6,1037,6,-3,1
R,-974,8,0.0,1,-6,1037,5,-3,1
R,-933,8,0.0,1,-6,1037,6,-3,1
R,-896,18,0.0,1,-6,1037,5,-3,1
R,-855,8,0.0,2,-6,1037,6,-3,1
R,-814,32,0.0,2,-6,1037,5,-3,1
R,-775,11,0.0,1,-6,1037,6,-3,1
R,-735,8,0.0,2,-6,1037,5,-3,1
R,-696,12,0.0,2,-6,1037,6,-3,1
R,-655,18,0.0,2,-6,1037,5,-3,1
R,-615,13,0.0,1,-6,1037,6,-2,1
R,-575,7,0.0,1,-6,1037,6,-3,1
R,-535,5,0.0,1,-6,1036,5,-3,1
R,-494,18,0.0,2,-6,1037,5,-3,1
R,-456,14,0.0,0,-6,1036,6,-3,1
R,-415,4,0.0,1,-6,1037,4,-3,1
R,24,8,0.0,2,-6,1037,9,-3,0
R,66,22,0.0,2,-7,1038,5,-2,2
R,104,18,0.0,1,-9,1043,11,-2,1
R,145,11,0.0,1,-4,1036,11,-3,1
R,185,35,0.0,2,-6,1037,4,-3,1
R,225,31,0.0,2,-7,1038,6,-2,1
R,265,3,0.0,1,-5,1037,6,-3,1
R,304,26,0.1,2,-7,1039,0,-3,2
R,345,20,0.1,3,-7,1042,0,-2,2
R,385,9,0.1,2,-10,1042,-3,-3,2
R,425,8,0.1,2,-6,1037,11,-3,1
R,465,5,0.1,2,-6,1037,3,-3,1
R,505,20,0.1,1,-6,1037,5,-3,1
R,545,10,0.1,1,-12,1047,28,-4,-1
R,586,22,0.1,1,1,1027,7,-1,3
R,625,9,0.1,2,-2,1034,-5,-2,4
R,665,22,0.1,1,-7,1038,1,-3,1
R,705,20,0.1,2,-7,1039,-3,-3,2
R,746,8,0.1,2,-6,1037,4,-3,1
R,785,19,0.1,1,-7,1037,7,-3,1
R,825,9,0.1,2,-6,1037,5,-3,1
R,865,3,0.1,2,-6,1037,5,-3,1
R,905,11,0.1,2,-6,1037,6,-3,1
R,959,10,0.1,1,-7,1037,5,-3,1
R,985,3,0.1,1,-6,1037,5,-3,1
R,1024,22,0.1,2,-7,1037,6,-3,1
R,1068,15,0.1,2,-6,1037,6,-3,1
R,1105,10,0.2,0,-6,1037,5,-3,1
R,1145,10,0.2,2,-6,1037,5,-2,1
R,1185,6,0.2,2,-6,1037,5,-3,1
R,1225,16,0.2,1,-7,1037,6,-3,1
R,1266,9,0.2,1,-7,1036,5,-3,1
R,1305,2,0.2,1,-6,1037,6,-3,1
R,1345,7,0.2,1,-7,1036,6,-3,1
R,1385,6,0.2,2,-6,1036,5,-3,1
R,1425,2,0.2,2,-6,1037,5,-3,1
R,1465,14,0.2,3,-7,1037,6,-3,1
R,1504,6,0.2,2,-6,1037,6,-3,1
R,1544,14,0.2,0,-6,1037,5,-3,1
R,1585,25,0.2,1,-7,1036,6,-3,1
R,1625,10,0.2,2,-7,1037,5,-3,1
R,1665,10,0.2,2,-7,1036,5,-3,1
R,1705,8,0.2,2,-6,1037,5,-3,1
R,1745,14,0.2,1,-6,1037,5,-2,1
R,1785,16,0.2,2,-6,1037,6,-3,1
R,1826,10,0.2,2,-7,1037,5,-2,1
R,1865,8,0.2,2,-7,1037,6,-3,1
R,1905,33,0.2,2,-8,1037,6,-3,1
R,1959,21,0.2,2,-7,1037,5,-3,1
R,1985,19,0.2,3,-6,1037,5,-3,1
R,2025,37,0.3,1,-7,1037,6,-3,1
R,2067,28,0.3,1,-6,1037,5,-3,1
