[dump] RUN #1 heure=20:01:31 src=SEUIL_GPS rollout_ms=200 unit=00001 dyn=8 rate_ms=40 gps=2 pre=15 imuf=err ecu=HP statut=TERMINE
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-700,40,0.0,0,0,0,0,0,0
R,-656,40,0.0,0,0,0,0,0,0
R,-587,40,0.0,0,0,0,0,0,0
R,-543,40,0.0,0,0,0,0,0,0
R,-499,40,0.0,0,0,0,0,0,0
R,-449,40,0.0,0,0,0,0,0,0
R,-405,40,0.0,0,0,0,0,0,0
R,-361,40,0.0,0,0,0,0,0,0
R,-310,40,0.0,0,0,0,0,0,0
R,-266,40,0.0,0,0,0,0,0,0
R,-222,40,0.0,0,0,0,0,0,0
R,-176,40,0.0,0,0,0,0,0,0
R,-132,40,0.0,0,0,0,0,0,0
R,-88,40,0.0,0,0,0,0,0,0
R,-44,40,0.0,0,0,0,0,0,0
R,70,573,0.3,0,0,0,0,0,0
R,110,740,0.5,0,0,0,0,0,0
R,150,906,0.8,0,0,0,0,0,0
R,190,1073,1.2,0,0,0,0,0,0
R,230,1239,1.6,0,0,0,0,0,0
R,270,1405,2.1,0,0,0,0,0,0
R,310,1572,2.6,0,0,0,0,0,0
R,350,1738,3.2,0,0,0,0,0,0
R,390,1905,3.9,0,0,0,0,0,0
R,430,2071,4.6,0,0,0,0,0,0
R,470,2223,5.4,0,0,0,0,0,0
R,510,2327,6.2,0,0,0,0,0,0
R,550,2431,7.1,0,0,0,0,0,0
R,589,2535,8.0,0,0,0,0,0,0
R,630,2639,8.9,0,0,0,0,0,0
R,670,2743,9.9,0,0,0,0,0,0
R,715,2860,11.1,0,0,0,0,0,0
R,755,2964,12.1,0,0,0,0,0,0
R,795,3068,13.2,0,0,0,0,0,0
R,835,3172,14.4,0,0,0,0,0,0
R,875,3276,15.5,0,0,0,0,0,0
R,915,3380,16.8,0,0,0,0,0,0
R,955,3484,18.0,0,0,0,0,0,0
R,995,3544,19.3,0,0,0,0,0,0
R,1035,3596,20.6,0,0,0,0,0,0
R,1075,3648,21.9,0,0,0,0,0,0
R,1115,3700,23.2,0,0,0,0,0,0
R,1155,3752,24.6,0,0,0,0,0,0
R,1195,3804,26.0,0,0,0,0,0,0
R,1235,3856,27.4,0,0,0,0,0,0
R,1275,3908,28.8,0,0,0,0,0,0
R,1315,3960,30.2,0,0,0,0,0,0
R,1369,4030,32.2,0,0,0,0,0,0
R,1409,4082,33.7,0,0,0,0,0,0
R,1449,4134,35.2,0,0,0,0,0,0
R,1489,4186,36.7,0,0,0,0,0,0
R,1530,4240,38.3,0,0,0,0,0,0
R,1570,4292,39.8,0,0,0,0,0,0
R,1610,4344,41.4,0,0,0,0,0,0
R,1650,4396,43.0,0,0,0,0,0,0
R,1690,4448,44.6,0,0,0,0,0,0
R,1730,4500,46.2,0,0,0,0,0,0
R,1770,4552,47.9,0,0,0,0,0,0
R,1810,4604,49.5,0,0,0,0,0,0
R,1850,4656,51.2,0,0,0,0,0,0
R,1890,4708,52.9,0,0,0,0,0,0
R,1930,4760,54.7,0,0,0,0,0,0
R,1970,4822,56.4,0,0,0,0,0,0
R,2017,4938,58.5,0,0,0,0,0,0
R,2057,5037,60.3,0,0,0,0,0,0
R,2097,5135,62.2,0,0,0,0,0,0
R,2137,5234,64.1,0,0,0,0,0,0
R,2177,5333,66.0,0,0,0,0,0,0
R,2217,5431,68.0,0,0,0,0,0,0
R,2257,5530,70.0,0,0,0,0,0,0
R,2297,5629,72.0,0,0,0,0,0,0
R,2337,5727,74.1,0,0,0,0,0,0
R,2376,5826,76.1,0,0,0,0,0,0
R,2417,5925,78.3,0,0,0,0,0,0
R,2457,6023,80.5,0,0,0,0,0,0
