[dump] RUN #1 heure=19:08:44 src=SEUIL_GPS rollout_ms=0 unit=00003 dyn=4 rate_ms=40 gps=1 pre=15 imuf=2/7 ecu=HP statut=TERMINE
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-962,40,0.0,-28,-70,1036,3,0,0
R,-900,40,0.0,-29,-71,1036,3,0,0
R,-839,40,0.0,-28,-70,1036,3,0,0
R,-770,40,0.0,-28,-70,1036,3,0,0
R,-708,40,0.0,-28,-70,1036,3,0,0
R,-649,40,0.0,-28,-70,1036,3,0,0
R,-587,40,0.0,-28,-69,1036,3,0,0
R,-516,40,0.0,-27,-71,1037,3,0,0
R,-458,40,0.0,-28,-70,1037,3,0,0
R,-396,40,0.0,-29,-70,1036,3,0,0
R,-338,40,0.0,-28,-69,1036,3,0,0
R,-266,40,0.0,-28,-70,1036,3,0,0
R,-204,40,0.0,-28,-70,1037,3,0,0
R,-145,40,0.0,-29,-70,1037,3,0,0
R,-72,40,0.0,-29,-70,1036,3,0,0
R,78,644,0.3,-27,-70,1036,3,0,0
R,119,811,0.6,-28,-71,1036,3,0,0
R,159,977,0.9,-28,-69,1036,3,0,0
R,199,1143,1.3,-28,-70,1036,3,0,0
R,239,1310,1.8,-28,-70,1036,3,0,0
R,278,1476,2.3,-28,-70,1036,3,0,0
R,319,1643,2.9,-29,-70,1036,3,0,0
R,359,1809,3.5,-29,-70,1036,3,0,0
R,398,1975,4.2,-28,-70,1037,3,0,0
R,439,2142,4.9,-28,-70,1036,3,0,0
R,478,2268,5.7,-28,-70,1036,3,0,0
R,519,2372,6.6,-27,-70,1037,3,0,0
R,559,2476,7.5,-28,-70,1036,3,0,0
R,599,2580,8.4,-28,-70,1036,3,0,0
R,638,2684,9.3,-28,-70,1036,3,0,0
R,679,2788,10.3,-28,-70,1036,3,0,0
R,719,2892,11.4,-28,-70,1036,3,0,0
R,759,2996,12.4,-28,-70,1036,3,0,0
R,799,3100,13.6,-28,-69,1035,3,0,0
R,839,3204,14.7,-28,-69,1035,3,0,0
R,879,3308,15.9,-28,-70,1036,3,0,0
R,919,3412,17.1,-28,-69,1036,3,0,0
R,958,3508,18.3,-28,-70,1035,3,0,0
R,999,3560,19.7,-28,-70,1035,3,0,0
R,1039,3612,21.0,-28,-70,1035,3,0,0
R,1078,3664,22.3,-29,-70,1035,3,0,0
R,1119,3716,23.6,-29,-69,1035,3,0,0
R,1159,3768,25.0,-29,-70,1036,3,0,0
R,1199,3820,26.4,-28,-70,1036,3,0,0
R,1239,3872,27.8,-28,-70,1036,3,0,0
R,1279,3924,29.2,-28,-71,1036,3,0,0
R,1319,3976,30.7,-28,-70,1036,3,0,0
R,1359,4028,32.1,-28,-69,1036,3,0,0
R,1399,4080,33.6,-28,-69,1036,3,0,0
R,1439,4132,35.1,-28,-70,1036,3,0,0
R,1479,4184,36.6,-29,-69,1036,3,0,0
R,1518,4236,38.1,-28,-70,1036,3,0,0
R,1559,4288,39.7,-27,-69,1036,3,0,0
R,1598,4340,41.2,-27,-70,1036,3,0,0
R,1639,4392,42.9,-28,-70,1035,3,0,0
R,1679,4444,44.5,-28,-70,1035,3,0,0
R,1719,4496,46.1,-28,-70,1035,3,0,0
R,1758,4548,47.7,-28,-69,1035,3,0,0
R,1798,4600,49.4,-28,-69,1035,3,0,0
R,1839,4652,51.1,-28,-70,1035,3,0,0
R,1878,4704,52.8,-28,-70,1035,3,0,0
R,1919,4756,54.5,-27,-70,1035,3,0,0
R,1959,4815,56.3,-27,-70,1035,3,0,0
R,1999,4913,58.0,-28,-70,1036,3,0,0
R,2039,5012,59.9,-28,-70,1035,3,0,0
R,2079,5111,61.7,-28,-69,1034,3,0,0
R,2119,5209,63.6,-29,-70,1035,3,0,0
R,2159,5308,65.5,-29,-70,1035,3,0,0
R,2199,5407,67.5,-29,-70,1035,3,0,0
R,2239,5505,69.4,-28,-70,1035,3,0,0
R,2279,5604,71.5,-29,-69,1035,3,0,0
R,2318,5703,73.5,-28,-70,1034,3,0,0
R,2359,5801,75.6,-29,-69,1036,3,0,0
R,2398,5900,77.7,-29,-70,1034,3,0,0
R,2439,5999,79.9,-28,-70,1035,3,0,0
R,2479,6097,82.1,-29,-69,1035,3,0,0
R,2519,6196,84.4,-29,-70,1035,3,0,0
R,2558,6295,86.6,-28,-69,1036,3,0,0
R,2599,6393,89.0,-28,-70,1035,3,0,0
R,2638,6492,91.3,-28,-70,1035,3,0,0
R,2679,6591,93.7,-28,-70,1035,3,0,0
R,2719,6689,96.1,-28,-70,1035,3,0,0
R,2759,6788,98.6,-28,-69,1034,3,0,0
R,2799,6887,101.1,-28,-69,1035,3,0,0
R,2839,6985,103.6,-28,-70,1035,3,0,0
R,2879,7084,106.2,-28,-70,1035,3,0,0
R,2919,7183,108.8,-29,-70,1035,3,0,0
R,2959,7281,111.4,-28,-70,1035,3,0,0
R,2999,7380,114.1,-28,-69,1035,3,0,0
R,3039,7479,116.8,-28,-69,1035,3,0,0
R,3079,7577,119.5,-27,-69,1035,3,0,0
R,3119,7676,122.3,-29,-71,1035,3,0,0
R,3159,7775,125.1,-28,-70,1035,3,0,0
R,3199,7873,128.0,-28,-70,1036,3,0,0
R,3238,7972,130.8,-28,-70,1036,3,0,0
