[dump] RUN #1 heure=19:03:47 src=ENTREE_PIN rollout_ms=0 unit=00003 dyn=4 rate_ms=40 gps=1 pre=15 imuf=2/7 ecu=HP statut=ABANDON
[dump] CAL cal=0 gxo_cdps=0 gyo_cdps=0 gzo_cdps=0 cal_tempC=0 run_tempC=29
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-974,0,0.0,-3,-29,1038,4,0,0
R,-912,0,0.0,-3,-28,1038,3,0,0
R,-840,0,0.0,-2,-29,1040,4,0,0
R,-780,0,0.0,-3,-29,1039,3,0,0
R,-719,0,0.0,-3,-28,1039,4,0,0
R,-659,0,0.0,-3,-29,1039,3,0,0
R,-587,0,0.0,-3,-29,1040,4,0,0
R,-525,0,0.0,-3,-29,1038,3,0,0
R,-465,0,0.0,-2,-29,1039,4,0,0
R,-391,0,0.0,-2,-29,1039,3,0,0
R,-318,0,0.0,-3,-29,1039,3,0,0
R,-256,0,0.0,-3,-28,1039,4,0,0
R,-194,0,0.0,-2,-29,1039,3,0,0
R,-134,0,0.0,-3,-28,1039,3,0,0
R,-62,0,0.0,-3,-28,1040,2,0,0
R,78,0,0.0,-3,-28,1039,-2,0,0
R,110,0,0.0,-3,-29,1039,1,0,0
R,150,0,0.0,-2,-28,1040,5,0,0
R,190,0,0.0,-1,-29,1039,3,0,0
R,230,0,0.0,-3,-30,1039,2,0,0
R,270,0,0.0,-3,-29,1039,3,0,-1
R,310,0,0.0,-3,-30,1039,4,0,-1
R,350,0,0.0,-2,-29,1039,3,0,0
R,390,0,0.0,-3,-28,1039,4,0,0
R,430,0,0.0,-3,-28,1039,3,0,-1
R,470,0,0.0,-2,-29,1039,3,0,0
R,512,0,0.0,-3,-29,1040,4,0,0
R,551,0,0.0,-3,-28,1038,3,0,0
R,600,0,0.0,-3,-28,1039,3,0,0
R,632,0,0.0,-3,-29,1040,3,0,0
R,671,0,0.0,-2,-29,1040,3,0,0
R,710,0,0.0,-2,-29,1039,3,0,0
R,751,0,0.0,-2,-28,1039,3,0,-1
R,791,0,0.0,-2,-28,1039,3,0,0
R,830,0,0.0,-2,-29,1039,3,0,0
R,870,0,0.0,-3,-28,1039,4,0,0
R,910,0,0.0,-3,-29,1039,3,0,0
R,950,0,0.0,-3,-29,1039,4,0,-1
R,990,0,0.0,-3,-29,1039,3,0,-1
R,1030,0,0.0,-3,-29,1038,3,0,0
R,1070,0,0.0,-3,-29,1038,3,0,0
R,1110,0,0.0,-4,-29,1039,3,0,-1
R,1150,0,0.0,-3,-29,1038,4,0,0
R,1190,0,0.0,-1,-30,1038,3,0,0
R,1232,0,0.0,-2,-29,1038,3,0,0
R,1270,0,0.0,-2,-29,1038,3,0,0
R,1310,0,0.0,-3,-28,1039,4,0,0
R,1351,0,0.0,-2,-28,1039,3,0,0
R,1391,0,0.0,-2,-29,1038,3,0,-1
R,1430,0,0.0,-3,-29,1038,3,0,0
R,1471,0,0.0,-3,-29,1038,3,0,0
R,1511,0,0.0,-2,-28,1039,3,0,0
R,1551,0,0.0,-2,-29,1039,3,0,0
R,1600,0,0.0,-3,-29,1038,3,0,-1
R,1630,0,0.0,-3,-29,1039,3,0,0
R,1670,0,0.0,-3,-29,1038,3,0,-1
R,1710,0,0.0,-2,-29,1038,3,0,-1
R,1750,0,0.0,-3,-29,1039,3,0,0
R,1790,0,0.0,-2,-29,1038,3,0,-1
R,1830,0,0.0,-2,-29,1038,3,0,-1
R,1870,0,0.0,-3,-30,1038,3,0,0
R,1910,0,0.0,-3,-28,1038,3,0,0
R,1952,0,0.0,-1,-29,1039,3,0,0
R,1990,0,0.0,-3,-29,1039,3,0,0
R,2030,0,0.0,-2,-29,1038,3,0,0
R,2071,0,0.0,-3,-29,1039,3,0,0
R,2111,0,0.0,-3,-28,1038,3,0,-1
R,2150,0,0.0,-3,-29,1038,3,0,0
R,2191,0,0.0,-3,-29,1038,3,0,0
R,2230,0,0.0,-2,-28,1037,3,0,0
R,2270,0,0.0,-3,-28,1037,3,0,0
R,2310,0,0.0,-4,-30,1038,3,0,0
R,2351,0,0.0,-2,-29,1038,3,0,0
R,2390,0,0.0,-2,-29,1037,3,0,0
R,2430,0,0.0,-3,-28,1037,3,0,0
R,2470,0,0.0,-3,-29,1038,3,0,0
R,2510,0,0.0,-3,-29,1038,3,0,-1
R,2551,0,0.0,-3,-29,1038,4,0,0
R,2600,0,0.0,-3,-28,1037,3,0,0
R,2630,0,0.0,-3,-28,1038,4,0,-1
R,2672,0,0.0,-2,-29,1038,3,0,-1
R,2710,0,0.0,-3,-29,1038,3,0,0
R,2750,0,0.0,-3,-29,1037,3,0,-1
R,2791,0,0.0,-3,-29,1037,3,0,-1
R,2831,0,0.0,-3,-28,1037,3,0,0
R,2870,0,0.0,-3,-30,1038,3,0,0
R,2910,0,0.0,-3,-28,1038,3,0,-1
R,2950,0,0.0,-2,-29,1037,3,0,0
R,2990,0,0.0,-3,-29,1038,3,0,0
R,3030,0,0.0,-3,-28,1037,3,0,-1
R,3070,0,0.0,-3,-29,1038,3,0,0
R,3110,0,0.0,-4,-28,1037,3,0,-1
R,3150,0,0.0,-3,-29,1037,3,0,0
R,3190,0,0.0,-3,-29,1037,3,0,0
R,3230,0,0.0,-3,-29,1037,3,0,0
R,3270,0,0.0,-4,-29,1037,4,0,0
R,3310,0,0.0,-3,-29,1037,3,0,0
R,3350,0,0.0,-3,-29,1038,3,0,0
R,3391,0,0.0,-3,-29,1037,3,0,-1
R,3431,0,0.0,-3,-29,1037,3,0,0
R,3470,0,0.0,-3,-29,1038,4,0,0
R,3511,0,0.0,-2,-29,1037,3,0,0
R,3551,0,0.0,-3,-29,1037,2,0,0
R,3601,0,0.0,-3,-29,1038,3,0,0
R,3630,0,0.0,-4,-29,1037,3,0,0
R,3670,0,0.0,-3,-29,1037,4,0,0
R,3710,0,0.0,-2,-29,1037,4,0,0
R,3750,0,0.0,-3,-28,1038,3,0,-1
R,3790,0,0.0,-3,-30,1037,3,0,0
R,3830,0,0.0,-3,-29,1037,3,0,0
R,3870,0,0.0,-3,-29,1037,3,0,0
R,3910,0,0.0,-2,-30,1038,4,0,0
R,3950,0,0.0,-3,-28,1037,3,0,0
R,3992,0,0.0,-2,-29,1037,4,0,0
R,4030,0,0.0,-3,-28,1037,4,0,0
R,4070,0,0.0,-3,-28,1037,2,0,0
R,4111,0,0.0,-3,-28,1038,3,0,0
R,4151,0,0.0,-3,-28,1038,3,0,0
R,4190,0,0.0,-4,-29,1038,3,0,0
R,4231,0,0.0,-2,-29,1038,3,0,0
R,4270,0,0.0,-2,-29,1039,4,0,0
R,4310,0,0.0,-3,-29,1037,1,0,0
R,4350,0,0.0,-3,-29,1038,4,0,0
R,4390,0,0.0,-3,-29,1039,5,0,0
R,4432,0,0.0,-3,-28,1037,5,0,0
R,4470,0,0.0,-3,-28,1038,5,0,-1
R,4510,0,0.0,-2,-29,1038,3,0,0
R,4551,0,0.0,-3,-29,1037,3,0,0
R,4601,0,0.0,-3,-29,1037,4,0,0
R,4630,0,0.0,-2,-30,1038,3,0,-1
R,4670,0,0.0,-4,-28,1037,3,0,-1
R,4712,0,0.0,-3,-28,1039,4,0,0
R,4750,0,0.0,-3,-28,1040,7,0,-1
R,4790,0,0.0,-3,-29,1038,2,0,-1
R,4831,0,0.0,-2,-28,1038,4,0,0
R,4871,0,0.0,-3,-28,1038,5,0,-1
R,4910,0,0.0,-3,-29,1038,2,0,0
R,4950,0,0.0,-2,-29,1037,4,0,-1
R,4990,0,0.0,-3,-29,1038,3,0,0
R,5030,0,0.0,-3,-29,1038,3,0,0
R,5070,0,0.0,-3,-28,1037,3,0,0
R,5110,0,0.0,-2,-29,1038,4,0,0
R,5150,0,0.0,-3,-29,1037,4,0,0
R,5194,0,0.0,-3,-29,1038,4,0,0
R,5230,0,0.0,-3,-28,1038,3,0,-1
R,5272,0,0.0,-3,-29,1037,4,0,0
R,5310,0,0.0,-3,-30,1039,3,-1,0
R,5350,0,0.0,-3,-29,1037,3,0,-1
R,5393,0,0.0,-2,-29,1037,3,0,-1
R,5430,0,0.0,-3,-28,1037,3,0,-1
R,5470,0,0.0,-3,-29,1037,3,0,0
R,5513,0,0.0,-2,-28,1037,3,0,0
R,5551,0,0.0,-2,-29,1037,3,0,0
R,5605,0,0.0,-3,-29,1038,3,0,0
R,5630,0,0.0,-3,-29,1037,3,0,0
R,5670,0,0.0,-2,-29,1038,3,0,0
R,5713,0,0.0,-4,-29,1038,4,0,0
R,5750,0,0.0,-4,-29,1037,3,0,0
R,5792,0,0.0,-3,-29,1037,3,0,0
R,5830,0,0.0,-3,-29,1037,3,0,0
R,5870,0,0.0,-2,-29,1039,3,0,-1
R,5914,0,0.0,-4,-30,1039,1,0,0
R,5950,0,0.0,-3,-28,1038,5,0,0
R,5990,0,0.0,-2,-30,1037,3,0,0
R,6030,0,0.0,-4,-29,1039,2,0,0
R,6070,0,0.0,-4,-29,1040,4,0,-1
R,6113,0,0.0,-3,-29,1038,4,0,0
R,6150,0,0.0,-3,-29,1038,3,0,-1
R,6193,0,0.0,-2,-30,1038,3,0,-1
R,6230,0,0.0,-2,-30,1038,3,0,-1
R,6270,0,0.0,-3,-28,1038,3,0,-1
R,6313,0,0.0,-3,-28,1038,3,0,0
R,6350,0,0.0,-3,-29,1038,4,0,0
R,6393,0,0.0,-2,-29,1038,4,0,0
R,6430,0,0.0,-3,-29,1039,3,0,0
R,6472,0,0.0,-3,-29,1039,3,0,0
R,6514,0,0.0,-3,-29,1037,3,0,0
R,6551,0,0.0,-2,-28,1038,3,0,0
R,6602,0,0.0,-2,-29,1038,3,0,0
R,6630,0,0.0,-3,-28,1038,4,0,0
R,6671,0,0.0,-3,-29,1039,3,0,0
R,6710,0,0.0,-3,-29,1039,3,0,0
R,6750,0,0.0,-3,-29,1038,3,0,0
R,6793,0,0.0,-3,-28,1037,3,0,0
R,6830,0,0.0,-3,-29,1038,3,0,0
R,6870,0,0.0,-2,-29,1038,3,0,0
R,6910,0,0.0,-2,-30,1038,3,0,0
R,6950,0,0.0,-3,-30,1038,3,0,0
R,6993,0,0.0,-4,-29,1037,3,0,0
R,7030,0,0.0,-3,-28,1038,3,0,0
R,7070,0,0.0,-2,-30,1039,3,0,-1
R,7112,0,0.0,-2,-29,1039,3,0,0
R,7150,0,0.0,-3,-29,1038,3,0,0
R,7193,0,0.0,-3,-29,1038,3,0,0
R,7230,0,0.0,-3,-29,1038,3,0,-1
R,7271,0,0.0,-2,-29,1038,3,0,-1
R,7310,0,0.0,-3,-29,1039,3,0,0
R,7350,0,0.0,-3,-29,1039,3,0,0
R,7393,0,0.0,-3,-29,1039,3,0,0
R,7430,0,0.0,-3,-29,1039,3,0,0
R,7470,0,0.0,-3,-29,1038,4,0,0
R,7513,0,0.0,-2,-29,1039,3,0,0
R,7551,0,0.0,-3,-29,1038,3,0,-1
R,7602,0,0.0,-3,-28,1038,3,0,0
R,7630,0,0.0,-3,-29,1039,3,0,-1
R,7670,0,0.0,-3,-29,1038,3,0,0
R,7710,0,0.0,-3,-29,1038,3,0,0
R,7750,0,0.0,-3,-29,1038,4,0,0
R,7790,0,0.0,-2,-30,1038,3,0,0
R,7830,0,0.0,-3,-28,1039,4,0,0
R,7870,0,0.0,-3,-28,1038,3,0,0
R,7910,0,0.0,-2,-29,1039,3,0,0
R,7951,0,0.0,-3,-29,1038,3,0,0
R,7990,0,0.0,-3,-28,1038,3,0,0
R,8030,0,0.0,-4,-28,1038,3,0,0
R,8070,0,0.0,-3,-29,1038,3,0,0
R,8110,0,0.0,-3,-28,1038,3,0,-1
R,8150,0,0.0,-3,-29,1038,3,0,0
R,8190,0,0.0,-3,-29,1038,3,0,0
R,8230,0,0.0,-3,-29,1038,3,0,0
R,8270,0,0.0,-3,-29,1039,3,0,0
R,8310,0,0.0,-3,-29,1039,3,0,0
R,8350,0,0.0,-2,-28,1038,3,0,0
R,8390,0,0.0,-3,-29,1038,4,0,0
R,8431,0,0.0,-3,-29,1039,3,0,0
R,8470,0,0.0,-3,-29,1038,3,0,0
R,8510,0,0.0,-2,-29,1039,3,0,0
R,8551,0,0.0,-3,-28,1038,3,0,0
R,8600,0,0.0,-4,-28,1038,3,0,-1
R,8631,0,0.0,-1,-28,1038,3,0,0
R,8670,0,0.0,-3,-29,1038,3,0,0
R,8710,0,0.0,-2,-29,1038,3,0,0
R,8750,0,0.0,-3,-29,1038,3,0,-1
R,8790,0,0.0,-2,-29,1038,3,-1,0
R,8830,0,0.0,-3,-30,1039,3,0,0
R,8870,0,0.0,-3,-29,1039,4,0,0
R,8910,0,0.0,-3,-28,1038,3,0,0
R,8950,0,0.0,-2,-29,1039,3,0,-1
R,8990,0,0.0,-4,-29,1038,3,0,0
R,9030,0,0.0,-3,-29,1038,3,0,0
R,9070,0,0.0,-3,-29,1038,3,0,-1
R,9110,0,0.0,-2,-29,1038,3,0,0
R,9150,0,0.0,-3,-29,1038,3,0,0
R,9190,0,0.0,-3,-28,1038,3,0,-1
R,9230,0,0.0,-2,-29,1038,3,0,0
R,9270,0,0.0,-2,-29,1038,3,0,0
R,9310,0,0.0,-2,-30,1038,3,0,0
R,9350,0,0.0,-3,-29,1038,3,0,0
R,9390,0,0.0,-3,-29,1038,3,0,0
R,9430,0,0.0,-3,-29,1038,3,0,0
R,9470,0,0.0,-3,-29,1038,3,0,0
R,9510,0,0.0,-4,-28,1038,4,0,0
R,9551,0,0.0,-3,-29,1037,3,0,0
R,9600,0,0.0,-3,-28,1038,3,0,-1
R,9630,0,0.0,-4,-29,1038,3,0,0
R,9670,0,0.0,-3,-29,1038,3,0,0
R,9710,0,0.0,-3,-28,1038,3,0,0
R,9750,0,0.0,-4,-29,1038,3,0,0
R,9790,0,0.0,-3,-29,1039,4,0,0
R,9830,0,0.0,-3,-30,1038,3,0,-1
R,9870,0,0.0,-3,-29,1038,4,0,0
R,9910,0,0.0,-2,-28,1038,3,0,0
R,9950,0,0.0,-3,-29,1038,3,0,0
R,9990,0,0.0,-3,-29,1038,3,0,0
R,10030,0,0.0,-3,-29,1038,3,0,0
R,10070,0,0.0,-2,-30,1038,3,0,0
R,10110,0,0.0,-3,-30,1038,3,0,0
R,10150,0,0.0,-3,-30,1038,3,0,0
R,10191,0,0.0,-3,-29,1038,3,0,0
R,10230,0,0.0,-2,-30,1038,3,0,-1
R,10270,0,0.0,-3,-29,1038,3,0,0
R,10310,0,0.0,-3,-28,1038,3,0,0
R,10352,0,0.0,-2,-29,1038,3,0,0
R,10390,0,0.0,-3,-29,1038,3,0,0
R,10430,0,0.0,-3,-29,1038,3,0,0
R,10472,0,0.0,-3,-29,1038,3,0,0
R,10510,0,0.0,-3,-29,1038,3,0,0
R,10551,0,0.0,-3,-29,1038,3,0,0
R,10601,0,0.0,-3,-29,1038,3,0,-1
R,10630,0,0.0,-3,-30,1038,3,0,0
R,10670,0,0.0,-3,-29,1038,3,0,0
R,10710,0,0.0,-4,-29,1039,4,0,0
R,10750,0,0.0,-3,-29,1037,3,0,0
R,10790,0,0.0,-3,-29,1039,3,0,0
R,10830,0,0.0,-2,-30,1038,3,0,0
R,10870,0,0.0,-3,-29,1038,3,0,0
R,10911,0,0.0,-3,-30,1038,3,0,0
R,10950,0,0.0,-3,-29,1038,3,0,0
R,10990,0,0.0,-3,-29,1038,3,0,0
R,11030,0,0.0,-2,-29,1038,3,0,0
R,11072,0,0.0,-4,-29,1038,3,0,0
R,11110,0,0.0,-3,-29,1038,3,0,0
R,11150,0,0.0,-2,-29,1038,3,0,0
R,11191,0,0.0,-3,-29,1038,3,0,0
R,11230,0,0.0,-3,-30,1038,3,0,-1
R,11270,0,0.0,-3,-29,1038,3,0,0
R,11311,0,0.0,-3,-29,1038,3,0,0
R,11350,0,0.0,-2,-29,1038,3,0,0
R,11390,0,0.0,-3,-29,1038,3,0,0
R,11430,0,0.0,-3,-29,1038,3,0,0
R,11470,0,0.0,-3,-28,1038,3,0,-1
R,11511,0,0.0,-3,-28,1038,3,0,0
R,11551,0,0.0,-3,-28,1037,3,0,0
