[dump] RUN #1 heure=10:34:20 src=SEUIL_GPS rollout_ms=0 unit=FREDB dyn=7 rate_ms=40 gps=1 pre=13 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=1 gxo_cdps=35 gyo_cdps=-37 gzo_cdps=-8 cal_tempC=47 run_tempC=46
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1401,40,0.0,12,-137,1022,2,-3,-7
R,-1295,40,0.0,14,-138,1021,5,-2,-8
R,-1187,40,0.0,12,-134,1021,4,-3,-8
R,-1079,40,0.0,14,-138,1022,3,-2,-8
R,-971,40,0.0,12,-135,1022,4,-3,-8
R,-862,40,0.0,12,-135,1021,3,-3,-8
R,-754,40,0.0,13,-138,1022,4,-3,-8
R,-649,40,0.0,13,-136,1020,4,-2,-8
R,-540,40,0.0,12,-134,1021,3,-3,-8
R,-432,40,0.0,13,-137,1022,4,-2,-8
R,-323,40,0.0,12,-135,1022,3,-3,-8
R,-217,40,0.0,14,-137,1021,3,-3,-8
R,-109,40,0.0,14,-136,1022,4,-3,-8
R,125,1369,0.9,12,-138,1021,4,-3,-8
R,165,1711,1.5,13,-136,1022,4,-3,-8
R,206,2053,2.2,13,-136,1021,4,-3,-8
R,246,2395,3.0,14,-135,1021,4,-3,-8
R,286,2737,4.0,13,-135,1022,4,-3,-8
R,326,3079,5.0,12,-136,1021,3,-3,-8
R,366,3421,6.2,12,-137,1022,4,-3,-8
R,406,3764,7.5,12,-136,1021,4,-3,-8
R,446,4106,8.9,12,-136,1021,4,-3,-8
R,486,4448,10.5,13,-136,1021,4,-3,-8
R,526,4790,12.2,13,-136,1021,4,-3,-8
R,566,5132,14.0,13,-135,1020,3,-3,-8
R,606,5474,15.9,13,-135,1021,4,-3,-8
R,646,5816,18.0,13,-136,1021,3,-2,-8
R,686,6051,20.2,14,-135,1022,4,-2,-8
R,726,6107,22.4,13,-136,1020,4,-3,-8
R,766,6164,24.6,12,-135,1019,4,-3,-8
R,806,6220,26.9,12,-135,1019,4,-3,-8
R,846,6276,29.1,13,-136,1021,4,-3,-8
R,886,6332,31.4,12,-136,1020,4,-3,-8
R,926,6388,33.8,12,-136,1020,4,-3,-8
R,966,6445,36.1,13,-137,1021,4,-3,-8
R,1006,6501,38.5,13,-137,1021,4,-3,-8
R,1046,6557,40.8,13,-135,1020,4,-2,-8
R,1086,6613,43.2,13,-135,1022,4,-3,-8
R,1126,6670,45.7,12,-135,1021,3,-3,-8
R,1166,6726,48.1,13,-136,1021,4,-3,-8
R,1206,6782,50.6,13,-136,1020,3,-2,-8
R,1246,6838,53.0,12,-136,1021,3,-3,-8
R,1285,6895,55.5,13,-136,1021,4,-3,-8
R,1326,6951,58.1,13,-135,1022,4,-3,-8
R,1366,7007,60.6,13,-136,1022,4,-3,-8
R,1405,7064,63.1,13,-136,1022,4,-3,-8
R,1446,7120,65.8,12,-135,1021,4,-3,-8
R,1486,7176,68.4,14,-135,1021,4,-3,-8
R,1526,7233,71.0,14,-137,1021,4,-2,-8
R,1566,7289,73.6,14,-136,1021,4,-3,-8
R,1606,7346,76.3,13,-136,1022,3,-3,-8
R,1646,7402,79.0,12,-136,1021,4,-3,-8
R,1685,7459,81.6,13,-136,1022,4,-2,-8
R,1726,7515,84.4,13,-136,1021,4,-3,-8
R,1766,7572,87.2,13,-137,1022,4,-3,-8
R,1806,7628,90.0,14,-137,1023,4,-3,-8
R,1846,7685,92.7,13,-136,1023,4,-3,-8
R,1886,7741,95.6,12,-136,1023,4,-3,-8
R,1926,7798,98.4,13,-135,1022,4,-2,-8
R,1966,7854,101.2,13,-135,1022,4,-3,-8
R,2006,7910,104.1,14,-136,1022,3,-2,-8
R,2046,7967,107.0,14,-138,1023,4,-3,-8
R,2086,8023,109.9,13,-138,1023,4,-3,-8
R,2126,8080,112.9,13,-136,1022,4,-3,-8
R,2166,8136,115.8,13,-135,1022,4,-3,-8
R,2206,8193,118.8,12,-135,1023,4,-3,-7
R,2246,8249,121.8,14,-134,1022,3,-3,-8
R,2286,8306,124.8,13,-135,1023,3,-3,-8
R,2326,8362,127.8,12,-138,1022,2,-3,-8
R,2366,8419,130.9,13,-143,1024,5,-3,-8
R,2406,8475,134.0,12,-139,1023,5,-2,-9
R,2446,8532,137.1,13,-135,1020,6,-3,-8
R,2486,8588,140.2,12,-131,1020,4,-3,-8
R,2526,8644,143.3,11,-131,1022,4,-3,-8
R,2566,8701,146.5,14,-132,1019,2,-3,-8
R,2606,8757,149.7,13,-137,1020,1,-2,-8
R,2646,8814,152.9,12,-141,1021,3,-3,-8
R,2686,8870,156.1,14,-141,1021,4,-3,-8
R,2725,8927,159.3,12,-139,1020,6,-2,-8
R,2766,8983,162.6,12,-131,1020,5,-3,-8
R,2806,9040,165.9,13,-133,1023,4,-3,-8
R,2846,9096,169.2,13,-133,1021,3,-3,-8
R,2886,9182,172.5,12,-133,1021,2,-3,-8
R,2926,9311,175.9,13,-140,1021,2,-3,-8
R,2965,9440,179.2,15,-141,1020,3,-2,-8
R,3006,9569,182.8,13,-138,1022,5,-2,-8
R,3046,9698,186.3,14,-135,1021,5,-2,-8
R,3086,9827,189.9,13,-132,1021,4,-3,-8
R,3126,9956,193.5,12,-131,1021,3,-3,-8
R,3166,10085,197.1,13,-135,1021,2,-3,-7
R,3206,10214,200.8,12,-137,1021,3,-3,-8
R,3246,10343,204.6,13,-139,1022,3,-3,-8
R,3286,10473,208.4,13,-140,1022,4,-3,-8
R,3326,10602,212.2,13,-137,1021,5,-2,-8
R,3366,10731,216.1,12,-134,1022,5,-3,-8
R,3406,10860,220.0,12,-132,1021,3,-3,-8
R,3446,10989,224.0,13,-133,1021,3,-3,-8
R,3486,11118,228.0,12,-137,1022,3,-3,-7
R,3526,11247,232.1,13,-138,1022,3,-3,-8
R,3566,11376,236.2,12,-138,1022,4,-3,-8
R,3606,11505,240.4,13,-137,1021,4,-3,-8
R,3645,11634,244.5,14,-135,1021,5,-2,-8
R,3686,11763,248.9,13,-133,1021,4,-2,-8
R,3726,11893,253.2,12,-133,1020,4,-3,-8
R,3766,12022,257.6,12,-137,1022,2,-3,-8
R,3806,12151,262.0,13,-138,1022,3,-3,-8
R,3846,12280,266.4,13,-139,1022,4,-3,-8
