[dump] RUN #1 heure=10:39:46 src=SEUIL_GPS rollout_ms=0 unit=FREDB dyn=7 rate_ms=40 gps=1 pre=10 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=1 gxo_cdps=37 gyo_cdps=-37 gzo_cdps=24 cal_tempC=47 run_tempC=44
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1404,40,0.0,16,-65,1023,3,-3,2
R,-1267,40,0.0,19,-73,1027,4,-3,1
R,-1124,40,0.0,18,-62,1022,5,-2,1
R,-984,40,0.0,19,-68,1021,3,-3,1
R,-842,40,0.0,17,-73,1023,7,-3,0
R,-704,40,0.0,17,-62,1031,3,-2,1
R,-562,40,0.0,20,-79,1029,4,-2,1
R,-422,40,0.0,18,-65,1027,5,-3,0
R,-279,40,0.0,19,-73,1030,2,-3,2
R,-142,40,0.0,20,-71,1030,5,-3,1
R,148,1617,1.3,15,-72,1024,0,-3,2
R,191,1959,2.0,19,-73,1025,5,-3,1
R,231,2301,2.8,20,-67,1026,6,-3,0
R,271,2643,3.7,16,-67,1022,4,-2,1
R,311,2985,4.7,18,-68,1020,5,-3,1
R,350,3327,5.8,21,-72,1028,2,-3,1
R,391,3669,7.1,18,-73,1023,5,-3,1
R,431,4012,8.5,17,-67,1027,4,-2,0
R,471,4354,10.1,21,-62,1023,3,-3,1
R,511,4696,11.7,18,-63,1026,1,-3,2
R,553,5055,13.6,15,-66,1021,2,-3,1
R,593,5397,15.5,19,-71,1026,2,-3,1
R,633,5739,17.5,21,-75,1026,2,-3,1
R,673,6038,19.7,17,-81,1024,5,-3,1
R,713,6095,21.9,19,-74,1023,8,-2,0
R,753,6151,24.1,21,-63,1026,9,-2,0
R,793,6207,26.4,15,-59,1023,5,-3,2
R,833,6263,28.6,16,-57,1024,5,-3,2
R,873,6320,30.9,20,-63,1026,1,-3,2
R,913,6376,33.2,20,-71,1024,1,-3,2
R,953,6432,35.6,18,-82,1025,1,-3,2
R,993,6488,37.9,21,-79,1027,5,-3,1
R,1033,6545,40.3,20,-77,1027,7,-2,0
R,1073,6601,42.7,16,-68,1019,9,-3,0
R,1113,6657,45.1,19,-63,1034,4,-2,0
R,1153,6713,47.6,18,-61,1028,3,-3,1
R,1192,6769,50.0,17,-62,1024,2,-3,2
R,1233,6826,52.5,17,-66,1020,0,-3,2
R,1273,6882,55.0,20,-72,1024,3,-3,2
R,1313,6938,57.5,19,-73,1024,2,-3,2
R,1353,6994,60.1,18,-75,1022,4,-3,1
R,1393,7051,62.6,20,-70,1025,5,-3,1
R,1433,7107,65.2,18,-67,1025,5,-3,1
R,1473,7164,67.8,18,-69,1025,4,-3,1
R,1513,7220,70.4,19,-68,1021,5,-3,0
R,1553,7277,73.1,19,-68,1029,4,-2,1
R,1593,7333,75.7,17,-66,1020,5,-3,1
R,1633,7390,78.4,17,-66,1026,4,-2,2
R,1672,7446,81.0,20,-67,1024,3,-3,1
R,1713,7503,83.8,19,-66,1021,5,-3,1
R,1753,7559,86.6,16,-68,1025,2,-3,2
R,1793,7615,89.3,18,-71,1025,2,-3,2
R,1833,7672,92.1,20,-72,1025,4,-3,1
R,1872,7728,94.9,18,-70,1023,5,-3,1
R,1913,7785,97.8,20,-68,1025,4,-3,1
R,1953,7841,100.6,18,-65,1024,5,-3,1
R,1993,7898,103.5,16,-70,1026,2,-2,1
R,2033,7954,106.4,19,-70,1029,5,-3,1
R,2073,8011,109.3,18,-73,1027,5,-3,1
R,2113,8067,112.2,17,-69,1024,3,-3,1
R,2153,8124,115.2,20,-70,1024,5,-3,1
R,2193,8180,118.1,18,-67,1028,5,-3,1
R,2233,8237,121.1,15,-64,1021,4,-3,1
R,2273,8293,124.1,18,-69,1024,2,-3,1
R,2313,8349,127.2,19,-69,1027,4,-3,2
R,2352,8406,130.2,18,-72,1026,3,-3,1
R,2393,8462,133.3,19,-68,1024,4,-3,1
R,2433,8519,136.4,20,-69,1027,4,-3,1
R,2473,8575,139.5,17,-66,1025,4,-3,1
R,2513,8632,142.7,18,-67,1023,4,-3,1
R,2553,8688,145.8,18,-67,1025,3,-3,1
R,2593,8745,149.0,19,-71,1025,3,-3,1
R,2633,8801,152.2,18,-72,1024,3,-3,1
R,2673,8858,155.4,18,-70,1025,5,-3,1
R,2713,8914,158.6,18,-69,1025,4,-3,1
R,2753,8970,161.9,18,-66,1022,5,-3,1
R,2793,9027,165.2,18,-67,1025,4,-2,1
R,2832,9083,168.4,19,-66,1025,3,-3,1
R,2872,9153,171.7,18,-70,1025,3,-3,2
R,2913,9282,175.2,18,-69,1025,3,-3,1
R,2953,9411,178.6,18,-70,1026,4,-3,1
R,2993,9540,182.0,19,-68,1025,4,-3,1
R,3032,9669,185.4,18,-66,1024,4,-3,1
