[dump] RUN #1 heure=12:54:12 src=ENTREE_PIN rollout_ms=0 unit=FREDB dyn=7 rate_ms=40 gps=1 pre=10 imuf=2/7 ecu=HP statut=TERMINE
[dump] CAL cal=1 gxo_cdps=38 gyo_cdps=-43 gzo_cdps=20 cal_tempC=47 run_tempC=48
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1417,1,0.0,142,-35,405,-98,-22,78
R,-1271,10,0.0,81,-111,1345,-107,-189,-88
R,-1131,11,0.0,-24,-127,1237,23,253,2
R,-988,8,0.0,150,-159,1056,219,-164,-73
R,-852,5,0.0,192,-91,920,-134,51,-117
R,-706,9,0.0,-11,-199,499,-19,13,-18
R,-564,6,0.0,216,21,862,6,-19,52
R,-424,1,0.0,68,-277,976,10,79,-67
R,-282,8,0.0,33,-6,568,209,-91,5
R,-142,78,0.0,1390,51,562,18,-143,99
R,149,1454,1.6,1761,25,1087,-247,-93,8
R,165,1681,1.8,1919,98,370,-49,-68,72
R,193,1905,2.3,1798,119,965,89,-79,-18
R,233,2138,3.0,2124,38,393,-131,-173,42
R,272,2352,3.8,1585,-150,796,-2,47,167
R,312,2580,4.7,1887,-64,879,-9,-88,71
R,351,2835,5.7,1970,-111,996,-130,8,0
R,392,3090,6.8,2138,278,339,110,-83,-9
R,432,3325,7.9,2067,59,959,179,39,93
R,470,3610,9.1,2058,-177,1546,25,48,57
R,511,3906,10.5,2211,-51,979,-201,67,51
R,551,4143,12.0,2253,-1,331,-131,-21,36
R,597,4384,13.8,2121,68,1440,-201,-63,-74
R,632,4689,15.2,2135,130,1283,-35,50,40
R,671,4984,17.0,2127,-106,1332,41,56,-39
R,711,5292,18.8,1887,11,978,103,-113,-16
R,751,5581,20.8,2114,-20,819,97,43,111
R,792,5785,22.9,1799,50,471,18,-39,-45
R,831,5982,25.0,1463,-81,884,96,9,-8
R,872,6220,27.3,1728,-10,1158,24,50,-24
R,912,6429,29.6,1708,37,1183,96,59,-68
R,951,6624,31.9,1694,88,1147,76,-22,15
R,991,6839,34.4,1868,352,382,29,-91,-45
R,1046,7065,37.9,1761,34,742,231,-37,75
R,1112,7564,42.3,1735,39,456,89,-93,11
R,1154,7792,45.2,1686,27,767,108,-57,12
R,1191,8002,47.9,1597,-77,926,-80,-105,11
R,1231,8203,50.8,1610,212,893,60,9,-61
R,1270,8401,53.8,955,-65,1156,-36,75,-53
R,1311,8566,56.9,829,-29,977,-25,15,-147
R,1352,8655,60.2,1524,207,929,-70,-4,-297
R,1391,8713,63.2,1619,186,996,-27,9,41
R,1432,8871,66.5,1485,-23,987,-113,16,89
R,1473,9103,69.9,1607,-6,886,-195,-58,175
R,1512,9347,73.2,1637,65,1194,-228,-33,42
R,1552,9585,76.6,1533,-120,847,-15,-35,59
R,1591,9793,80.1,1386,-71,650,-27,119,29
R,1632,9957,83.8,125,-265,768,-32,225,-98
R,1673,10023,87.5,622,413,1018,146,-72,-309
R,1713,10040,91.1,1112,458,1077,-41,-143,-113
R,1751,10078,94.6,1215,-174,924,-132,17,161
R,1790,10214,98.2,897,-168,1499,48,-78,126
R,1831,10388,102.1,1592,-89,840,53,-128,117
R,1872,10563,106.0,1496,-26,1199,-178,-21,25
R,1911,10781,109.8,1555,-163,974,96,42,40
R,1952,11001,113.9,1687,-101,590,82,17,7
R,1991,11224,117.8,1767,-25,744,20,12,83
R,2047,11482,123.6,1429,-119,973,-48,-11,95
R,2112,11905,130.5,1715,53,910,-1,-60,4
R,2154,12051,135.1,1438,70,1052,47,105,84
R,2193,12235,139.4,506,-49,1039,63,310,-45
R,2231,12415,143.7,515,-394,1106,235,37,3
R,2273,12449,148.5,1282,193,540,-51,-95,-182
R,2312,12455,152.9,1504,484,741,-3,22,-14
R,2352,12561,157.4,942,-227,759,-26,21,375
R,2391,12760,161.9,1152,8,1201,-141,-15,86
R,2431,12935,166.6,1451,-115,1098,-8,71,128
R,2471,13105,171.4,1096,-226,1251,85,-1,141
R,2512,13291,176.3,1353,-120,980,-70,-10,-10
R,2551,13454,181.1,1505,113,676,77,-18,-117
R,2596,13614,186.6,1165,73,1207,58,5,-113
R,2632,13780,191.1,1473,162,976,-25,7,-123
R,2671,13938,196.0,1280,-34,1742,11,36,-44
R,2712,14087,201.3,1305,-125,1041,-9,64,39
R,2750,14225,206.2,1098,33,855,69,-39,50
R,2790,14379,211.4,1215,-8,877,-58,-14,21
R,2832,14524,216.9,1374,86,567,-36,49,-35
R,2874,14669,222.5,1129,45,653,94,-67,-3
R,2913,14838,227.7,1123,41,1016,-16,-29,-78
R,2951,14975,232.9,1151,-19,959,11,48,-8
R,2992,15116,238.5,1018,-38,1357,38,-5,23
R,3046,15265,246.0,1331,81,878,229,22,16
R,3112,15545,255.3,675,-116,985,254,136,-34
R,3154,15634,261.2,190,-264,544,34,-92,-51
R,3191,15606,266.5,1164,271,920,-75,-168,-115
R,3230,15629,272.1,965,-102,1278,49,43,88
R,3270,15717,277.8,903,-150,1067,170,1,132
R,3313,15845,284.0,879,11,938,130,-60,35
R,3352,15988,289.6,1102,-135,1231,11,95,52
R,3391,16109,295.3,697,17,860,234,0,-19
R,3431,16233,301.2,1070,-16,1306,139,19,12
R,3471,16324,307.1,774,-50,1385,203,177,1
R,3511,16410,313.1,824,-32,1094,9,79,5
R,3551,16490,319.1,116,-201,1088,40,67,-37
R,3591,16557,325.1,591,-129,992,11,-106,13
R,3631,16590,331.2,809,19,1211,36,-13,14
R,3671,16611,337.2,467,-38,1015,7,5,6
R,3711,16684,343.3,510,-180,1107,-96,-4,-11
R,3750,16746,349.2,287,-74,648,10,49,-42
R,3792,16800,355.7,243,38,865,-165,-45,-115
R,3831,16842,361.6,120,31,589,-193,62,-105
R,3871,16857,367.8,-101,68,513,-257,-59,-33
R,3912,16851,374.1,84,-41,1042,-197,-16,86
R,3952,16813,380.2,-44,-99,848,-89,-110,10
R,3991,16773,386.2,-443,-306,891,-127,116,-54
R,4047,16750,394.7,-77,-326,638,-228,66,-116
R,4111,16681,404.5,-137,18,1468,-79,99,-53
R,4155,16627,411.2,-321,-178,1067,56,-10,-54
R,4191,16561,416.6,-156,-154,-62,-138,-43,97
R,4231,16523,422.6,-108,-49,736,-342,52,-16
R,4270,16485,428.5,-102,-104,21,499,57,-37
R,4311,16454,434.6,-19,22,-112,18,77,83
R,4351,16426,440.6,-69,-29,726,-227,47,-44
R,4391,16379,446.6,-67,-217,983,-27,240,-79
R,4431,16327,452.6,-293,-344,233,133,69,7
R,4471,16286,458.5,64,23,158,-579,-74,-35
