[dump] RUN #1 heure=13:20:04 src=ENTREE_PIN rollout_ms=0 unit=FREDB dyn=7 rate_ms=40 gps=1 pre=9 imuf=2/7 ecu=HP statut=ABANDON
[dump] CAL cal=1 gxo_cdps=43 gyo_cdps=-33 gzo_cdps=0 cal_tempC=47 run_tempC=42
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-1415,9,0.0,30,33,1023,7,-2,0
R,-1257,5,0.0,32,24,1025,3,-3,0
R,-1098,16,0.0,30,35,1024,1,-3,0
R,-941,11,0.0,30,43,1022,4,-2,0
R,-784,17,0.0,31,33,1023,6,-2,0
R,-628,12,0.0,32,28,1024,4,-3,0
R,-471,10,0.0,31,32,1023,2,-3,0
R,-314,13,0.0,31,39,1022,3,-3,0
R,-157,12,0.0,30,37,1024,5,-2,0
R,166,4,0.0,31,32,1023,3,-3,0
R,191,13,0.0,32,32,1024,4,-3,0
R,232,10,0.0,32,33,1023,5,-2,0
R,273,3,0.0,30,38,1024,5,-2,0
R,311,10,0.0,31,38,1023,4,-2,0
R,367,6,0.0,31,34,1024,3,-2,0
R,431,9,0.0,32,33,1023,5,-2,0
R,475,7,0.0,31,36,1023,5,-2,0
R,512,14,0.0,31,37,1023,4,-2,0
R,552,13,0.0,31,36,1023,3,-3,0
R,591,3,0.0,32,34,1024,4,-3,0
R,632,8,0.0,31,34,1023,5,-2,0
R,672,23,0.1,31,36,1023,5,-3,0
R,711,12,0.1,30,37,1024,4,-3,0
R,756,6,0.1,32,34,1023,3,-3,0
R,791,5,0.1,31,33,1023,4,-3,0
R,830,7,0.1,32,33,1024,4,-2,0
R,870,4,0.1,31,34,1023,5,-2,0
R,911,12,0.1,30,38,1023,5,-2,0
R,951,3,0.1,30,37,1023,3,-3,0
R,991,10,0.1,31,34,1023,3,-3,0
R,1031,9,0.1,30,32,1023,4,-2,0
R,1071,6,0.1,31,33,1024,5,-2,0
R,1111,15,0.1,31,36,1023,5,-2,0
R,1152,14,0.1,30,38,1023,4,-2,0
R,1192,15,0.1,31,35,1023,3,-3,0
R,1232,29,0.1,31,32,1023,4,-2,0
R,1271,14,0.1,32,31,1024,5,-2,0
R,1311,14,0.1,30,36,1023,5,-2,0
R,1365,12,0.1,31,38,1023,4,-2,0
R,1431,8,0.1,31,32,1023,4,-3,0
R,1475,2,0.1,32,32,1023,5,-2,0
R,1512,10,0.1,32,35,1023,5,-2,0
R,1551,12,0.1,31,38,1023,4,-2,0
R,1591,11,0.1,31,36,1023,3,-3,0
R,1632,10,0.1,32,33,1023,3,-3,0
R,1674,8,0.1,32,32,1024,4,-2,0
