[dump] === board=A46E9FDF948C fw=v7.9.00 -- 8 run(s) en flash ===
[dump] RUN #7 heure=14:24:08 src=SEUIL_GPS rollout_ms=0 unit=MICH_ dyn=8 rate_ms=40 gps=1 pre=16 imuf=2/7 ecu=HP statut=TERMINE
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,-601,9568,0.0,28,-421,923,0,-3,0
R,-546,9562,0.0,27,-391,934,-9,1,2
R,-522,9577,0.0,31,-397,921,0,-2,3
R,-482,9580,0.0,55,-366,955,10,-4,0
R,-442,9617,0.0,28,-428,917,4,5,4
R,-402,9641,0.0,25,-418,915,7,-4,0
R,-362,9637,0.0,59,-344,871,8,-1,1
R,-323,9658,0.0,28,-424,932,16,-5,0
R,-282,9684,0.0,35,-358,905,19,-9,0
R,-242,9720,0.0,12,-405,898,5,-5,2
R,-203,9692,0.0,48,-389,955,10,-15,0
R,-162,9697,0.0,65,-330,964,6,-11,3
R,-122,9739,0.0,53,-417,923,0,-11,4
R,-82,9737,0.0,96,-359,945,2,-14,4
R,-42,9717,0.0,55,-422,928,0,-8,10
R,-2,9703,0.0,82,-420,944,9,-9,4
R,38,9712,3.4,95,-367,934,15,-8,9
R,77,9746,6.8,87,-414,918,12,-4,9
R,118,9794,10.5,96,-360,903,14,-9,10
R,158,9829,14.0,76,-363,917,10,-6,12
R,198,9852,17.6,79,-382,933,13,-11,10
R,237,9821,21.1,119,-352,912,6,-7,12
R,289,9838,25.8,98,-374,925,5,-7,12
R,317,9856,28.3,89,-341,903,6,-10,11
R,359,9861,32.1,101,-398,901,6,-4,13
R,398,9869,35.6,123,-393,926,21,-9,12
R,437,9848,39.1,91,-359,951,11,-4,15
R,477,9875,42.7,101,-411,910,16,-4,14
R,518,9923,46.4,122,-337,945,22,-12,12
R,558,9927,50.0,80,-398,919,10,-3,15
R,597,9918,53.5,86,-389,974,14,-12,12
R,638,9941,57.2,136,-355,969,10,-5,14
R,677,9965,60.8,85,-398,956,13,-7,14
R,717,9949,64.4,140,-360,959,7,-10,11
R,757,9946,68.0,75,-443,946,0,-2,15
R,798,9976,71.7,114,-360,956,7,-7,11
R,837,9975,75.3,89,-342,925,1,1,17
R,883,10003,79.5,75,-401,954,15,-8,10
R,917,10029,82.6,117,-346,928,1,-6,11
R,957,10000,86.2,63,-468,925,3,-7,11
R,997,10058,89.9,100,-294,908,5,-9,8
R,1037,10022,93.6,58,-358,901,-15,-5,11
R,1077,10034,97.2,78,-371,969,2,-12,7
R,1117,10038,100.9,83,-376,922,7,-9,10
R,1157,10049,104.5,54,-408,916,9,-10,7
R,1196,10079,108.1,97,-349,919,0,-17,5
R,1237,10091,111.9,43,-405,915,5,-11,9
R,1291,10126,116.8,93,-348,938,1,-22,6
R,1318,10151,119.3,66,-358,930,-2,-14,10
R,1358,10125,123.0,57,-399,940,5,-24,5
R,1403,10144,127.2,93,-349,958,1,-19,12
R,1438,10112,130.4,55,-439,923,-1,-21,8
