[dump] === board=A46E9FDF948C fw=v7.9.00 -- 8 run(s) en flash ===
[dump] RUN #2 heure=13:59:20 src=SEUIL_GPS rollout_ms=0 unit=MICH_ dyn=8 rate_ms=40 gps=1 pre=0 imuf=2/7 ecu=HP statut=ABANDON
[dump] colonnes: R,elapsed_ms,kmh_x100,dist_ft,ax_mg,ay_mg,az_mg,gx_ds10,gy_ds10,gz_ds10
R,40,6129,2.2,268,-292,1134,-4,-37,-6
R,79,6186,4.4,55,-382,966,8,-19,-1
R,119,6166,6.7,48,-356,858,-85,28,10
R,159,6145,8.9,108,-253,1124,11,14,3
R,200,6119,11.2,207,-182,1126,-21,-9,9
R,240,6134,13.4,96,-325,934,-54,0,1
R,280,6168,15.7,264,-518,972,-28,12,-2
R,319,6171,17.9,93,-301,971,25,27,7
R,359,6177,20.1,87,-95,874,15,35,4
R,399,6170,22.4,97,-316,973,10,36,15
R,440,6229,24.7,20,-455,925,25,30,11
R,480,6225,27.0,152,-236,827,3,12,3
R,520,6230,29.2,29,-319,920,-1,0,4
R,559,6229,31.4,123,-249,943,53,10,3
R,599,6195,33.7,16,-321,897,3,4,2
R,640,6180,36.0,167,-254,973,16,9,3
R,680,6172,38.3,-23,-327,990,12,-1,9
R,719,6192,40.5,104,-245,1036,4,-4,0
R,759,6222,42.7,13,-365,974,-2,0,7
R,799,6249,45.0,18,-277,884,34,-23,-8
R,839,6284,47.3,137,-218,982,-12,-10,9
R,889,6281,50.2,81,-269,971,-10,-5,-1
R,920,6261,51.9,202,-282,948,16,5,19
R,960,6263,54.2,36,-269,1046,18,5,4
R,1000,6296,56.5,70,-273,873,7,2,13
R,1039,6231,58.7,0,-236,1036,-12,-13,9
R,1079,6239,61.0,195,-238,882,-12,-13,1
R,1119,6280,63.3,-30,-362,956,-5,-8,6
R,1159,6303,65.6,246,-211,978,13,-13,-4
R,1199,6301,67.9,59,-336,918,-11,7,8
R,1246,6287,70.6,142,-220,1043,38,-6,-1
R,1279,6297,72.5,72,-249,822,-6,12,10
R,1319,6300,74.7,76,-353,1020,15,0,6
R,1367,6294,77.5,40,-336,834,-7,7,12
R,1400,6290,79.4,214,-188,1014,12,5,4
R,1440,6304,81.7,58,-336,932,-8,6,16
R,1480,6304,84.0,203,-191,1048,-1,9,2
R,1520,6381,86.3,27,-462,749,-18,4,11
R,1559,6380,88.6,145,-190,996,9,8,3
R,1600,6380,91.0,-85,-384,854,9,1,9
R,1639,6381,93.2,230,-174,1103,36,-18,-3
R,1679,6385,95.5,-2,-467,881,2,4,10
R,1719,6389,97.9,204,-194,1076,23,-7,-2
R,1759,6418,100.2,44,-264,905,-5,12,11
R,1800,6401,102.6,97,-262,1073,-4,13,0
R,1840,6394,104.9,0,-263,875,-6,17,16
R,1895,6338,108.1,74,-281,1027,-22,11,2
R,1920,6321,109.6,30,-393,878,-11,9,8
R,1960,6337,111.9,64,-206,1047,3,-1,-8
R,1999,6352,114.1,-28,-366,845,11,-8,-2
R,2039,6391,116.5,126,-192,1068,36,-2,-4
R,2079,6413,118.8,12,-295,900,2,-9,-4
R,2119,6450,121.1,96,-269,962,1,10,-1
R,2159,6432,123.5,9,-227,954,-4,1,-7
R,2199,6443,125.8,36,-210,1016,-9,0,-2
R,2239,6412,128.2,43,-297,930,-27,-11,-3
R,2279,6416,130.5,112,-209,947,-24,-1,-10
R,2319,6344,132.8,52,-331,998,2,2,2
R,2360,6359,135.2,26,-183,1009,-4,1,-7
R,2400,6376,137.5,76,-240,927,-14,4,0
R,2440,6405,139.9,-11,-327,898,2,2,-5
R,2480,6409,142.2,103,-166,947,-1,-12,-11
R,2520,6407,144.5,31,-287,1103,-15,-10,-1
R,2559,6409,146.8,171,-191,921,27,-14,-11
R,2599,6445,149.2,63,-200,933,2,13,4
R,2639,6470,151.5,72,-219,1041,4,0,-4
R,2679,6479,153.9,107,-146,915,-2,4,0
R,2719,6435,156.2,58,-276,995,-4,-4,0
R,2759,6390,158.6,77,-363,996,19,4,-4
R,2799,6383,160.9,60,-197,968,32,0,0
R,2840,6410,163.3,6,-197,955,11,-8,-6
R,2890,6405,166.2,29,-295,954,15,-6,-3
R,2920,6379,167.9,112,-264,942,11,-19,-4
R,2960,6355,170.3,67,-255,942,7,-3,2
R,3000,6391,172.6,66,-249,962,-6,-6,0
R,3039,6430,174.9,86,-265,927,11,-7,1
R,3079,6439,177.2,70,-268,1033,2,-13,6
R,3119,6434,179.6,78,-307,1044,15,-11,0
R,3159,6394,181.9,156,-295,956,16,-5,7
R,3199,6396,184.2,116,-266,1019,8,1,7
R,3239,6416,186.6,102,-271,974,10,3,8
R,3279,6439,188.9,78,-248,1001,14,-13,8
R,3320,6437,191.3,72,-292,918,1,-1,3
R,3367,6481,194.1,156,-99,1008,37,-26,-3
